source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[sampling site]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[individual]	characteristics[phenotype]	characteristics[material type]	characteristics[sample type]	characteristics[pooled sample]	characteristics[biological replicate]	characteristics[enrichment process]	characteristics[depletion]	characteristics[treatment]	characteristics[synthetic peptide]	characteristics[spiked compound]	characteristics[passage number]	characteristics[biorepository]	characteristics[cell line authentication]	characteristics[culture medium]	characteristics[sample storage temperature]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[ms2 mass analyzer]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms min mz]	comment[ms max mz]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[acquisition date]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[phenotype]
PXD000332-Sample-1	Homo sapiens	bone marrow	B cell	Diffuse Large B-Cell Lymphoma Activated B-Cell Type	OCI-Ly3	CVCL_8800	OCI-Ly3	not available	European ancestry	52Y	male	adult	not available	activated B-cell-like DLBCL subtype	cell line	study sample	not pooled	1	enrichment of glycopeptides	no depletion	not applicable	not synthetic	not applicable	not available	not available	not available	Roswell Park Memorial Institute 1640 Medium	not available	run 1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	SILAC light	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated:18O(1);AC=UNIMOD:366;TA=N;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	40 NCE	NT=orbitrap;AC=MS:1000484	6 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	300m/z	1800m/z	not applicable	1	1	2011-05-31	20110531_Velos4_SaDe_SA_OciLy31_G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	activated B-cell-like DLBCL subtype
PXD000332-superSILAC-mix	Homo sapiens	not applicable	B cell	lymphoma	super-SILAC mix of Ramos, Mutu, BL-41, U-2932, L-428, DB	not available	not available	not applicable	not applicable	not available	not applicable	not applicable	pooled	not applicable	cell line	reference	pooled	pooled	enrichment of glycopeptides	no depletion	not applicable	not synthetic	not applicable	not available	not available	not available	Roswell Park Memorial Institute 1640 Medium	not available	run 1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	SILAC heavy	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated:18O(1);AC=UNIMOD:366;TA=N;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	40 NCE	NT=orbitrap;AC=MS:1000484	6 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	300m/z	1800m/z	not applicable	1	1	2011-05-31	20110531_Velos4_SaDe_SA_OciLy31_G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	not applicable
PXD000332-Sample-2	Homo sapiens	bone marrow	B cell	Diffuse Large B-Cell Lymphoma Activated B-Cell Type	OCI-Ly3	CVCL_8800	OCI-Ly3	not available	European ancestry	52Y	male	adult	not available	activated B-cell-like DLBCL subtype	cell line	study sample	not pooled	2	enrichment of glycopeptides	no depletion	not applicable	not synthetic	not applicable	not available	not available	not available	Roswell Park Memorial Institute 1640 Medium	not available	run 2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	SILAC light	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated:18O(1);AC=UNIMOD:366;TA=N;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	40 NCE	NT=orbitrap;AC=MS:1000484	6 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	300m/z	1800m/z	not applicable	1	1	2011-05-31	20110531_Velos4_SaDe_SA_OciLy32_G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	activated B-cell-like DLBCL subtype
PXD000332-superSILAC-mix	Homo sapiens	not applicable	B cell	lymphoma	super-SILAC mix of Ramos, Mutu, BL-41, U-2932, L-428, DB	not available	not available	not applicable	not applicable	not available	not applicable	not applicable	pooled	not applicable	cell line	reference	pooled	pooled	enrichment of glycopeptides	no depletion	not applicable	not synthetic	not applicable	not available	not available	not available	Roswell Park Memorial Institute 1640 Medium	not available	run 2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	SILAC heavy	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated:18O(1);AC=UNIMOD:366;TA=N;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	40 NCE	NT=orbitrap;AC=MS:1000484	6 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	300m/z	1800m/z	not applicable	1	2	2011-05-31	20110531_Velos4_SaDe_SA_OciLy32_G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	not applicable
PXD000332-Sample-3	Homo sapiens	bone marrow	B cell	Diffuse Large B-Cell Lymphoma Activated B-Cell Type	OCI-Ly3	CVCL_8800	OCI-Ly3	not available	European ancestry	52Y	male	adult	not available	activated B-cell-like DLBCL subtype	cell line	study sample	not pooled	3	enrichment of glycopeptides	no depletion	not applicable	not synthetic	not applicable	not available	not available	not available	Roswell Park Memorial Institute 1640 Medium	not available	run 3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	SILAC light	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated:18O(1);AC=UNIMOD:366;TA=N;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	40 NCE	NT=orbitrap;AC=MS:1000484	6 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	300m/z	1800m/z	not applicable	1	1	2011-05-31	20110531_Velos4_SaDe_SA_OciLy33_G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	activated B-cell-like DLBCL subtype
PXD000332-superSILAC-mix	Homo sapiens	not applicable	B cell	lymphoma	super-SILAC mix of Ramos, Mutu, BL-41, U-2932, L-428, DB	not available	not available	not applicable	not applicable	not available	not applicable	not applicable	pooled	not applicable	cell line	reference	pooled	pooled	enrichment of glycopeptides	no depletion	not applicable	not synthetic	not applicable	not available	not available	not available	Roswell Park Memorial Institute 1640 Medium	not available	run 3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	SILAC heavy	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated:18O(1);AC=UNIMOD:366;TA=N;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	40 NCE	NT=orbitrap;AC=MS:1000484	6 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	300m/z	1800m/z	not applicable	1	3	2011-05-31	20110531_Velos4_SaDe_SA_OciLy33_G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	not applicable
PXD000332-Sample-4	Homo sapiens	bone marrow	B cell	Diffuse Large B-Cell Lymphoma Activated B-Cell Type	OCI-Ly3	CVCL_8800	OCI-Ly3	not available	European ancestry	52Y	male	adult	not available	activated B-cell-like DLBCL subtype	cell line	study sample	not pooled	4	enrichment of glycopeptides	no depletion	not applicable	not synthetic	not applicable	not available	not available	not available	Roswell Park Memorial Institute 1640 Medium	not available	run 4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	SILAC light	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated:18O(1);AC=UNIMOD:366;TA=N;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	40 NCE	NT=orbitrap;AC=MS:1000484	6 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	300m/z	1800m/z	not applicable	1	1	2011-05-31	20110531_Velos4_SaDe_SA_OciLy34_G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	activated B-cell-like DLBCL subtype
PXD000332-superSILAC-mix	Homo sapiens	not applicable	B cell	lymphoma	super-SILAC mix of Ramos, Mutu, BL-41, U-2932, L-428, DB	not available	not available	not applicable	not applicable	not available	not applicable	not applicable	pooled	not applicable	cell line	reference	pooled	pooled	enrichment of glycopeptides	no depletion	not applicable	not synthetic	not applicable	not available	not available	not available	Roswell Park Memorial Institute 1640 Medium	not available	run 4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	SILAC heavy	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated:18O(1);AC=UNIMOD:366;TA=N;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	40 NCE	NT=orbitrap;AC=MS:1000484	6 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	300m/z	1800m/z	not applicable	1	4	2011-05-31	20110531_Velos4_SaDe_SA_OciLy34_G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	not applicable
PXD000332-Sample-5	Homo sapiens	blood	B cell	Diffuse Large B-Cell Lymphoma Activated B-Cell Type	RI-1	CVCL_1885	Ri-1	not available	European ancestry	57Y	female	adult	not available	activated B-cell-like DLBCL subtype	cell line	study sample	not pooled	1	enrichment of glycopeptides	no depletion	not applicable	not synthetic	not applicable	not available	not available	not available	Roswell Park Memorial Institute 1640 Medium	not available	run 5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	SILAC light	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated:18O(1);AC=UNIMOD:366;TA=N;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	40 NCE	NT=orbitrap;AC=MS:1000484	6 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	300m/z	1800m/z	not applicable	1	1	2011-05-31	20110531_Velos4_SaDe_SA_RIVA1_G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	activated B-cell-like DLBCL subtype
PXD000332-superSILAC-mix	Homo sapiens	not applicable	B cell	lymphoma	super-SILAC mix of Ramos, Mutu, BL-41, U-2932, L-428, DB	not available	not available	not applicable	not applicable	not available	not applicable	not applicable	pooled	not applicable	cell line	reference	pooled	pooled	enrichment of glycopeptides	no depletion	not applicable	not synthetic	not applicable	not available	not available	not available	Roswell Park Memorial Institute 1640 Medium	not available	run 5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	SILAC heavy	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated:18O(1);AC=UNIMOD:366;TA=N;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	40 NCE	NT=orbitrap;AC=MS:1000484	6 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	300m/z	1800m/z	not applicable	1	5	2011-05-31	20110531_Velos4_SaDe_SA_RIVA1_G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	not applicable
