source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[sampling site]	characteristics[disease]	characteristics[material type]	characteristics[sex]	characteristics[age]	characteristics[developmental stage]	characteristics[ancestry category]	characteristics[individual]	characteristics[passage number]	characteristics[culture medium]	characteristics[genotype]	characteristics[sample type]	characteristics[enrichment process]	characteristics[depletion]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[acquisition date]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[genotype]
HeLa-BAC_SMC6-GFP_1	Homo sapiens	uterine cervix	epithelial cell	HeLa	CVCL_0030	HeLa	uterine cervix	cervical adenocarcinoma	cell line	female	30Y6M	adult	African American	not available	not available	not available	SMC6-GFP BAC transgene	study sample	protein complex immunoprecipitation	not applicable	1	run 1	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap;AC=MS:1000449	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	40 NCE	NT=ion trap;AC=MS:1000264	300m/z-1650m/z	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	7 ppm	0.5 Da	not available	not available	not applicable	1	1	2012-03-24	MCP_ky_0002346_0169_22_JBA_SMC6.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	SMC6-GFP BAC transgene
HeLa-BAC_SMC6-GFP_2	Homo sapiens	uterine cervix	epithelial cell	HeLa	CVCL_0030	HeLa	uterine cervix	cervical adenocarcinoma	cell line	female	30Y6M	adult	African American	not available	not available	not available	SMC6-GFP BAC transgene	study sample	protein complex immunoprecipitation	not applicable	2	run 2	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap;AC=MS:1000449	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	40 NCE	NT=ion trap;AC=MS:1000264	300m/z-1650m/z	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	7 ppm	0.5 Da	not available	not available	not applicable	1	1	2012-04-09	MCP_ky_0002346_0170_25_JBA_SMC6.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	SMC6-GFP BAC transgene
HeLa-BAC_SMC6-GFP_3	Homo sapiens	uterine cervix	epithelial cell	HeLa	CVCL_0030	HeLa	uterine cervix	cervical adenocarcinoma	cell line	female	30Y6M	adult	African American	not available	not available	not available	SMC6-GFP BAC transgene	study sample	protein complex immunoprecipitation	not applicable	3	run 3	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap;AC=MS:1000449	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	40 NCE	NT=ion trap;AC=MS:1000264	300m/z-1650m/z	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	7 ppm	0.5 Da	not available	not available	not applicable	1	1	2012-04-12	MCP_ky_0002346_0171_04_JBA_SMC6.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	SMC6-GFP BAC transgene
HeLa-BAC_UBE2A-GFP_1	Homo sapiens	uterine cervix	epithelial cell	HeLa	CVCL_0030	HeLa	uterine cervix	cervical adenocarcinoma	cell line	female	30Y6M	adult	African American	not available	not available	not available	UBE2A-GFP BAC transgene	study sample	protein complex immunoprecipitation	not applicable	1	run 4	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap;AC=MS:1000449	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	40 NCE	NT=ion trap;AC=MS:1000264	300m/z-1650m/z	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	7 ppm	0.5 Da	not available	not available	not applicable	1	1	2010-05-02	MCP_ky_0003338_0060_35_UBE2A.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	UBE2A-GFP BAC transgene
HeLa-BAC_UBE2A-GFP_2	Homo sapiens	uterine cervix	epithelial cell	HeLa	CVCL_0030	HeLa	uterine cervix	cervical adenocarcinoma	cell line	female	30Y6M	adult	African American	not available	not available	not available	UBE2A-GFP BAC transgene	study sample	protein complex immunoprecipitation	not applicable	2	run 5	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap;AC=MS:1000449	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	40 NCE	NT=ion trap;AC=MS:1000264	300m/z-1650m/z	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	7 ppm	0.5 Da	not available	not available	not applicable	1	1	2011-07-28	MCP_ky_0003338_0139_31_UBE2A.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	UBE2A-GFP BAC transgene
HeLa-BAC_UBE2A-GFP_3	Homo sapiens	uterine cervix	epithelial cell	HeLa	CVCL_0030	HeLa	uterine cervix	cervical adenocarcinoma	cell line	female	30Y6M	adult	African American	not available	not available	not available	UBE2A-GFP BAC transgene	study sample	protein complex immunoprecipitation	not applicable	3	run 6	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap;AC=MS:1000449	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	40 NCE	NT=ion trap;AC=MS:1000264	300m/z-1650m/z	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	7 ppm	0.5 Da	not available	not available	not applicable	1	1	2011-07-31	MCP_ky_0003338_0140_08_UBE2A.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	UBE2A-GFP BAC transgene
HeLa-BAC_GFP-RAD18_1	Homo sapiens	uterine cervix	epithelial cell	HeLa	CVCL_0030	HeLa	uterine cervix	cervical adenocarcinoma	cell line	female	30Y6M	adult	African American	not available	not available	not available	GFP-RAD18 BAC transgene	study sample	protein complex immunoprecipitation	not applicable	1	run 7	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap;AC=MS:1000449	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	40 NCE	NT=ion trap;AC=MS:1000264	300m/z-1650m/z	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	7 ppm	0.5 Da	not available	not available	not applicable	1	1	2013-01-19	MCP_ky_0006618_0207_10_JBA_RAD18.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	GFP-RAD18 BAC transgene
HeLa-BAC_GFP-RAD18_2	Homo sapiens	uterine cervix	epithelial cell	HeLa	CVCL_0030	HeLa	uterine cervix	cervical adenocarcinoma	cell line	female	30Y6M	adult	African American	not available	not available	not available	GFP-RAD18 BAC transgene	study sample	protein complex immunoprecipitation	not applicable	2	run 8	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap;AC=MS:1000449	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	40 NCE	NT=ion trap;AC=MS:1000264	300m/z-1650m/z	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	7 ppm	0.5 Da	not available	not available	not applicable	1	1	2013-02-18	MCP_ky_0006618_0208_42_JBB_RAD18.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	GFP-RAD18 BAC transgene
HeLa-BAC_GFP-RAD18_3	Homo sapiens	uterine cervix	epithelial cell	HeLa	CVCL_0030	HeLa	uterine cervix	cervical adenocarcinoma	cell line	female	30Y6M	adult	African American	not available	not available	not available	GFP-RAD18 BAC transgene	study sample	protein complex immunoprecipitation	not applicable	3	run 9	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap;AC=MS:1000449	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	40 NCE	NT=ion trap;AC=MS:1000264	300m/z-1650m/z	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	7 ppm	0.5 Da	not available	not available	not applicable	1	1	2013-02-05	MCP_ky_0006618_0209_35_JBA_RAD18.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	GFP-RAD18 BAC transgene
HeLa-BAC_SLF2-GFP_1	Homo sapiens	uterine cervix	epithelial cell	HeLa	CVCL_0030	HeLa	uterine cervix	cervical adenocarcinoma	cell line	female	30Y6M	adult	African American	not available	not available	not available	SLF2 (FAM178A)-GFP BAC transgene	study sample	protein complex immunoprecipitation	not applicable	1	run 10	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap;AC=MS:1000449	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	40 NCE	NT=ion trap;AC=MS:1000264	300m/z-1650m/z	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	7 ppm	0.5 Da	not available	not available	not applicable	1	1	2013-08-06	MCP_ky_0006094_SLF2_1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	SLF2 (FAM178A)-GFP BAC transgene
