source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[sampling site]	characteristics[biorepository]	characteristics[cell line authentication]	characteristics[passage number]	characteristics[culture medium]	characteristics[sample storage temperature]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[developmental stage]	characteristics[individual]	characteristics[material type]	characteristics[sample type]	characteristics[enrichment process]	characteristics[depletion]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[fractionation method]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[ms2 scan range]	comment[ms min charge]	comment[ms max charge]	comment[ms min rt]	comment[ms max rt]	comment[acquisition date]	comment[sample preparation batch]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[instrument]
PXD001203-Sample-1	Homo sapiens	uterine cervix	epithelial cell	cervical adenocarcinoma	HeLa-S3	CVCL_0058	HeLa S3	uterine cervix	ATCC	not available	not available	Dulbecco's Modified Eagle Medium	-80 °C	30Y6M	female	African American	adult	not applicable	cell line	study sample	not applicable	no depletion	1	20131221_EXQ00_RiSc_QC_HELA_iso0_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=HCD;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	Dithiothreitol (DTT)	Iodoacetamide (IAA)	not applicable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	2	5	0	120	2013-12-22T23:53:02	HeLa-QC-digest	1	1	20131221_EXQ00_RiSc_QC_HELA_iso0_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Q Exactive Plus;AC=MS:1002634
PXD001203-Sample-1	Homo sapiens	uterine cervix	epithelial cell	cervical adenocarcinoma	HeLa-S3	CVCL_0058	HeLa S3	uterine cervix	ATCC	not available	not available	Dulbecco's Modified Eagle Medium	-80 °C	30Y6M	female	African American	adult	not applicable	cell line	study sample	not applicable	no depletion	1	20131221_EXQ00_RiSc_QC_HELA_iso0_6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=HCD;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	Dithiothreitol (DTT)	Iodoacetamide (IAA)	not applicable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	2	5	0	120	2013-12-23T02:32:06	HeLa-QC-digest	1	1	20131221_EXQ00_RiSc_QC_HELA_iso0_6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Q Exactive Plus;AC=MS:1002634
PXD001203-Sample-1	Homo sapiens	uterine cervix	epithelial cell	cervical adenocarcinoma	HeLa-S3	CVCL_0058	HeLa S3	uterine cervix	ATCC	not available	not available	Dulbecco's Modified Eagle Medium	-80 °C	30Y6M	female	African American	adult	not applicable	cell line	study sample	not applicable	no depletion	1	20131221_EXQ00_RiSc_QC_HELA_iso0_8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=HCD;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	Dithiothreitol (DTT)	Iodoacetamide (IAA)	not applicable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	2	5	0	120	2013-12-23T05:12:25	HeLa-QC-digest	1	1	20131221_EXQ00_RiSc_QC_HELA_iso0_8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Q Exactive Plus;AC=MS:1002634
PXD001203-Sample-1	Homo sapiens	uterine cervix	epithelial cell	cervical adenocarcinoma	HeLa-S3	CVCL_0058	HeLa S3	uterine cervix	ATCC	not available	not available	Dulbecco's Modified Eagle Medium	-80 °C	30Y6M	female	African American	adult	not applicable	cell line	study sample	not applicable	no depletion	1	20131221_EXQ00_RiSc_QC_HELA_iso1_0	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=HCD;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	Dithiothreitol (DTT)	Iodoacetamide (IAA)	not applicable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	2	5	0	120	2013-12-23T07:57:35	HeLa-QC-digest	1	1	20131221_EXQ00_RiSc_QC_HELA_iso1_0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Q Exactive Plus;AC=MS:1002634
PXD001203-Sample-1	Homo sapiens	uterine cervix	epithelial cell	cervical adenocarcinoma	HeLa-S3	CVCL_0058	HeLa S3	uterine cervix	ATCC	not available	not available	Dulbecco's Modified Eagle Medium	-80 °C	30Y6M	female	African American	adult	not applicable	cell line	study sample	not applicable	no depletion	1	20131221_EXQ00_RiSc_QC_HELA_iso1_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=HCD;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	Dithiothreitol (DTT)	Iodoacetamide (IAA)	not applicable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	2	5	0	120	2013-12-23T10:44:01	HeLa-QC-digest	1	1	20131221_EXQ00_RiSc_QC_HELA_iso1_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Q Exactive Plus;AC=MS:1002634
PXD001203-Sample-1	Homo sapiens	uterine cervix	epithelial cell	cervical adenocarcinoma	HeLa-S3	CVCL_0058	HeLa S3	uterine cervix	ATCC	not available	not available	Dulbecco's Modified Eagle Medium	-80 °C	30Y6M	female	African American	adult	not applicable	cell line	study sample	not applicable	no depletion	1	20131221_EXQ00_RiSc_QC_HELA_iso1_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=HCD;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	Dithiothreitol (DTT)	Iodoacetamide (IAA)	not applicable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	2	5	0	120	2013-12-23T13:24:57	HeLa-QC-digest	1	1	20131221_EXQ00_RiSc_QC_HELA_iso1_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Q Exactive Plus;AC=MS:1002634
PXD001203-Sample-1	Homo sapiens	uterine cervix	epithelial cell	cervical adenocarcinoma	HeLa-S3	CVCL_0058	HeLa S3	uterine cervix	ATCC	not available	not available	Dulbecco's Modified Eagle Medium	-80 °C	30Y6M	female	African American	adult	not applicable	cell line	study sample	not applicable	no depletion	1	20131221_EXQ00_RiSc_QC_HELA_iso2_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=HCD;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	Dithiothreitol (DTT)	Iodoacetamide (IAA)	not applicable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	2	5	0	120	2013-12-24T05:44:49	HeLa-QC-digest	1	1	20131221_EXQ00_RiSc_QC_HELA_iso2_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Q Exactive Plus;AC=MS:1002634
PXD001203-Sample-1	Homo sapiens	uterine cervix	epithelial cell	cervical adenocarcinoma	HeLa-S3	CVCL_0058	HeLa S3	uterine cervix	ATCC	not available	not available	Dulbecco's Modified Eagle Medium	-80 °C	30Y6M	female	African American	adult	not applicable	cell line	study sample	not applicable	no depletion	1	20131221_EXQ00_RiSc_QC_HELA_rf45	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=HCD;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	Dithiothreitol (DTT)	Iodoacetamide (IAA)	not applicable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	2	5	0	60	2013-12-21T09:39:39	HeLa-QC-digest	1	1	20131221_EXQ00_RiSc_QC_HELA_rf45.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Q Exactive Plus;AC=MS:1002634
PXD001203-Sample-1	Homo sapiens	uterine cervix	epithelial cell	cervical adenocarcinoma	HeLa-S3	CVCL_0058	HeLa S3	uterine cervix	ATCC	not available	not available	Dulbecco's Modified Eagle Medium	-80 °C	30Y6M	female	African American	adult	not applicable	cell line	study sample	not applicable	no depletion	1	20131221_EXQ00_RiSc_QC_HELA_rf50	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=HCD;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	Dithiothreitol (DTT)	Iodoacetamide (IAA)	not applicable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	2	5	0	60	2013-12-21T11:12:18	HeLa-QC-digest	1	1	20131221_EXQ00_RiSc_QC_HELA_rf50.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Q Exactive Plus;AC=MS:1002634
PXD001203-Sample-1	Homo sapiens	uterine cervix	epithelial cell	cervical adenocarcinoma	HeLa-S3	CVCL_0058	HeLa S3	uterine cervix	ATCC	not available	not available	Dulbecco's Modified Eagle Medium	-80 °C	30Y6M	female	African American	adult	not applicable	cell line	study sample	not applicable	no depletion	1	20131221_EXQ00_RiSc_QC_HELA_rf55	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	label free sample	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=HCD;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	Dithiothreitol (DTT)	Iodoacetamide (IAA)	not applicable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	2	5	0	60	2013-12-21T12:46:39	HeLa-QC-digest	1	1	20131221_EXQ00_RiSc_QC_HELA_rf55.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Q Exactive Plus;AC=MS:1002634
