source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	characteristics[disease]	characteristics[material type]	characteristics[depletion]	characteristics[sampling time]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[data file]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[ms2 scan range]	comment[sample preparation batch]	comment[acquisition date]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[sampling time]
PXD001732-Sample-1	Mus musculus	liver	not applicable	adult	not available	male	normal	tissue	no depletion	0 hour	1	run 1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	20140722_EXQ00_ChRo_SA_Collab_Mitocirca_ZT0_1.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	D1	2014-07-23T00:14:06	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	0 hour
PXD001732-Sample-2	Mus musculus	liver	not applicable	adult	not available	male	normal	tissue	no depletion	0 hour	2	run 2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	20140722_EXQ00_ChRo_SA_Collab_Mitocirca_ZT0_2.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	D1	2014-07-23T02:36:31	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	0 hour
PXD001732-Sample-3	Mus musculus	liver	not applicable	adult	not available	male	normal	tissue	no depletion	0 hour	3	run 3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	20140722_EXQ00_ChRo_SA_Collab_Mitocirca_ZT0_3.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	D1	2014-07-23T04:59:08	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	0 hour
PXD001732-Sample-4	Mus musculus	liver	not applicable	adult	not available	male	normal	tissue	no depletion	0 hour	4	run 4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	20140722_EXQ00_ChRo_SA_Collab_Mitocirca_ZT0_4.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	D1	2014-07-23T07:21:40	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	0 hour
PXD001732-Sample-5	Mus musculus	liver	not applicable	adult	not available	male	normal	tissue	no depletion	4 hour	1	run 5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	20140722_EXQ00_ChRo_SA_Collab_Mitocirca_ZT3_1.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	D1	2014-07-23T10:18:36	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	4 hour
PXD001732-Sample-6	Mus musculus	liver	not applicable	adult	not available	male	normal	tissue	no depletion	4 hour	2	run 6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	20140722_EXQ00_ChRo_SA_Collab_Mitocirca_ZT3_2.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	D1	2014-07-23T12:41:15	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	4 hour
PXD001732-Sample-7	Mus musculus	liver	not applicable	adult	not available	male	normal	tissue	no depletion	4 hour	3	run 7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	20140722_EXQ00_ChRo_SA_Collab_Mitocirca_ZT3_3.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	D1	2014-07-23T15:04:28	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	4 hour
PXD001732-Sample-8	Mus musculus	liver	not applicable	adult	not available	male	normal	tissue	no depletion	4 hour	4	run 8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	20140722_EXQ00_ChRo_SA_Collab_Mitocirca_ZT3_4.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	D1	2014-07-23T17:27:39	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	4 hour
PXD001732-Sample-9	Mus musculus	liver	not applicable	adult	not available	male	normal	tissue	no depletion	8 hour	1	run 9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	20140722_EXQ00_ChRo_SA_Collab_Mitocirca_ZT8_1.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	D1	2014-07-23T20:25:13	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	8 hour
PXD001732-Sample-10	Mus musculus	liver	not applicable	adult	not available	male	normal	tissue	no depletion	8 hour	2	run 10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	20140722_EXQ00_ChRo_SA_Collab_Mitocirca_ZT8_2.raw	1	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	D1	2014-07-23T22:48:13	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	8 hour
