source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	characteristics[material type]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[treatment]	characteristics[treatment]	characteristics[sampling time]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[ms2 scan range]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[acquisition date]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[cell type]	factor value[sampling time]
PXD002769-Sample-1	Mus musculus	bone marrow	precursor B cell	normal	adult	C57BL/6	not available	cell	not applicable	not applicable	untreated	untreated	0 hour	1	20141113_QEp3_MiWi_SA_B_1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	not applicable	1	1	2014-11-14T14:21:18	20141113_QEp3_MiWi_SA_B_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	precursor B cell	0 hour
PXD002769-Sample-2	Mus musculus	bone marrow	precursor B cell	normal	adult	C57BL/6	not available	cell	not applicable	not applicable	untreated	untreated	0 hour	2	20141113_QEp3_MiWi_SA_B_2	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	not applicable	1	1	2014-11-14T19:16:14	20141113_QEp3_MiWi_SA_B_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	precursor B cell	0 hour
PXD002769-Sample-3	Mus musculus	bone marrow	precursor B cell	normal	adult	C57BL/6	not available	cell	not applicable	not applicable	Estradiol	untreated	18 hour	2	20141103_QEp3_MiWi_SA_Ba_2_141104212541	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	200m/z-2000m/z	not applicable	1	1	2014-11-04T20:25:41	20141103_QEp3_MiWi_SA_Ba_2_141104212541.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	precursor B cell	18 hour
PXD002769-Sample-4	Mus musculus	bone marrow	precursor B cell	normal	adult	C57BL/6	not available	cell	not applicable	not applicable	Estradiol	untreated	18 hour	3	20141127_QEp3_MiWi_SA_Ba_3	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	not applicable	1	1	2014-11-27T21:09:56	20141127_QEp3_MiWi_SA_Ba_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	precursor B cell	18 hour
PXD002769-Sample-5	Mus musculus	bone marrow	precursor B cell	normal	adult	C57BL/6	not available	cell	not applicable	not applicable	Estradiol	Doxycycline	42 hour	1	20141103_QEp3_MiWi_SA_day1_2	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	200m/z-2000m/z	not applicable	1	1	2014-11-05T02:00:19	20141103_QEp3_MiWi_SA_day1_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	precursor B cell	42 hour
PXD002769-Sample-6	Mus musculus	bone marrow	precursor B cell	normal	adult	C57BL/6	not available	cell	not applicable	not applicable	Estradiol	Doxycycline	42 hour	2	20141103_QEp3_MiWi_SA_day1_2_141105075605	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	200m/z-2000m/z	not applicable	1	1	2014-11-05T06:56:05	20141103_QEp3_MiWi_SA_day1_2_141105075605.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	precursor B cell	42 hour
PXD002769-Sample-7	Mus musculus	bone marrow	precursor B cell	normal	adult	C57BL/6	not available	cell	not applicable	not applicable	Estradiol	Doxycycline	66 hour	1	20141103_QEp3_MiWi_SA_day2_2	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	200m/z-2000m/z	not applicable	1	1	2014-11-05T12:31:34	20141103_QEp3_MiWi_SA_day2_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	precursor B cell	66 hour
PXD002769-Sample-8	Mus musculus	bone marrow	precursor B cell	normal	adult	C57BL/6	not available	cell	not applicable	not applicable	Estradiol	Doxycycline	66 hour	2	20141103_QEp3_MiWi_SA_day2_2_141105182735	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	200m/z-2000m/z	not applicable	1	1	2014-11-05T17:27:35	20141103_QEp3_MiWi_SA_day2_2_141105182735.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	precursor B cell	66 hour
PXD002769-Sample-9	Mus musculus	blastocyst	embryonic stem cell	normal	embryo stage	129P2/Ola	male	cell line	CVCL_9108	ES-E14TG2a	not applicable	not applicable	not applicable	1	20150214_QEp8_MiWi_SA_Bruno_ES2i_1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	not applicable	1	1	2015-02-15T13:26:29	20150214_QEp8_MiWi_SA_Bruno_ES2i_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	embryonic stem cell	not applicable
PXD002769-Sample-10	Mus musculus	blastocyst	embryonic stem cell	normal	embryo stage	129P2/Ola	male	cell line	CVCL_9108	ES-E14TG2a	not applicable	not applicable	not applicable	2	20150214_QEp8_MiWi_SA_Bruno_ES2i_2	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	not available	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	not applicable	1	1	2015-02-15T18:24:11	20150214_QEp8_MiWi_SA_Bruno_ES2i_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	embryonic stem cell	not applicable
