source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[material type]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	characteristics[sampling time]	characteristics[enrichment process]	characteristics[depletion]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[ms2 scan range]	comment[ms min charge]	comment[ms max charge]	comment[ms min rt]	comment[ms max rt]	comment[cleavage agent details]	comment[cleavage agent details]	comment[reduction reagent]	comment[alkylation reagent]	comment[fractionation method]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[acquisition date]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[sampling time]
CT0-1	Mus musculus	liver	not applicable	normal	tissue	adult	C57BL/6J	not available	0 hour	enrichment of phosphorylated protein	no depletion	1	20140809_QEp6_ChRo_SA_Liver_Phospho_CT0_1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	200m/z-2000m/z	2	5	0	270	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	not applicable	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	4.5 ppm	20 ppm	1	1	2014-08-10T09:59:45	20140809_QEp6_ChRo_SA_Liver_Phospho_CT0_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	0 hour
CT0-2	Mus musculus	liver	not applicable	normal	tissue	adult	C57BL/6J	not available	0 hour	enrichment of phosphorylated protein	no depletion	2	20140809_QEp6_ChRo_SA_Liver_Phospho_CT0_2	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	200m/z-2000m/z	2	5	0	270	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	not applicable	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	4.5 ppm	20 ppm	1	1	2014-08-10T15:07:04	20140809_QEp6_ChRo_SA_Liver_Phospho_CT0_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	0 hour
CT0-3	Mus musculus	liver	not applicable	normal	tissue	adult	C57BL/6J	not available	0 hour	enrichment of phosphorylated protein	no depletion	3	20140809_QEp6_ChRo_SA_Liver_Phospho_CT0_3	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	200m/z-2000m/z	2	5	0	270	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	not applicable	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	4.5 ppm	20 ppm	1	1	2014-08-10T20:14:56	20140809_QEp6_ChRo_SA_Liver_Phospho_CT0_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	0 hour
CT3-1	Mus musculus	liver	not applicable	normal	tissue	adult	C57BL/6J	not available	3 hour	enrichment of phosphorylated protein	no depletion	1	20140903_QEp6_ChRo_SA_Liver_Phospho_CT3_1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	200m/z-2000m/z	2	5	0	270	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	not applicable	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	4.5 ppm	20 ppm	1	1	2014-09-03T14:37:18	20140903_QEp6_ChRo_SA_Liver_Phospho_CT3_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	3 hour
CT3-2	Mus musculus	liver	not applicable	normal	tissue	adult	C57BL/6J	not available	3 hour	enrichment of phosphorylated protein	no depletion	2	20140903_QEp6_ChRo_SA_Liver_Phospho_CT3_2	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	200m/z-2000m/z	2	5	0	270	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	not applicable	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	4.5 ppm	20 ppm	1	1	2014-09-03T19:43:02	20140903_QEp6_ChRo_SA_Liver_Phospho_CT3_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	3 hour
CT3-3	Mus musculus	liver	not applicable	normal	tissue	adult	C57BL/6J	not available	3 hour	enrichment of phosphorylated protein	no depletion	3	20140903_QEp6_ChRo_SA_Liver_Phospho_CT3_3	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	200m/z-2000m/z	2	5	0	270	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	not applicable	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	4.5 ppm	20 ppm	1	1	2014-09-04T00:49:32	20140903_QEp6_ChRo_SA_Liver_Phospho_CT3_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	3 hour
CT3-4	Mus musculus	liver	not applicable	normal	tissue	adult	C57BL/6J	not available	3 hour	enrichment of phosphorylated protein	no depletion	4	20140903_QEp6_ChRo_SA_Liver_Phospho_CT3_4	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	200m/z-2000m/z	2	5	0	270	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	not applicable	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	4.5 ppm	20 ppm	1	1	2014-09-04T05:56:04	20140903_QEp6_ChRo_SA_Liver_Phospho_CT3_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	3 hour
CT6-1	Mus musculus	liver	not applicable	normal	tissue	adult	C57BL/6J	not available	6 hour	enrichment of phosphorylated protein	no depletion	1	20140903_QEp6_ChRo_SA_Liver_Phospho_CT6_1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	200m/z-2000m/z	2	5	0	270	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	not applicable	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	4.5 ppm	20 ppm	1	1	2014-09-04T11:27:28	20140903_QEp6_ChRo_SA_Liver_Phospho_CT6_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	6 hour
CT6-2	Mus musculus	liver	not applicable	normal	tissue	adult	C57BL/6J	not available	6 hour	enrichment of phosphorylated protein	no depletion	2	20140903_QEp6_ChRo_SA_Liver_Phospho_CT6_2	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	200m/z-2000m/z	2	5	0	270	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	not applicable	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	4.5 ppm	20 ppm	1	1	2014-09-04T16:34:37	20140903_QEp6_ChRo_SA_Liver_Phospho_CT6_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	6 hour
CT6-3	Mus musculus	liver	not applicable	normal	tissue	adult	C57BL/6J	not available	6 hour	enrichment of phosphorylated protein	no depletion	3	20140903_QEp6_ChRo_SA_Liver_Phospho_CT6_3	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	200m/z-2000m/z	2	5	0	270	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	not applicable	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	4.5 ppm	20 ppm	1	1	2014-09-04T21:42:18	20140903_QEp6_ChRo_SA_Liver_Phospho_CT6_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	6 hour
