source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]
Sample 1	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 1	proteomic profiling by mass spectrometry	1	20141017_QEP1_PBE_PB_U2OS_SILAC_MG132_NMS873_6h_GG_IP_EXP1_SCX_01.raw	1	AC=MS:1002611;NT=silac reagent	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 2	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 2	proteomic profiling by mass spectrometry	1	20141017_QEP1_PBE_PB_U2OS_SILAC_MG132_NMS873_6h_GG_IP_EXP1_SCX_02.raw	2	AC=MS:1002611;NT=silac reagent	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 3	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 3	proteomic profiling by mass spectrometry	1	20141017_QEP1_PBE_PB_U2OS_SILAC_MG132_NMS873_6h_GG_IP_EXP1_SCX_03.raw	3	AC=MS:1002611;NT=silac reagent	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 4	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 4	proteomic profiling by mass spectrometry	1	20141017_QEP1_PBE_PB_U2OS_SILAC_MG132_NMS873_6h_GG_IP_EXP1_SCX_04.raw	4	AC=MS:1002611;NT=silac reagent	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 5	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 5	proteomic profiling by mass spectrometry	1	20141017_QEP1_PBE_PB_U2OS_SILAC_MG132_NMS873_6h_GG_IP_EXP1_SCX_05.raw	5	AC=MS:1002611;NT=silac reagent	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 6	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 6	proteomic profiling by mass spectrometry	1	20141017_QEP1_PBE_PB_U2OS_SILAC_MG132_NMS873_6h_GG_IP_EXP1_SCX_06.raw	6	AC=MS:1002611;NT=silac reagent	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 7	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 7	proteomic profiling by mass spectrometry	1	20141024_QEP1_PBE_PB_U2OS_SILAC_MG132_NMS873_6h_GG_IP_EXP2_SCX_01.raw	1	AC=MS:1002611;NT=silac reagent	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 8	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 8	proteomic profiling by mass spectrometry	1	20141024_QEP1_PBE_PB_U2OS_SILAC_MG132_NMS873_6h_GG_IP_EXP2_SCX_02.raw	2	AC=MS:1002611;NT=silac reagent	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 9	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 9	proteomic profiling by mass spectrometry	1	20141024_QEP1_PBE_PB_U2OS_SILAC_MG132_NMS873_6h_GG_IP_EXP2_SCX_03.raw	3	AC=MS:1002611;NT=silac reagent	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 10	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 10	proteomic profiling by mass spectrometry	1	20141024_QEP1_PBE_PB_U2OS_SILAC_MG132_NMS873_6h_GG_IP_EXP2_SCX_04.raw	4	AC=MS:1002611;NT=silac reagent	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
