source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[material type]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[individual]	characteristics[treatment]	characteristics[sampling time]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[ms1 scan range]	comment[ms2 mass analyzer]	comment[cleavage agent details]	comment[cleavage agent details]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[elution conditions]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[cell type]	factor value[treatment]
B.cell.bulk_steady-state_cellular_01	Homo sapiens	blood	B cell	normal	cell	adult	not available	not available	not available	not available	untreated	not applicable	1	Library_single.shot_93steady-state	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	26 NCE	300m/z-1650m/z	NT=orbitrap;AC=MS:1000484	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	7 ppm	20 ppm	not applicable	nonlinear 5-60% buffer B (80% acetonitrile, 0.5% formic acid) over 180 min at 250 nl/min	1	1	Library_single.shot_93steady-state.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	B cell	untreated
B.cell.bulk_steady-state_cellular_02	Homo sapiens	blood	B cell	normal	cell	adult	not available	not available	not available	not available	untreated	not applicable	2	Library_single.shot_17steady-state	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	26 NCE	300m/z-1650m/z	NT=orbitrap;AC=MS:1000484	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	7 ppm	20 ppm	not applicable	nonlinear 5-60% buffer B (80% acetonitrile, 0.5% formic acid) over 180 min at 250 nl/min	1	1	Library_single.shot_17steady-state.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	B cell	untreated
B.memory_BCR.CpG.CD40_cellular_01	Homo sapiens	blood	memory B cell	normal	cell	adult	not available	not available	not available	not available	anti-immunoglobulin, CpG oligodeoxynucleotide and anti-CD40 antibody cocktail	96 hour	1	B.memory_01activated	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	26 NCE	300m/z-1650m/z	NT=orbitrap;AC=MS:1000484	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	7 ppm	20 ppm	not applicable	nonlinear 5-60% buffer B (80% acetonitrile, 0.5% formic acid) over 180 min at 250 nl/min	1	1	B.memory_01activated.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	memory B cell	anti-immunoglobulin, CpG oligodeoxynucleotide and anti-CD40 antibody cocktail
B.memory_BCR.CpG.CD40_cellular_02	Homo sapiens	blood	memory B cell	normal	cell	adult	not available	not available	not available	not available	anti-immunoglobulin, CpG oligodeoxynucleotide and anti-CD40 antibody cocktail	96 hour	2	B.memory_02activated	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	26 NCE	300m/z-1650m/z	NT=orbitrap;AC=MS:1000484	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	7 ppm	20 ppm	not applicable	nonlinear 5-60% buffer B (80% acetonitrile, 0.5% formic acid) over 180 min at 250 nl/min	1	1	B.memory_02activated.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	memory B cell	anti-immunoglobulin, CpG oligodeoxynucleotide and anti-CD40 antibody cocktail
B.memory_BCR.CpG.CD40_cellular_03	Homo sapiens	blood	memory B cell	normal	cell	adult	not available	not available	not available	not available	anti-immunoglobulin, CpG oligodeoxynucleotide and anti-CD40 antibody cocktail	96 hour	3	B.memory_03activated	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	26 NCE	300m/z-1650m/z	NT=orbitrap;AC=MS:1000484	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	7 ppm	20 ppm	not applicable	nonlinear 5-60% buffer B (80% acetonitrile, 0.5% formic acid) over 180 min at 250 nl/min	1	1	B.memory_03activated.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	memory B cell	anti-immunoglobulin, CpG oligodeoxynucleotide and anti-CD40 antibody cocktail
B.memory_BCR.CpG.CD40_cellular_04	Homo sapiens	blood	memory B cell	normal	cell	adult	not available	not available	not available	not available	anti-immunoglobulin, CpG oligodeoxynucleotide and anti-CD40 antibody cocktail	96 hour	4	B.memory_04activated	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	26 NCE	300m/z-1650m/z	NT=orbitrap;AC=MS:1000484	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	7 ppm	20 ppm	not applicable	nonlinear 5-60% buffer B (80% acetonitrile, 0.5% formic acid) over 180 min at 250 nl/min	1	1	B.memory_04activated.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	memory B cell	anti-immunoglobulin, CpG oligodeoxynucleotide and anti-CD40 antibody cocktail
B.memory_BCR.CpG.CD40_cellular_05	Homo sapiens	blood	memory B cell	normal	cell	adult	not available	not available	not available	not available	anti-immunoglobulin, CpG oligodeoxynucleotide and anti-CD40 antibody cocktail	96 hour	5	Library_single.shot_26activated	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	26 NCE	300m/z-1650m/z	NT=orbitrap;AC=MS:1000484	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	7 ppm	20 ppm	not applicable	nonlinear 5-60% buffer B (80% acetonitrile, 0.5% formic acid) over 180 min at 250 nl/min	1	1	Library_single.shot_26activated.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	memory B cell	anti-immunoglobulin, CpG oligodeoxynucleotide and anti-CD40 antibody cocktail
B.memory_BCR.CpG.CD40_cellular_06	Homo sapiens	blood	memory B cell	normal	cell	adult	not available	not available	not available	not available	anti-immunoglobulin, CpG oligodeoxynucleotide and anti-CD40 antibody cocktail	96 hour	6	Library_single.shot_24activated	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	26 NCE	300m/z-1650m/z	NT=orbitrap;AC=MS:1000484	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	7 ppm	20 ppm	not applicable	nonlinear 5-60% buffer B (80% acetonitrile, 0.5% formic acid) over 180 min at 250 nl/min	1	1	Library_single.shot_24activated.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	memory B cell	anti-immunoglobulin, CpG oligodeoxynucleotide and anti-CD40 antibody cocktail
B.memory_steady-state_cellular_01	Homo sapiens	blood	memory B cell	normal	cell	adult	not available	not available	not available	not available	untreated	not applicable	1	B.memory_01steady-state	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	26 NCE	300m/z-1650m/z	NT=orbitrap;AC=MS:1000484	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	7 ppm	20 ppm	not applicable	nonlinear 5-60% buffer B (80% acetonitrile, 0.5% formic acid) over 180 min at 250 nl/min	1	1	B.memory_01steady-state.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	memory B cell	untreated
B.memory_steady-state_cellular_02	Homo sapiens	blood	memory B cell	normal	cell	adult	not available	not available	not available	not available	untreated	not applicable	2	B.memory_02steady-state	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	26 NCE	300m/z-1650m/z	NT=orbitrap;AC=MS:1000484	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	7 ppm	20 ppm	not applicable	nonlinear 5-60% buffer B (80% acetonitrile, 0.5% formic acid) over 180 min at 250 nl/min	1	1	B.memory_02steady-state.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	memory B cell	untreated
