source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[cell type]	characteristics[disease]	characteristics[material type]	characteristics[sex]	characteristics[age]	characteristics[ancestry category]	characteristics[developmental stage]	characteristics[individual]	characteristics[sampling site]	characteristics[culture medium]	characteristics[passage number]	characteristics[biorepository]	characteristics[cell line authentication]	characteristics[sample storage temperature]	characteristics[enrichment process]	characteristics[bait protein]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[ms2 mass analyzer]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms1 scan range]	comment[reduction reagent]	comment[alkylation reagent]	comment[fractionation method]	comment[acquisition date]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[bait protein]
PXD004912-Sample-1	Homo sapiens	uterine cervix	HeLa	CVCL_0030	HeLa	epithelial cell	endocervical adenocarcinoma	cell line	female	30Y6M	African American	adult	not available	uterine cervix	Dulbecco's Modified Eagle Medium	not available	Max Planck Institute of Molecular Cell Biology and Genetics (gift from A. Hyman)	not authenticated by the authors; routinely tested for mycoplasma	not available	protein complex immunoprecipitation	SCAI	1	run 1	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap;AC=MS:1000449	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=ion trap;AC=MS:1000264	40 NCE	not available	0.5 Da	300m/z-1650m/z	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	2011-04-02	1	1	MCP_ky_0004864_0120_12_JBA_SCAI.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	SCAI
PXD004912-Sample-2	Homo sapiens	uterine cervix	HeLa	CVCL_0030	HeLa	epithelial cell	endocervical adenocarcinoma	cell line	female	30Y6M	African American	adult	not available	uterine cervix	Dulbecco's Modified Eagle Medium	not available	Max Planck Institute of Molecular Cell Biology and Genetics (gift from A. Hyman)	not authenticated by the authors; routinely tested for mycoplasma	not available	protein complex immunoprecipitation	SCAI	2	run 2	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap;AC=MS:1000449	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=ion trap;AC=MS:1000264	40 NCE	not available	0.5 Da	300m/z-1650m/z	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	2011-06-05	1	1	MCP_ky_0004864_0129_42_JBA_SCAI.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	SCAI
PXD004912-Sample-3	Homo sapiens	uterine cervix	HeLa	CVCL_0030	HeLa	epithelial cell	endocervical adenocarcinoma	cell line	female	30Y6M	African American	adult	not available	uterine cervix	Dulbecco's Modified Eagle Medium	not available	Max Planck Institute of Molecular Cell Biology and Genetics (gift from A. Hyman)	not authenticated by the authors; routinely tested for mycoplasma	not available	protein complex immunoprecipitation	SCAI	3	run 3	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap;AC=MS:1000449	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=ion trap;AC=MS:1000264	40 NCE	not available	0.5 Da	300m/z-1650m/z	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	2011-06-06	1	1	MCP_ky_0004864_0130_06_JBA_SCAI.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	SCAI
PXD004912-Sample-4	Homo sapiens	uterine cervix	HeLa	CVCL_0030	HeLa	epithelial cell	endocervical adenocarcinoma	cell line	female	30Y6M	African American	adult	not available	uterine cervix	Dulbecco's Modified Eagle Medium	not available	not available	not authenticated by the authors; routinely tested for mycoplasma	not available	protein complex immunoprecipitation	TP53BP1	1	run 4	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap;AC=MS:1000449	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=ion trap;AC=MS:1000264	40 NCE	not available	0.5 Da	300m/z-1650m/z	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	2010-08-24	1	1	MCP_ky_0003740_0079_16_JBA_TP53BP1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	TP53BP1
PXD004912-Sample-5	Homo sapiens	uterine cervix	HeLa	CVCL_0030	HeLa	epithelial cell	endocervical adenocarcinoma	cell line	female	30Y6M	African American	adult	not available	uterine cervix	Dulbecco's Modified Eagle Medium	not available	not available	not authenticated by the authors; routinely tested for mycoplasma	not available	protein complex immunoprecipitation	TP53BP1	2	run 5	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap;AC=MS:1000449	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=ion trap;AC=MS:1000264	40 NCE	not available	0.5 Da	300m/z-1650m/z	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	2010-08-30	1	1	MCP_ky_0003740_0080_24_JBA_TP53BP1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	TP53BP1
PXD004912-Sample-6	Homo sapiens	uterine cervix	HeLa	CVCL_0030	HeLa	epithelial cell	endocervical adenocarcinoma	cell line	female	30Y6M	African American	adult	not available	uterine cervix	Dulbecco's Modified Eagle Medium	not available	not available	not authenticated by the authors; routinely tested for mycoplasma	not available	protein complex immunoprecipitation	TP53BP1	3	run 6	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap;AC=MS:1000449	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=ion trap;AC=MS:1000264	40 NCE	not available	0.5 Da	300m/z-1650m/z	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	2011-05-31	1	1	MCP_ky_0003740_0129_04_JBA_TP53BP1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	TP53BP1
PXD004912-Sample-7	Homo sapiens	uterine cervix	HeLa	CVCL_0030	HeLa	epithelial cell	endocervical adenocarcinoma	cell line	female	30Y6M	African American	adult	not available	uterine cervix	Dulbecco's Modified Eagle Medium	not available	not available	not authenticated by the authors; routinely tested for mycoplasma	not available	protein complex immunoprecipitation	not applicable	1	run 7	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap;AC=MS:1000449	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=ion trap;AC=MS:1000264	40 NCE	not available	0.5 Da	300m/z-1650m/z	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	2012-07-04	1	1	MCP_ky_0006185_0183_17_JBA_BG.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	not applicable
PXD004912-Sample-8	Homo sapiens	uterine cervix	HeLa	CVCL_0030	HeLa	epithelial cell	endocervical adenocarcinoma	cell line	female	30Y6M	African American	adult	not available	uterine cervix	Dulbecco's Modified Eagle Medium	not available	not available	not authenticated by the authors; routinely tested for mycoplasma	not available	protein complex immunoprecipitation	not applicable	2	run 8	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap;AC=MS:1000449	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=ion trap;AC=MS:1000264	40 NCE	not available	0.5 Da	300m/z-1650m/z	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	2012-07-16	1	1	MCP_ky_0006185_0184_12_JBA_BG.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	not applicable
PXD004912-Sample-9	Homo sapiens	uterine cervix	HeLa	CVCL_0030	HeLa	epithelial cell	endocervical adenocarcinoma	cell line	female	30Y6M	African American	adult	not available	uterine cervix	Dulbecco's Modified Eagle Medium	not available	not available	not authenticated by the authors; routinely tested for mycoplasma	not available	protein complex immunoprecipitation	not applicable	3	run 9	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap;AC=MS:1000449	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=ion trap;AC=MS:1000264	40 NCE	not available	0.5 Da	300m/z-1650m/z	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	2012-07-13	1	1	MCP_ky_0006185_0185_31_JBA_BG.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	not applicable
PXD004912-Sample-10	Homo sapiens	uterine cervix	HeLa	CVCL_0030	HeLa	epithelial cell	endocervical adenocarcinoma	cell line	female	30Y6M	African American	adult	not available	uterine cervix	Dulbecco's Modified Eagle Medium	not available	not available	not authenticated by the authors; routinely tested for mycoplasma	not available	protein complex immunoprecipitation	not applicable	4	run 10	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap;AC=MS:1000449	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=ion trap;AC=MS:1000264	40 NCE	not available	0.5 Da	300m/z-1650m/z	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	2013-08-02	1	1	20130802_HELA_1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	not applicable
