source name	characteristics[organism]	characteristics[organism part]	characteristics[tissue supergroup]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[sex]	characteristics[strain or breed]	characteristics[sampling time]	characteristics[material type]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[ms2 mass analyzer]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms min mz]	comment[ms max mz]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[acquisition date]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[disease]	factor value[sampling time]	factor value[organism part]	factor value[enrichment process]
soluble_5w_tg_ce_rep1	Mus musculus	cerebellum	central nervous system	not applicable	Huntington disease	juvenile stage	female	R6/2 (B6CBA-Tg(HDexon1)62Gpb/1J), CAG 150+/-5 transgenic	5 week	tissue	not applicable	1	20140210_EXQ6_FaHo_SA_241_5w_tg_ce_whole_r1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable;PP=Anywhere	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	4.5 ppm	20 ppm	not available	not available	300m/z	1700m/z	not applicable	1	1	2014-02-10T23:06:11	20140210_EXQ6_FaHo_SA_241_5w_tg_ce_whole_r1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Huntington disease	5 week	cerebellum	not applicable
soluble_5w_tg_ce_rep2	Mus musculus	cerebellum	central nervous system	not applicable	Huntington disease	juvenile stage	female	R6/2 (B6CBA-Tg(HDexon1)62Gpb/1J), CAG 150+/-5 transgenic	5 week	tissue	not applicable	2	20140210_EXQ6_FaHo_SA_253_5w_tg_ce_whole_r2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable;PP=Anywhere	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	4.5 ppm	20 ppm	not available	not available	300m/z	1700m/z	not applicable	1	1	2014-02-11T18:40:46	20140210_EXQ6_FaHo_SA_253_5w_tg_ce_whole_r2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Huntington disease	5 week	cerebellum	not applicable
soluble_5w_tg_ce_rep3	Mus musculus	cerebellum	central nervous system	not applicable	Huntington disease	juvenile stage	female	R6/2 (B6CBA-Tg(HDexon1)62Gpb/1J), CAG 150+/-5 transgenic	5 week	tissue	not applicable	3	20140212_EXQ6_FaHo_SA_265_5w_tg_ce_whole_r3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable;PP=Anywhere	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	4.5 ppm	20 ppm	not available	not available	300m/z	1700m/z	not applicable	1	1	2014-02-12T13:18:08	20140212_EXQ6_FaHo_SA_265_5w_tg_ce_whole_r3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Huntington disease	5 week	cerebellum	not applicable
soluble_5w_tg_ce_rep4	Mus musculus	cerebellum	central nervous system	not applicable	Huntington disease	juvenile stage	female	R6/2 (B6CBA-Tg(HDexon1)62Gpb/1J), CAG 150+/-5 transgenic	5 week	tissue	not applicable	4	20140212_EXQ6_FaHo_SA_277_5w_tg_ce_whole_r4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable;PP=Anywhere	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	4.5 ppm	20 ppm	not available	not available	300m/z	1700m/z	not applicable	1	1	2014-02-13T07:56:09	20140212_EXQ6_FaHo_SA_277_5w_tg_ce_whole_r4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Huntington disease	5 week	cerebellum	not applicable
soluble_5w_tg_co_rep1	Mus musculus	cerebral cortex	central nervous system	not applicable	Huntington disease	juvenile stage	female	R6/2 (B6CBA-Tg(HDexon1)62Gpb/1J), CAG 150+/-5 transgenic	5 week	tissue	not applicable	1	20140210_EXQ6_FaHo_SA_242_5w_tg_co_whole_r1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable;PP=Anywhere	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	4.5 ppm	20 ppm	not available	not available	300m/z	1700m/z	not applicable	1	1	2014-02-11T03:45:02	20140210_EXQ6_FaHo_SA_242_5w_tg_co_whole_r1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Huntington disease	5 week	cerebral cortex	not applicable
soluble_5w_tg_co_rep2	Mus musculus	cerebral cortex	central nervous system	not applicable	Huntington disease	juvenile stage	female	R6/2 (B6CBA-Tg(HDexon1)62Gpb/1J), CAG 150+/-5 transgenic	5 week	tissue	not applicable	2	20140210_EXQ6_FaHo_SA_254_5w_tg_co_whole_r2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable;PP=Anywhere	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	4.5 ppm	20 ppm	not available	not available	300m/z	1700m/z	not applicable	1	1	2014-02-11T23:20:14	20140210_EXQ6_FaHo_SA_254_5w_tg_co_whole_r2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Huntington disease	5 week	cerebral cortex	not applicable
soluble_5w_tg_co_rep3	Mus musculus	cerebral cortex	central nervous system	not applicable	Huntington disease	juvenile stage	female	R6/2 (B6CBA-Tg(HDexon1)62Gpb/1J), CAG 150+/-5 transgenic	5 week	tissue	not applicable	3	20140212_EXQ6_FaHo_SA_266_5w_tg_co_whole_r3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable;PP=Anywhere	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	4.5 ppm	20 ppm	not available	not available	300m/z	1700m/z	not applicable	1	1	2014-02-12T17:57:36	20140212_EXQ6_FaHo_SA_266_5w_tg_co_whole_r3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Huntington disease	5 week	cerebral cortex	not applicable
soluble_5w_tg_co_rep4	Mus musculus	cerebral cortex	central nervous system	not applicable	Huntington disease	juvenile stage	female	R6/2 (B6CBA-Tg(HDexon1)62Gpb/1J), CAG 150+/-5 transgenic	5 week	tissue	not applicable	4	20140212_EXQ6_FaHo_SA_278_5w_tg_co_whole_r4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable;PP=Anywhere	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	4.5 ppm	20 ppm	not available	not available	300m/z	1700m/z	not applicable	1	1	2014-02-13T12:35:27	20140212_EXQ6_FaHo_SA_278_5w_tg_co_whole_r4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Huntington disease	5 week	cerebral cortex	not applicable
soluble_5w_tg_hc_rep1	Mus musculus	hippocampal formation	central nervous system	not applicable	Huntington disease	juvenile stage	female	R6/2 (B6CBA-Tg(HDexon1)62Gpb/1J), CAG 150+/-5 transgenic	5 week	tissue	not applicable	1	20140210_EXQ6_FaHo_SA_243_5w_tg_hc_whole_r1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable;PP=Anywhere	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	4.5 ppm	20 ppm	not available	not available	300m/z	1700m/z	not applicable	1	1	2014-02-11T09:23:11	20140210_EXQ6_FaHo_SA_243_5w_tg_hc_whole_r1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Huntington disease	5 week	hippocampal formation	not applicable
soluble_5w_tg_hc_rep2	Mus musculus	hippocampal formation	central nervous system	not applicable	Huntington disease	juvenile stage	female	R6/2 (B6CBA-Tg(HDexon1)62Gpb/1J), CAG 150+/-5 transgenic	5 week	tissue	not applicable	2	20140210_EXQ6_FaHo_SA_255_5w_tg_hc_whole_r2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable;PP=Anywhere	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	4.5 ppm	20 ppm	not available	not available	300m/z	1700m/z	not applicable	1	1	2014-02-12T03:59:18	20140210_EXQ6_FaHo_SA_255_5w_tg_hc_whole_r2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Huntington disease	5 week	hippocampal formation	not applicable
