source name	characteristics[organism]	characteristics[organism part]	characteristics[tissue supergroup]	characteristics[cell type]	characteristics[disease]	characteristics[material type]	characteristics[sample type]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[individual]	characteristics[treatment]	characteristics[sampling time]	characteristics[depletion]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[ms2 scan range]	comment[ms min charge]	comment[ms max charge]	comment[ms min rt]	comment[ms max rt]	comment[reduction reagent]	comment[alkylation reagent]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[elution conditions]	comment[sample preparation batch]	comment[acquisition date]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]	factor value[treatment]
BAT_donor1_control	Homo sapiens	brown adipose tissue	adipose tissue	brown adipocyte	not available	cell	study sample	adult	not available	not available	not available	BAT_donor1	untreated	4 hour	no depletion	1	BAT_woNE1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	6 ppm	20 ppm	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	not available	2	not available	0	160	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	1	1	160 min linear gradient to 80% acetonitrile in 0.5% formic acid at 250 nL/min	secretome-2014	2014-04-06	20140406_EXQ8_AtDe_SA_BAT_Secr_MP33_wo_NE1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	brown adipose tissue	untreated
BAT_donor1_NE	Homo sapiens	brown adipose tissue	adipose tissue	brown adipocyte	not available	cell	study sample	adult	not available	not available	not available	BAT_donor1	l-Norepinephrine	4 hour	no depletion	1	BAT_NE1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	6 ppm	20 ppm	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	not available	2	not available	0	160	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	1	1	160 min linear gradient to 80% acetonitrile in 0.5% formic acid at 250 nL/min	secretome-2014	2014-04-06	20140406_EXQ8_AtDe_SA_BAT_Secr_MP34_NE1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	brown adipose tissue	l-Norepinephrine
BAT_donor2_control	Homo sapiens	brown adipose tissue	adipose tissue	brown adipocyte	not available	cell	study sample	adult	not available	not available	not available	BAT_donor2	untreated	4 hour	no depletion	2	BAT_woNE2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	6 ppm	20 ppm	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	not available	2	not available	0	160	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	1	1	160 min linear gradient to 80% acetonitrile in 0.5% formic acid at 250 nL/min	secretome-2014	2014-04-06	20140406_EXQ8_AtDe_SA_BAT_Secr_MP45_wo_NE2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	brown adipose tissue	untreated
BAT_donor2_NE	Homo sapiens	brown adipose tissue	adipose tissue	brown adipocyte	not available	cell	study sample	adult	not available	not available	not available	BAT_donor2	l-Norepinephrine	4 hour	no depletion	2	BAT_NE2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	6 ppm	20 ppm	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	not available	2	not available	0	160	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	1	1	160 min linear gradient to 80% acetonitrile in 0.5% formic acid at 250 nL/min	secretome-2014	2014-04-06	20140406_EXQ8_AtDe_SA_BAT_Secr_MP46_NE2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	brown adipose tissue	l-Norepinephrine
BAT_donor3_control	Homo sapiens	brown adipose tissue	adipose tissue	brown adipocyte	not available	cell	study sample	adult	not available	not available	not available	BAT_donor3	untreated	4 hour	no depletion	3	BAT_woNE3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	6 ppm	20 ppm	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	not available	2	not available	0	160	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	1	1	160 min linear gradient to 80% acetonitrile in 0.5% formic acid at 250 nL/min	secretome-2014	2014-04-06	20140406_EXQ8_AtDe_SA_BAT_Secr_MP49_wo_NE3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	brown adipose tissue	untreated
BAT_donor3_NE	Homo sapiens	brown adipose tissue	adipose tissue	brown adipocyte	not available	cell	study sample	adult	not available	not available	not available	BAT_donor3	l-Norepinephrine	4 hour	no depletion	3	BAT_NE3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	6 ppm	20 ppm	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	not available	2	not available	0	160	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	1	1	160 min linear gradient to 80% acetonitrile in 0.5% formic acid at 250 nL/min	secretome-2014	2014-04-06	20140406_EXQ8_AtDe_SA_BAT_Secr_MP50_NE3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	brown adipose tissue	l-Norepinephrine
BAT_donor4_control	Homo sapiens	brown adipose tissue	adipose tissue	brown adipocyte	not available	cell	study sample	adult	not available	not available	not available	BAT_donor4	untreated	4 hour	no depletion	4	BAT_woNE4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	6 ppm	20 ppm	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	not available	2	not available	0	160	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	1	1	160 min linear gradient to 80% acetonitrile in 0.5% formic acid at 250 nL/min	secretome-2014	2014-04-07	20140406_EXQ8_AtDe_SA_BAT_Secr_MP5_wo_NE4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	brown adipose tissue	untreated
BAT_donor4_NE	Homo sapiens	brown adipose tissue	adipose tissue	brown adipocyte	not available	cell	study sample	adult	not available	not available	not available	BAT_donor4	l-Norepinephrine	4 hour	no depletion	4	BAT_NE4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	6 ppm	20 ppm	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	not available	2	not available	0	160	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	1	1	160 min linear gradient to 80% acetonitrile in 0.5% formic acid at 250 nL/min	secretome-2014	2014-04-07	20140406_EXQ8_AtDe_SA_BAT_Secr_MP6_NE4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	brown adipose tissue	l-Norepinephrine
BAT_donor5_control	Homo sapiens	brown adipose tissue	adipose tissue	brown adipocyte	not available	cell	study sample	adult	not available	not available	not available	BAT_donor5	untreated	4 hour	no depletion	5	BAT_woNE5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	6 ppm	20 ppm	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	not available	2	not available	0	160	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	1	1	160 min linear gradient to 80% acetonitrile in 0.5% formic acid at 250 nL/min	secretome-2014	2014-04-07	20140406_EXQ8_AtDe_SA_BAT_Secr_MP11_wo_NE5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	brown adipose tissue	untreated
BAT_donor5_NE	Homo sapiens	brown adipose tissue	adipose tissue	brown adipocyte	not available	cell	study sample	adult	not available	not available	not available	BAT_donor5	l-Norepinephrine	4 hour	no depletion	5	BAT_NE5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	6 ppm	20 ppm	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	not available	2	not available	0	160	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	1	1	160 min linear gradient to 80% acetonitrile in 0.5% formic acid at 250 nL/min	secretome-2014	2014-04-07	20140406_EXQ8_AtDe_SA_BAT_Secr_MP12_NE5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	brown adipose tissue	l-Norepinephrine
