source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[sex]	characteristics[strain or breed]	characteristics[material type]	characteristics[enrichment process]	characteristics[dna substrate]	characteristics[treatment]	characteristics[sampling time]	characteristics[sample type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[dissociation method]	comment[collision energy]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[ms2 scan range]	comment[ms min charge]	comment[ms max charge]	comment[elution conditions]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[acquisition date]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[dna substrate]	factor value[treatment]	factor value[sampling time]
PXD008831-Sample-1	Xenopus laevis	egg	egg cell	normal	adult	female	not available	not applicable	sample enrichment	pCTRL	untreated	10 minute	control sample	1	run 1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	7 ppm	20 ppm	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	200m/z-2000m/z	2	6	nanoflow reversed-phase LC (EASY-nLC) at 200 nL/min, 2-5% B in 3 min, 5-35% B in 190 min, 35-65% B in 12 min, 65-95% B in 5 min, 95% B for 5 min, back to 5% B, 226 min total	not applicable	1	1	2016-02-24T14:09:34	20160223_QEp6_MaRa_SA_mr4p44_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	pCTRL	untreated	10 minute
PXD008831-Sample-2	Xenopus laevis	egg	egg cell	normal	adult	female	not available	not applicable	sample enrichment	pCTRL	untreated	10 minute	control sample	2	run 2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	7 ppm	20 ppm	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	200m/z-2000m/z	2	6	nanoflow reversed-phase LC (EASY-nLC) at 200 nL/min, 2-5% B in 3 min, 5-35% B in 190 min, 35-65% B in 12 min, 65-95% B in 5 min, 95% B for 5 min, back to 5% B, 226 min total	not applicable	1	1	2016-02-24T18:28:02	20160223_QEp6_MaRa_SA_mr4p44_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	pCTRL	untreated	10 minute
PXD008831-Sample-3	Xenopus laevis	egg	egg cell	normal	adult	female	not available	not applicable	sample enrichment	pCTRL	untreated	10 minute	control sample	3	run 3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	7 ppm	20 ppm	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	200m/z-2000m/z	2	6	nanoflow reversed-phase LC (EASY-nLC) at 200 nL/min, 2-5% B in 3 min, 5-35% B in 190 min, 35-65% B in 12 min, 65-95% B in 5 min, 95% B for 5 min, back to 5% B, 226 min total	not applicable	1	1	2016-02-24T22:47:51	20160223_QEp6_MaRa_SA_mr4p44_07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	pCTRL	untreated	10 minute
PXD008831-Sample-4	Xenopus laevis	egg	egg cell	normal	adult	female	not available	not applicable	sample enrichment	pCTRL	untreated	10 minute	control sample	4	run 4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	7 ppm	20 ppm	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	200m/z-2000m/z	2	6	nanoflow reversed-phase LC (EASY-nLC) at 200 nL/min, 2-5% B in 3 min, 5-35% B in 190 min, 35-65% B in 12 min, 65-95% B in 5 min, 95% B for 5 min, back to 5% B, 226 min total	not applicable	1	1	2016-02-25T03:06:38	20160223_QEp6_MaRa_SA_mr4p44_08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	pCTRL	untreated	10 minute
PXD008831-Sample-5	Xenopus laevis	egg	egg cell	normal	adult	female	not available	not applicable	sample enrichment	pCTRL	untreated	40 minute	control sample	1	run 5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	7 ppm	20 ppm	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	200m/z-2000m/z	2	6	nanoflow reversed-phase LC (EASY-nLC) at 200 nL/min, 2-5% B in 3 min, 5-35% B in 190 min, 35-65% B in 12 min, 65-95% B in 5 min, 95% B for 5 min, back to 5% B, 226 min total	not applicable	1	1	2016-02-25T07:54:31	20160223_QEp6_MaRa_SA_mr4p44_09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	pCTRL	untreated	40 minute
PXD008831-Sample-6	Xenopus laevis	egg	egg cell	normal	adult	female	not available	not applicable	sample enrichment	pCTRL	untreated	40 minute	control sample	2	run 6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	7 ppm	20 ppm	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	200m/z-2000m/z	2	6	nanoflow reversed-phase LC (EASY-nLC) at 200 nL/min, 2-5% B in 3 min, 5-35% B in 190 min, 35-65% B in 12 min, 65-95% B in 5 min, 95% B for 5 min, back to 5% B, 226 min total	not applicable	1	1	2016-02-25T12:13:29	20160223_QEp6_MaRa_SA_mr4p44_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	pCTRL	untreated	40 minute
PXD008831-Sample-7	Xenopus laevis	egg	egg cell	normal	adult	female	not available	not applicable	sample enrichment	pCTRL	untreated	40 minute	control sample	3	run 7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	7 ppm	20 ppm	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	200m/z-2000m/z	2	6	nanoflow reversed-phase LC (EASY-nLC) at 200 nL/min, 2-5% B in 3 min, 5-35% B in 190 min, 35-65% B in 12 min, 65-95% B in 5 min, 95% B for 5 min, back to 5% B, 226 min total	not applicable	1	1	2016-02-25T16:32:33	20160223_QEp6_MaRa_SA_mr4p44_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	pCTRL	untreated	40 minute
PXD008831-Sample-8	Xenopus laevis	egg	egg cell	normal	adult	female	not available	not applicable	sample enrichment	pCTRL	untreated	40 minute	control sample	4	run 8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	7 ppm	20 ppm	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	200m/z-2000m/z	2	6	nanoflow reversed-phase LC (EASY-nLC) at 200 nL/min, 2-5% B in 3 min, 5-35% B in 190 min, 35-65% B in 12 min, 65-95% B in 5 min, 95% B for 5 min, back to 5% B, 226 min total	not applicable	1	1	2016-02-25T20:51:57	20160223_QEp6_MaRa_SA_mr4p44_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	pCTRL	untreated	40 minute
PXD008831-Sample-9	Xenopus laevis	egg	egg cell	normal	adult	female	not available	not applicable	sample enrichment	pCTRL	geminin	10 minute	control sample	1	run 9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	7 ppm	20 ppm	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	200m/z-2000m/z	2	6	nanoflow reversed-phase LC (EASY-nLC) at 200 nL/min, 2-5% B in 3 min, 5-35% B in 190 min, 35-65% B in 12 min, 65-95% B in 5 min, 95% B for 5 min, back to 5% B, 226 min total	not applicable	1	1	2016-02-23T20:26:47	20160223_QEp6_MaRa_SA_mr4p44_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	pCTRL	geminin	10 minute
PXD008831-Sample-10	Xenopus laevis	egg	egg cell	normal	adult	female	not available	not applicable	sample enrichment	pCTRL	geminin	10 minute	control sample	2	run 10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	7 ppm	20 ppm	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	200m/z-2000m/z	2	6	nanoflow reversed-phase LC (EASY-nLC) at 200 nL/min, 2-5% B in 3 min, 5-35% B in 190 min, 35-65% B in 12 min, 65-95% B in 5 min, 95% B for 5 min, back to 5% B, 226 min total	not applicable	1	1	2016-02-24T00:45:01	20160223_QEp6_MaRa_SA_mr4p44_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	pCTRL	geminin	10 minute
