source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[cell line authentication]	characteristics[cell type]	characteristics[disease]	characteristics[material type]	characteristics[sex]	characteristics[age]	characteristics[ancestry category]	characteristics[individual]	characteristics[passage number]	characteristics[culture medium]	characteristics[sample storage temperature]	characteristics[enrichment process]	characteristics[treatment]	characteristics[sampling time]	characteristics[tissue mass]	characteristics[pooled sample]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[ms2 mass analyzer]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms1 scan range]	comment[ms min rt]	comment[ms max rt]	comment[elution conditions]	comment[reduction reagent]	comment[alkylation reagent]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[sample preparation batch]	comment[sample preparation for assay]	comment[acquisition date]	comment[data file]	comment[associated data file]	comment[associated file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[treatment]	factor value[tissue mass]	factor value[instrument]	factor value[elution conditions]	factor value[sample preparation for assay]
U87_EPworkflow-updated_200ug_rep1	Homo sapiens	brain	U-87 MG	CVCL_0022	U-87MG ATCC	not available	not available	glioblastoma	cell line	male	not available	European ancestry	not available	not available	not available	not available	enrichment of phosphorylated protein	not available	not applicable	200 ug	not available	1	20170629_QEHF_SeHu_SA_EasyPhos_MethodCompare_New_200_1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	300m/z-1600m/z	0	110	not available	not available	not available	not applicable	1	1	not available	updated EasyPhos workflow	2017-07-03T19:42:00	20170629_QEHF_SeHu_SA_EasyPhos_MethodCompare_New_200_1.raw	EPmethodcompare_QEHF_Fig2_RAW.rar	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/09/PXD009227/EPmethodcompare_QEHF_Fig2_RAW.rar	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	not available	200 ug	NT=Q Exactive HF;AC=MS:1002523	not available	updated EasyPhos workflow
U87_EPworkflow-updated_200ug_rep2	Homo sapiens	brain	U-87 MG	CVCL_0022	U-87MG ATCC	not available	not available	glioblastoma	cell line	male	not available	European ancestry	not available	not available	not available	not available	enrichment of phosphorylated protein	not available	not applicable	200 ug	not available	2	20170629_QEHF_SeHu_SA_EasyPhos_MethodCompare_New_200_2	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	300m/z-1600m/z	0	110	not available	not available	not available	not applicable	1	1	not available	updated EasyPhos workflow	2017-07-04T07:38:01	20170629_QEHF_SeHu_SA_EasyPhos_MethodCompare_New_200_2.raw	EPmethodcompare_QEHF_Fig2_RAW.rar	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/09/PXD009227/EPmethodcompare_QEHF_Fig2_RAW.rar	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	not available	200 ug	NT=Q Exactive HF;AC=MS:1002523	not available	updated EasyPhos workflow
U87_EPworkflow-updated_200ug_rep3	Homo sapiens	brain	U-87 MG	CVCL_0022	U-87MG ATCC	not available	not available	glioblastoma	cell line	male	not available	European ancestry	not available	not available	not available	not available	enrichment of phosphorylated protein	not available	not applicable	200 ug	not available	3	20170629_QEHF_SeHu_SA_EasyPhos_MethodCompare_New_200_3	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	300m/z-1600m/z	0	110	not available	not available	not available	not applicable	1	1	not available	updated EasyPhos workflow	2017-07-04T12:14:20	20170629_QEHF_SeHu_SA_EasyPhos_MethodCompare_New_200_3.raw	EPmethodcompare_QEHF_Fig2_RAW.rar	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/09/PXD009227/EPmethodcompare_QEHF_Fig2_RAW.rar	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	not available	200 ug	NT=Q Exactive HF;AC=MS:1002523	not available	updated EasyPhos workflow
U87_EPworkflow-updated_200ug_rep4	Homo sapiens	brain	U-87 MG	CVCL_0022	U-87MG ATCC	not available	not available	glioblastoma	cell line	male	not available	European ancestry	not available	not available	not available	not available	enrichment of phosphorylated protein	not available	not applicable	200 ug	not available	4	20170629_QEHF_SeHu_SA_EasyPhos_MethodCompare_New_200_4	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	300m/z-1600m/z	0	110	not available	not available	not available	not applicable	1	1	not available	updated EasyPhos workflow	2017-07-04T21:44:05	20170629_QEHF_SeHu_SA_EasyPhos_MethodCompare_New_200_4.raw	EPmethodcompare_QEHF_Fig2_RAW.rar	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/09/PXD009227/EPmethodcompare_QEHF_Fig2_RAW.rar	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	not available	200 ug	NT=Q Exactive HF;AC=MS:1002523	not available	updated EasyPhos workflow
U87_EPworkflow-original_200ug_rep1	Homo sapiens	brain	U-87 MG	CVCL_0022	U-87MG ATCC	not available	not available	glioblastoma	cell line	male	not available	European ancestry	not available	not available	not available	not available	enrichment of phosphorylated protein	not available	not applicable	200 ug	not available	1	20170629_QEHF_SeHu_SA_EasyPhos_MethodCompare_Original_200_1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	300m/z-1600m/z	0	110	not available	not available	not available	not applicable	1	1	not available	original EasyPhos workflow	2017-07-03T22:08:29	20170629_QEHF_SeHu_SA_EasyPhos_MethodCompare_Original_200_1.raw	EPmethodcompare_QEHF_Fig2_RAW.rar	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/09/PXD009227/EPmethodcompare_QEHF_Fig2_RAW.rar	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	not available	200 ug	NT=Q Exactive HF;AC=MS:1002523	not available	original EasyPhos workflow
U87_EPworkflow-original_200ug_rep2	Homo sapiens	brain	U-87 MG	CVCL_0022	U-87MG ATCC	not available	not available	glioblastoma	cell line	male	not available	European ancestry	not available	not available	not available	not available	enrichment of phosphorylated protein	not available	not applicable	200 ug	not available	2	20170629_QEHF_SeHu_SA_EasyPhos_MethodCompare_Original_200_2	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	300m/z-1600m/z	0	110	not available	not available	not available	not applicable	1	1	not available	original EasyPhos workflow	2017-07-04T02:44:11	20170629_QEHF_SeHu_SA_EasyPhos_MethodCompare_Original_200_2.raw	EPmethodcompare_QEHF_Fig2_RAW.rar	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/09/PXD009227/EPmethodcompare_QEHF_Fig2_RAW.rar	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	not available	200 ug	NT=Q Exactive HF;AC=MS:1002523	not available	original EasyPhos workflow
U87_EPworkflow-original_200ug_rep3	Homo sapiens	brain	U-87 MG	CVCL_0022	U-87MG ATCC	not available	not available	glioblastoma	cell line	male	not available	European ancestry	not available	not available	not available	not available	enrichment of phosphorylated protein	not available	not applicable	200 ug	not available	3	20170629_QEHF_SeHu_SA_EasyPhos_MethodCompare_Original_200_3	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	300m/z-1600m/z	0	110	not available	not available	not available	not applicable	1	1	not available	original EasyPhos workflow	2017-07-04T19:17:10	20170629_QEHF_SeHu_SA_EasyPhos_MethodCompare_Original_200_3.raw	EPmethodcompare_QEHF_Fig2_RAW.rar	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/09/PXD009227/EPmethodcompare_QEHF_Fig2_RAW.rar	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	not available	200 ug	NT=Q Exactive HF;AC=MS:1002523	not available	original EasyPhos workflow
U87_EPworkflow-original_200ug_rep4	Homo sapiens	brain	U-87 MG	CVCL_0022	U-87MG ATCC	not available	not available	glioblastoma	cell line	male	not available	European ancestry	not available	not available	not available	not available	enrichment of phosphorylated protein	not available	not applicable	200 ug	not available	4	20170629_QEHF_SeHu_SA_EasyPhos_MethodCompare_Original_200_4	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	300m/z-1600m/z	0	110	not available	not available	not available	not applicable	1	1	not available	original EasyPhos workflow	2017-07-05T04:47:23	20170629_QEHF_SeHu_SA_EasyPhos_MethodCompare_Original_200_4.raw	EPmethodcompare_QEHF_Fig2_RAW.rar	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/09/PXD009227/EPmethodcompare_QEHF_Fig2_RAW.rar	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	not available	200 ug	NT=Q Exactive HF;AC=MS:1002523	not available	original EasyPhos workflow
U87_titration-90min_25ug_rep1	Homo sapiens	brain	U-87 MG	CVCL_0022	U-87MG ATCC	not available	not available	glioblastoma	cell line	male	not available	European ancestry	not available	not available	not available	not available	enrichment of phosphorylated protein	untreated	not applicable	25 ug	pooled	1	20170629_QEHF_SeHu_SA_EasyPhos_ISOdirect_25_1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	300m/z-1600m/z	0	110	90 minute LC gradient	not available	not available	not applicable	1	1	not available	updated EasyPhos workflow	2017-06-30T00:26:51	20170629_QEHF_SeHu_SA_EasyPhos_ISOdirect_25_1.raw	Dosetitration_QEHF_90min_SuppFig2a_RAW.rar	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/09/PXD009227/Dosetitration_QEHF_90min_SuppFig2a_RAW.rar	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	untreated	25 ug	NT=Q Exactive HF;AC=MS:1002523	90 minute LC gradient	updated EasyPhos workflow
U87_titration-90min_25ug_rep2	Homo sapiens	brain	U-87 MG	CVCL_0022	U-87MG ATCC	not available	not available	glioblastoma	cell line	male	not available	European ancestry	not available	not available	not available	not available	enrichment of phosphorylated protein	untreated	not applicable	25 ug	pooled	1	20170629_QEHF_SeHu_SA_EasyPhos_ISOdirect_25_2	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	300m/z-1600m/z	0	110	90 minute LC gradient	not available	not available	not applicable	1	1	not available	updated EasyPhos workflow	2017-06-30T20:02:01	20170629_QEHF_SeHu_SA_EasyPhos_ISOdirect_25_2.raw	Dosetitration_QEHF_90min_SuppFig2a_RAW.rar	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/09/PXD009227/Dosetitration_QEHF_90min_SuppFig2a_RAW.rar	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	untreated	25 ug	NT=Q Exactive HF;AC=MS:1002523	90 minute LC gradient	updated EasyPhos workflow
U87_titration-90min_25ug_rep3	Homo sapiens	brain	U-87 MG	CVCL_0022	U-87MG ATCC	not available	not available	glioblastoma	cell line	male	not available	European ancestry	not available	not available	not available	not available	enrichment of phosphorylated protein	untreated	not applicable	25 ug	pooled	1	20170629_QEHF_SeHu_SA_EasyPhos_ISOdirect_25_3	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	300m/z-1600m/z	0	110	90 minute LC gradient	not available	not available	not applicable	1	1	not available	updated EasyPhos workflow	2017-07-01T13:38:50	20170629_QEHF_SeHu_SA_EasyPhos_ISOdirect_25_3.raw	Dosetitration_QEHF_90min_SuppFig2a_RAW.rar	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/09/PXD009227/Dosetitration_QEHF_90min_SuppFig2a_RAW.rar	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	untreated	25 ug	NT=Q Exactive HF;AC=MS:1002523	90 minute LC gradient	updated EasyPhos workflow
