source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[sampling site]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[developmental stage]	characteristics[material type]	characteristics[culture medium]	characteristics[passage number]	characteristics[biorepository]	characteristics[cell line authentication]	characteristics[sample storage temperature]	characteristics[enrichment process]	characteristics[depletion]	characteristics[sample type]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[ms2 scan range]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[sample preparation batch]	comment[acquisition date]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[sample type]
Rep1_GFP_01	Homo sapiens	uterine cervix	epithelial cell	cervical adenocarcinoma	HeLa Kyoto	CVCL_1922	HeLa Kyoto	uterine cervix	30Y6M	female	African American	adult	cell line	Dulbecco's Modified Eagle Medium	not available	Heinrich Leonhardt laboratory, Ludwig-Maximilians-Universitaet Muenchen	not available	not available	not available	no depletion	negative control	1	run 1	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	not applicable	1	1	Rep1	2014-09-29	20140929_QEp4_EvKe_SA_LC6_GFP_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	negative control
Rep1_GFP_02	Homo sapiens	uterine cervix	epithelial cell	cervical adenocarcinoma	HeLa Kyoto	CVCL_1922	HeLa Kyoto	uterine cervix	30Y6M	female	African American	adult	cell line	Dulbecco's Modified Eagle Medium	not available	Heinrich Leonhardt laboratory, Ludwig-Maximilians-Universitaet Muenchen	not available	not available	not available	no depletion	negative control	2	run 2	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	not applicable	1	1	Rep1	2014-09-29	20140929_QEp4_EvKe_SA_LC6_GFP_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	negative control
Rep1_GFP_03	Homo sapiens	uterine cervix	epithelial cell	cervical adenocarcinoma	HeLa Kyoto	CVCL_1922	HeLa Kyoto	uterine cervix	30Y6M	female	African American	adult	cell line	Dulbecco's Modified Eagle Medium	not available	Heinrich Leonhardt laboratory, Ludwig-Maximilians-Universitaet Muenchen	not available	not available	not available	no depletion	negative control	3	run 3	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	not applicable	1	1	Rep1	2014-09-29	20140929_QEp4_EvKe_SA_LC6_GFP_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	negative control
Rep1_PWWP2A_01	Homo sapiens	uterine cervix	epithelial cell	cervical adenocarcinoma	HeLa Kyoto	CVCL_1922	HeLa Kyoto	uterine cervix	30Y6M	female	African American	adult	cell line	Dulbecco's Modified Eagle Medium	not available	Heinrich Leonhardt laboratory, Ludwig-Maximilians-Universitaet Muenchen	not available	not available	not available	no depletion	study sample	1	run 4	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	not applicable	1	1	Rep1	2014-09-29	20140929_QEp4_EvKe_SA_LC6_PWWP2A_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	study sample
Rep1_PWWP2A_02	Homo sapiens	uterine cervix	epithelial cell	cervical adenocarcinoma	HeLa Kyoto	CVCL_1922	HeLa Kyoto	uterine cervix	30Y6M	female	African American	adult	cell line	Dulbecco's Modified Eagle Medium	not available	Heinrich Leonhardt laboratory, Ludwig-Maximilians-Universitaet Muenchen	not available	not available	not available	no depletion	study sample	2	run 5	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	not applicable	1	1	Rep1	2014-09-29	20140929_QEp4_EvKe_SA_LC6_PWWP2A_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	study sample
Rep1_PWWP2A_03	Homo sapiens	uterine cervix	epithelial cell	cervical adenocarcinoma	HeLa Kyoto	CVCL_1922	HeLa Kyoto	uterine cervix	30Y6M	female	African American	adult	cell line	Dulbecco's Modified Eagle Medium	not available	Heinrich Leonhardt laboratory, Ludwig-Maximilians-Universitaet Muenchen	not available	not available	not available	no depletion	study sample	3	run 6	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	not applicable	1	1	Rep1	2014-09-29	20140929_QEp4_EvKe_SA_LC6_PWWP2A_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	study sample
Rep2_GFP_01	Homo sapiens	uterine cervix	epithelial cell	cervical adenocarcinoma	HeLa Kyoto	CVCL_1922	HeLa Kyoto	uterine cervix	30Y6M	female	African American	adult	cell line	Dulbecco's Modified Eagle Medium	not available	Heinrich Leonhardt laboratory, Ludwig-Maximilians-Universitaet Muenchen	not available	not available	not available	no depletion	negative control	4	run 7	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	not applicable	1	1	Rep2	2017-04-07	20170407_QEp3_EvKe_SA_COLLAB_GFP_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	negative control
Rep2_GFP_02	Homo sapiens	uterine cervix	epithelial cell	cervical adenocarcinoma	HeLa Kyoto	CVCL_1922	HeLa Kyoto	uterine cervix	30Y6M	female	African American	adult	cell line	Dulbecco's Modified Eagle Medium	not available	Heinrich Leonhardt laboratory, Ludwig-Maximilians-Universitaet Muenchen	not available	not available	not available	no depletion	negative control	5	run 8	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	not applicable	1	1	Rep2	2017-04-07	20170407_QEp3_EvKe_SA_COLLAB_GFP_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	negative control
Rep2_GFP_03	Homo sapiens	uterine cervix	epithelial cell	cervical adenocarcinoma	HeLa Kyoto	CVCL_1922	HeLa Kyoto	uterine cervix	30Y6M	female	African American	adult	cell line	Dulbecco's Modified Eagle Medium	not available	Heinrich Leonhardt laboratory, Ludwig-Maximilians-Universitaet Muenchen	not available	not available	not available	no depletion	negative control	6	run 9	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	not applicable	1	1	Rep2	2017-04-07	20170407_QEp3_EvKe_SA_COLLAB_GFP_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	negative control
Rep2_PWWP2A_01	Homo sapiens	uterine cervix	epithelial cell	cervical adenocarcinoma	HeLa Kyoto	CVCL_1922	HeLa Kyoto	uterine cervix	30Y6M	female	African American	adult	cell line	Dulbecco's Modified Eagle Medium	not available	Heinrich Leonhardt laboratory, Ludwig-Maximilians-Universitaet Muenchen	not available	not available	not available	no depletion	study sample	4	run 10	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	not applicable	1	1	Rep2	2017-04-07	20170407_QEp3_EvKe_SA_COLLAB_PWWP2A_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	study sample
