source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[strain or breed]	characteristics[sex]	characteristics[developmental stage]	characteristics[culture medium]	characteristics[passage number]	characteristics[treatment]	characteristics[material type]	characteristics[sample type]	characteristics[enrichment process]	characteristics[depletion]	characteristics[sampling time]	characteristics[pooled sample]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[sample preparation batch]	comment[elution conditions]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[sampling time]
mESC_EpiLC_0m_rep1	Mus musculus	blastocyst	embryonic stem cell	normal	ES-E14TG2a	CVCL_9108	ES-E14TG2a	129P2/Ola	male	blastocyst	N2B27 medium with 2i (PD0325901, CHIR99021) and LIF	not available	untreated	cell line	study sample	not applicable	no depletion	0 minute	not pooled	1	run 1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	4.5 ppm	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	1	1	in-StageTip SDB-RPS single-shot proteome (measured 2015-08-27 batch)	0.1% formic acid / 60% acetonitrile binary gradient, 300 nL/min: 4-32% B over 180 min then 32-47% B over 40 min	20150827_QEp2_LC10_SeHu_SA_mESC_Proteome_A1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	0 minute
mESC_EpiLC_0m_rep2	Mus musculus	blastocyst	embryonic stem cell	normal	ES-E14TG2a	CVCL_9108	ES-E14TG2a	129P2/Ola	male	blastocyst	N2B27 medium with 2i (PD0325901, CHIR99021) and LIF	not available	untreated	cell line	study sample	not applicable	no depletion	0 minute	not pooled	2	run 2	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	4.5 ppm	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	1	1	in-StageTip SDB-RPS single-shot proteome (measured 2015-08-27 batch)	0.1% formic acid / 60% acetonitrile binary gradient, 300 nL/min: 4-32% B over 180 min then 32-47% B over 40 min	20150827_QEp2_LC10_SeHu_SA_mESC_Proteome_B1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	0 minute
mESC_EpiLC_0m_rep3	Mus musculus	blastocyst	embryonic stem cell	normal	ES-E14TG2a	CVCL_9108	ES-E14TG2a	129P2/Ola	male	blastocyst	N2B27 medium with 2i (PD0325901, CHIR99021) and LIF	not available	untreated	cell line	study sample	not applicable	no depletion	0 minute	not pooled	3	run 3	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	4.5 ppm	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	1	1	in-StageTip SDB-RPS single-shot proteome (measured 2015-08-27 batch)	0.1% formic acid / 60% acetonitrile binary gradient, 300 nL/min: 4-32% B over 180 min then 32-47% B over 40 min	20150827_QEp2_LC10_SeHu_SA_mESC_Proteome_C1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	0 minute
mESC_EpiLC_0m_rep4	Mus musculus	blastocyst	embryonic stem cell	normal	ES-E14TG2a	CVCL_9108	ES-E14TG2a	129P2/Ola	male	blastocyst	N2B27 medium with 2i (PD0325901, CHIR99021) and LIF	not available	untreated	cell line	study sample	not applicable	no depletion	0 minute	not pooled	4	run 4	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	4.5 ppm	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	1	1	in-StageTip SDB-RPS single-shot proteome (measured 2015-08-27 batch)	0.1% formic acid / 60% acetonitrile binary gradient, 300 nL/min: 4-32% B over 180 min then 32-47% B over 40 min	20150827_QEp2_LC10_SeHu_SA_mESC_Proteome_D1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	0 minute
mESC_EpiLC_5m_rep1	Mus musculus	blastocyst	embryonic stem cell	normal	ES-E14TG2a	CVCL_9108	ES-E14TG2a	129P2/Ola	male	blastocyst	N2B27 medium with activin A, bFGF and KSR	not available	epiblast-like cell induction	cell line	study sample	not applicable	no depletion	5 minute	not pooled	1	run 5	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	4.5 ppm	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	1	1	in-StageTip SDB-RPS single-shot proteome (measured 2015-08-27 batch)	0.1% formic acid / 60% acetonitrile binary gradient, 300 nL/min: 4-32% B over 180 min then 32-47% B over 40 min	20150827_QEp2_LC10_SeHu_SA_mESC_Proteome_A2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	5 minute
mESC_EpiLC_5m_rep2	Mus musculus	blastocyst	embryonic stem cell	normal	ES-E14TG2a	CVCL_9108	ES-E14TG2a	129P2/Ola	male	blastocyst	N2B27 medium with activin A, bFGF and KSR	not available	epiblast-like cell induction	cell line	study sample	not applicable	no depletion	5 minute	not pooled	2	run 6	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	4.5 ppm	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	1	1	in-StageTip SDB-RPS single-shot proteome (measured 2015-08-27 batch)	0.1% formic acid / 60% acetonitrile binary gradient, 300 nL/min: 4-32% B over 180 min then 32-47% B over 40 min	20150827_QEp2_LC10_SeHu_SA_mESC_Proteome_B2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	5 minute
mESC_EpiLC_5m_rep3	Mus musculus	blastocyst	embryonic stem cell	normal	ES-E14TG2a	CVCL_9108	ES-E14TG2a	129P2/Ola	male	blastocyst	N2B27 medium with activin A, bFGF and KSR	not available	epiblast-like cell induction	cell line	study sample	not applicable	no depletion	5 minute	not pooled	3	run 7	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	4.5 ppm	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	1	1	in-StageTip SDB-RPS single-shot proteome (measured 2015-08-27 batch)	0.1% formic acid / 60% acetonitrile binary gradient, 300 nL/min: 4-32% B over 180 min then 32-47% B over 40 min	20150827_QEp2_LC10_SeHu_SA_mESC_Proteome_C2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	5 minute
mESC_EpiLC_5m_rep4	Mus musculus	blastocyst	embryonic stem cell	normal	ES-E14TG2a	CVCL_9108	ES-E14TG2a	129P2/Ola	male	blastocyst	N2B27 medium with activin A, bFGF and KSR	not available	epiblast-like cell induction	cell line	study sample	not applicable	no depletion	5 minute	not pooled	4	run 8	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	4.5 ppm	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	1	1	in-StageTip SDB-RPS single-shot proteome (measured 2015-08-27 batch)	0.1% formic acid / 60% acetonitrile binary gradient, 300 nL/min: 4-32% B over 180 min then 32-47% B over 40 min	20150827_QEp2_LC10_SeHu_SA_mESC_Proteome_D2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	5 minute
mESC_EpiLC_15m_rep1	Mus musculus	blastocyst	embryonic stem cell	normal	ES-E14TG2a	CVCL_9108	ES-E14TG2a	129P2/Ola	male	blastocyst	N2B27 medium with activin A, bFGF and KSR	not available	epiblast-like cell induction	cell line	study sample	not applicable	no depletion	15 minute	not pooled	1	run 9	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	4.5 ppm	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	1	1	in-StageTip SDB-RPS single-shot proteome (measured 2015-08-27 batch)	0.1% formic acid / 60% acetonitrile binary gradient, 300 nL/min: 4-32% B over 180 min then 32-47% B over 40 min	20150827_QEp2_LC10_SeHu_SA_mESC_Proteome_A3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	15 minute
mESC_EpiLC_15m_rep2	Mus musculus	blastocyst	embryonic stem cell	normal	ES-E14TG2a	CVCL_9108	ES-E14TG2a	129P2/Ola	male	blastocyst	N2B27 medium with activin A, bFGF and KSR	not available	epiblast-like cell induction	cell line	study sample	not applicable	no depletion	15 minute	not pooled	2	run 10	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	4.5 ppm	20 ppm	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	1	1	in-StageTip SDB-RPS single-shot proteome (measured 2015-08-27 batch)	0.1% formic acid / 60% acetonitrile binary gradient, 300 nL/min: 4-32% B over 180 min then 32-47% B over 40 min	20150827_QEp2_LC10_SeHu_SA_mESC_Proteome_B3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	15 minute
