source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[pooled sample]	characteristics[disease]	characteristics[sampling time]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[individual]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[elution conditions]	factor value[cell type]	factor value[sampling time]
MHC1-PRE-1	Homo sapiens	vastus lateralis	type I muscle cell	5	not pooled	normal	0 week	not available	not available	male	adult	sub6	20161223_QE4_nLC12_ASD_SA_SF_MHCI_Pre_1L	proteomic profiling by mass spectrometry	1	20161223_QE4_nLC12_ASD_SA_SF_MHCI_Pre_1L.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	6 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	180 min linear gradient 2-60% buffer B (80% acetonitrile, 0.5% formic acid) on 50 cm C18 column	type I muscle cell	0 week
MHC1-PRE-1	Homo sapiens	vastus lateralis	type I muscle cell	5	not pooled	normal	0 week	not available	not available	male	adult	sub6	20161223_QE4_nLC12_ASD_SA_SF_MHCI_Pre_1T	proteomic profiling by mass spectrometry	1	20161223_QE4_nLC12_ASD_SA_SF_MHCI_Pre_1T.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	6 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	180 min linear gradient 2-60% buffer B (80% acetonitrile, 0.5% formic acid) on 50 cm C18 column	type I muscle cell	0 week
MHC2-PRE-2	Homo sapiens	vastus lateralis	type II muscle cell	5	not pooled	normal	0 week	not available	not available	male	adult	sub6	20161223_QE4_nLC12_ASD_SA_SF_MHCII_Pre_2L	proteomic profiling by mass spectrometry	1	20161223_QE4_nLC12_ASD_SA_SF_MHCII_Pre_2L.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	6 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	180 min linear gradient 2-60% buffer B (80% acetonitrile, 0.5% formic acid) on 50 cm C18 column	type II muscle cell	0 week
MHC2-PRE-2	Homo sapiens	vastus lateralis	type II muscle cell	5	not pooled	normal	0 week	not available	not available	male	adult	sub6	20161223_QE4_nLC12_ASD_SA_SF_MHCII_Pre_2T	proteomic profiling by mass spectrometry	1	20161223_QE4_nLC12_ASD_SA_SF_MHCII_Pre_2T.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	6 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	180 min linear gradient 2-60% buffer B (80% acetonitrile, 0.5% formic acid) on 50 cm C18 column	type II muscle cell	0 week
MHC1-POST-3	Homo sapiens	vastus lateralis	type I muscle cell	5	not pooled	normal	12 week	not available	not available	male	adult	sub6	20161223_QE4_nLC12_ASD_SA_SF_MHCI_Post_3L	proteomic profiling by mass spectrometry	1	20161223_QE4_nLC12_ASD_SA_SF_MHCI_Post_3L.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	6 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	180 min linear gradient 2-60% buffer B (80% acetonitrile, 0.5% formic acid) on 50 cm C18 column	type I muscle cell	12 week
MHC1-POST-3	Homo sapiens	vastus lateralis	type I muscle cell	5	not pooled	normal	12 week	not available	not available	male	adult	sub6	20161223_QE4_nLC12_ASD_SA_SF_MHCI_Post_3T	proteomic profiling by mass spectrometry	1	20161223_QE4_nLC12_ASD_SA_SF_MHCI_Post_3T.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	6 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	180 min linear gradient 2-60% buffer B (80% acetonitrile, 0.5% formic acid) on 50 cm C18 column	type I muscle cell	12 week
MHC2-POST-4	Homo sapiens	vastus lateralis	type II muscle cell	5	not pooled	normal	12 week	not available	not available	male	adult	sub6	20161223_QE4_nLC12_ASD_SA_SF_MHCII_Post_4L	proteomic profiling by mass spectrometry	1	20161223_QE4_nLC12_ASD_SA_SF_MHCII_Post_4L.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	6 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	180 min linear gradient 2-60% buffer B (80% acetonitrile, 0.5% formic acid) on 50 cm C18 column	type II muscle cell	12 week
MHC2-POST-4	Homo sapiens	vastus lateralis	type II muscle cell	5	not pooled	normal	12 week	not available	not available	male	adult	sub6	20161223_QE4_nLC12_ASD_SA_SF_MHCII_Post_4T	proteomic profiling by mass spectrometry	1	20161223_QE4_nLC12_ASD_SA_SF_MHCII_Post_4T.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	6 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	180 min linear gradient 2-60% buffer B (80% acetonitrile, 0.5% formic acid) on 50 cm C18 column	type II muscle cell	12 week
MHC1-PRE-5	Homo sapiens	vastus lateralis	type I muscle cell	1	not pooled	normal	0 week	not available	not available	male	adult	sub1	20161223_QE4_nLC12_ASD_SA_SF_MHCI_Pre_5L	proteomic profiling by mass spectrometry	1	20161223_QE4_nLC12_ASD_SA_SF_MHCI_Pre_5L.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	6 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	180 min linear gradient 2-60% buffer B (80% acetonitrile, 0.5% formic acid) on 50 cm C18 column	type I muscle cell	0 week
MHC1-PRE-5	Homo sapiens	vastus lateralis	type I muscle cell	1	not pooled	normal	0 week	not available	not available	male	adult	sub1	20161223_QE4_nLC12_ASD_SA_SF_MHCI_Pre_5T	proteomic profiling by mass spectrometry	1	20161223_QE4_nLC12_ASD_SA_SF_MHCI_Pre_5T.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	6 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	180 min linear gradient 2-60% buffer B (80% acetonitrile, 0.5% formic acid) on 50 cm C18 column	type I muscle cell	0 week
