source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[sampling time]	characteristics[treatment]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	characteristics[genotype]	characteristics[individual]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[sample preparation batch]	comment[ms1 scan range]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	factor value[genotype]	factor value[sampling time]	factor value[treatment]
mouse 410 plasma	Mus musculus	blood plasma	not applicable	1	not available	12 day	not applicable	adult	not available	female	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	mouse 410	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_410_C6	proteomic profiling by mass spectrometry	1	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_410_C6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 plasma (PD time course)	350m/z-1650m/z	350	1650	not available	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	12 day	not applicable
mouse 412 plasma	Mus musculus	blood plasma	not applicable	2	not available	12 day	not applicable	adult	not available	female	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	mouse 412	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_412_A2	proteomic profiling by mass spectrometry	1	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_412_A2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 plasma (PD time course)	350m/z-1650m/z	350	1650	not available	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	12 day	not applicable
mouse 414 plasma	Mus musculus	blood plasma	not applicable	3	not available	12 day	not applicable	adult	not available	female	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	mouse 414	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_414_A6	proteomic profiling by mass spectrometry	1	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_414_A6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 plasma (PD time course)	350m/z-1650m/z	350	1650	not available	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	12 day	not applicable
mouse 430 plasma	Mus musculus	blood plasma	not applicable	1	normal	6 day	not applicable	adult	not available	female	Nampt fl/fl (floxed wild type littermate)	mouse 430	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_430_D5	proteomic profiling by mass spectrometry	1	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_430_D5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 plasma (PD time course)	350m/z-1650m/z	350	1650	not available	Nampt fl/fl (floxed wild type littermate)	6 day	not applicable
mouse 432 plasma	Mus musculus	blood plasma	not applicable	2	normal	6 day	not applicable	adult	not available	female	Nampt fl/fl (floxed wild type littermate)	mouse 432	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_432_C7	proteomic profiling by mass spectrometry	1	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_432_C7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 plasma (PD time course)	350m/z-1650m/z	350	1650	not available	Nampt fl/fl (floxed wild type littermate)	6 day	not applicable
mouse 434 plasma	Mus musculus	blood plasma	not applicable	1	not available	6 day	not applicable	adult	not available	female	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	mouse 434	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_434_D4	proteomic profiling by mass spectrometry	1	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_434_D4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 plasma (PD time course)	350m/z-1650m/z	350	1650	not available	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	6 day	not applicable
mouse 436 plasma	Mus musculus	blood plasma	not applicable	1	not available	3 day	not applicable	adult	not available	female	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	mouse 436	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_436_B11	proteomic profiling by mass spectrometry	1	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_436_B11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 plasma (PD time course)	350m/z-1650m/z	350	1650	not available	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	3 day	not applicable
mouse 438 plasma	Mus musculus	blood plasma	not applicable	1	normal	3 day	not applicable	adult	not available	female	Nampt fl/fl (floxed wild type littermate)	mouse 438	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_438_C3	proteomic profiling by mass spectrometry	1	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_438_C3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 plasma (PD time course)	350m/z-1650m/z	350	1650	not available	Nampt fl/fl (floxed wild type littermate)	3 day	not applicable
mouse 440 plasma	Mus musculus	blood plasma	not applicable	2	not available	3 day	not applicable	adult	not available	female	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	mouse 440	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_440_A3	proteomic profiling by mass spectrometry	1	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_440_A3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 plasma (PD time course)	350m/z-1650m/z	350	1650	not available	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	3 day	not applicable
mouse 442 plasma	Mus musculus	blood plasma	not applicable	1	normal	21 day	not applicable	adult	not available	female	Nampt fl/fl (floxed wild type littermate)	mouse 442	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_442_D3	proteomic profiling by mass spectrometry	1	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_442_D3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 plasma (PD time course)	350m/z-1650m/z	350	1650	not available	Nampt fl/fl (floxed wild type littermate)	21 day	not applicable
mouse 444 plasma	Mus musculus	blood plasma	not applicable	1	not available	21 day	not applicable	adult	not available	female	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	mouse 444	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_444_A8	proteomic profiling by mass spectrometry	1	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_444_A8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 plasma (PD time course)	350m/z-1650m/z	350	1650	not available	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	21 day	not applicable
mouse 446 plasma	Mus musculus	blood plasma	not applicable	2	not available	21 day	not applicable	adult	not available	female	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	mouse 446	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_446_A11	proteomic profiling by mass spectrometry	1	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_446_A11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 plasma (PD time course)	350m/z-1650m/z	350	1650	not available	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	21 day	not applicable
