source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[pooled sample]	characteristics[disease]	characteristics[material type]	characteristics[sampling time]	characteristics[treatment]	characteristics[enrichment process]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[individual]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[sampling site]	characteristics[passage number]	characteristics[culture medium]	characteristics[genetic modification]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[isolation window width]	factor value[sampling time]	factor value[treatment]
proteome_mock_0h_rep1	Homo sapiens	lung	not available	1	not pooled	lung adenocarcinoma	cell line	0 hour	uninfected	not applicable	European ancestry	58Y	male	adult	not available	A549	CVCL_0023	A-549	lung	not available	not available	lentivirus transduction	20200814_EXPL2_OzKa_SA_COVID19_DIA_proteome_1	proteomic profiling by mass spectrometry	1	20200814_EXPL2_OzKa_SA_COVID19_DIA_proteome_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	not available	0 hour	uninfected
proteome_mock_6h_rep1	Homo sapiens	lung	not available	1	not pooled	lung adenocarcinoma	cell line	6 hour	uninfected	not applicable	European ancestry	58Y	male	adult	not available	A549	CVCL_0023	A-549	lung	not available	not available	lentivirus transduction	20200814_EXPL2_OzKa_SA_COVID19_DIA_proteome_2	proteomic profiling by mass spectrometry	1	20200814_EXPL2_OzKa_SA_COVID19_DIA_proteome_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	not available	6 hour	uninfected
proteome_SARS-CoV_6h_rep1	Homo sapiens	lung	not available	1	not pooled	lung adenocarcinoma	cell line	6 hour	SARS Coronavirus	not applicable	European ancestry	58Y	male	adult	not available	A549	CVCL_0023	A-549	lung	not available	not available	lentivirus transduction	20200814_EXPL2_OzKa_SA_COVID19_DIA_proteome_3	proteomic profiling by mass spectrometry	1	20200814_EXPL2_OzKa_SA_COVID19_DIA_proteome_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	not available	6 hour	SARS Coronavirus
proteome_SARS-CoV-2_6h_rep1	Homo sapiens	lung	not available	1	not pooled	lung adenocarcinoma	cell line	6 hour	SARS Coronavirus 2	not applicable	European ancestry	58Y	male	adult	not available	A549	CVCL_0023	A-549	lung	not available	not available	lentivirus transduction	20200814_EXPL2_OzKa_SA_COVID19_DIA_proteome_4	proteomic profiling by mass spectrometry	1	20200814_EXPL2_OzKa_SA_COVID19_DIA_proteome_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	not available	6 hour	SARS Coronavirus 2
proteome_mock_12h_rep1	Homo sapiens	lung	not available	1	not pooled	lung adenocarcinoma	cell line	12 hour	uninfected	not applicable	European ancestry	58Y	male	adult	not available	A549	CVCL_0023	A-549	lung	not available	not available	lentivirus transduction	20200814_EXPL2_OzKa_SA_COVID19_DIA_proteome_5	proteomic profiling by mass spectrometry	1	20200814_EXPL2_OzKa_SA_COVID19_DIA_proteome_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	not available	12 hour	uninfected
proteome_SARS-CoV_12h_rep1	Homo sapiens	lung	not available	1	not pooled	lung adenocarcinoma	cell line	12 hour	SARS Coronavirus	not applicable	European ancestry	58Y	male	adult	not available	A549	CVCL_0023	A-549	lung	not available	not available	lentivirus transduction	20200814_EXPL2_OzKa_SA_COVID19_DIA_proteome_6	proteomic profiling by mass spectrometry	1	20200814_EXPL2_OzKa_SA_COVID19_DIA_proteome_6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	not available	12 hour	SARS Coronavirus
proteome_SARS-CoV-2_12h_rep1	Homo sapiens	lung	not available	1	not pooled	lung adenocarcinoma	cell line	12 hour	SARS Coronavirus 2	not applicable	European ancestry	58Y	male	adult	not available	A549	CVCL_0023	A-549	lung	not available	not available	lentivirus transduction	20200814_EXPL2_OzKa_SA_COVID19_DIA_proteome_7	proteomic profiling by mass spectrometry	1	20200814_EXPL2_OzKa_SA_COVID19_DIA_proteome_7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	not available	12 hour	SARS Coronavirus 2
proteome_mock_24h_rep1	Homo sapiens	lung	not available	1	not pooled	lung adenocarcinoma	cell line	24 hour	uninfected	not applicable	European ancestry	58Y	male	adult	not available	A549	CVCL_0023	A-549	lung	not available	not available	lentivirus transduction	20200814_EXPL2_OzKa_SA_COVID19_DIA_proteome_8	proteomic profiling by mass spectrometry	1	20200814_EXPL2_OzKa_SA_COVID19_DIA_proteome_8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	not available	24 hour	uninfected
proteome_SARS-CoV_24h_rep1	Homo sapiens	lung	not available	1	not pooled	lung adenocarcinoma	cell line	24 hour	SARS Coronavirus	not applicable	European ancestry	58Y	male	adult	not available	A549	CVCL_0023	A-549	lung	not available	not available	lentivirus transduction	20200814_EXPL2_OzKa_SA_COVID19_DIA_proteome_9	proteomic profiling by mass spectrometry	1	20200814_EXPL2_OzKa_SA_COVID19_DIA_proteome_9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	not available	24 hour	SARS Coronavirus
proteome_SARS-CoV-2_24h_rep1	Homo sapiens	lung	not available	1	not pooled	lung adenocarcinoma	cell line	24 hour	SARS Coronavirus 2	not applicable	European ancestry	58Y	male	adult	not available	A549	CVCL_0023	A-549	lung	not available	not available	lentivirus transduction	20200814_EXPL2_OzKa_SA_COVID19_DIA_proteome_10	proteomic profiling by mass spectrometry	1	20200814_EXPL2_OzKa_SA_COVID19_DIA_proteome_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	not available	24 hour	SARS Coronavirus 2
