source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[material type]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	characteristics[age]	characteristics[genotype]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[ms1 scan range]	factor value[organism part]
mouse297_CTX	Mus musculus	cerebral cortex	not applicable	1	not available	tissue	adult	B6SJL	male	not available	not available	20190712_QE9_nLC9_NHS_JV_50cm_100min_CTX_Sample_297	proteomic profiling by mass spectrometry	1	20190712_QE9_nLC9_NHS_JV_50cm_100min_CTX_Sample_297.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	cerebral cortex
mouse299_CTX	Mus musculus	cerebral cortex	not applicable	2	not available	tissue	adult	B6SJL	male	not available	not available	20190712_QE9_nLC9_NHS_JV_50cm_100min_CTX_Sample_299	proteomic profiling by mass spectrometry	1	20190712_QE9_nLC9_NHS_JV_50cm_100min_CTX_Sample_299.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	cerebral cortex
mouse311_CTX	Mus musculus	cerebral cortex	not applicable	3	not available	tissue	adult	B6SJL	male	not available	not available	20190712_QE9_nLC9_NHS_JV_50cm_100min_CTX_Sample_311	proteomic profiling by mass spectrometry	1	20190712_QE9_nLC9_NHS_JV_50cm_100min_CTX_Sample_311.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	cerebral cortex
mouse313_CTX	Mus musculus	cerebral cortex	not applicable	4	not available	tissue	adult	B6SJL	male	not available	not available	20190712_QE9_nLC9_NHS_JV_50cm_100min_CTX_Sample_313	proteomic profiling by mass spectrometry	1	20190712_QE9_nLC9_NHS_JV_50cm_100min_CTX_Sample_313.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	cerebral cortex
mouse317_CTX	Mus musculus	cerebral cortex	not applicable	5	not available	tissue	adult	B6SJL	male	not available	not available	20190712_QE9_nLC9_NHS_JV_50cm_100min_CTX_Sample_317	proteomic profiling by mass spectrometry	1	20190712_QE9_nLC9_NHS_JV_50cm_100min_CTX_Sample_317.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	cerebral cortex
mouse323_CTX	Mus musculus	cerebral cortex	not applicable	6	not available	tissue	adult	B6SJL	male	not available	not available	20190712_QE9_nLC9_NHS_JV_50cm_100min_CTX_Sample_323	proteomic profiling by mass spectrometry	1	20190712_QE9_nLC9_NHS_JV_50cm_100min_CTX_Sample_323.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	cerebral cortex
mouse327_CTX	Mus musculus	cerebral cortex	not applicable	7	not available	tissue	adult	B6SJL	male	not available	not available	20190712_QE9_nLC9_NHS_JV_50cm_100min_CTX_Sample_327	proteomic profiling by mass spectrometry	1	20190712_QE9_nLC9_NHS_JV_50cm_100min_CTX_Sample_327.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	cerebral cortex
mouse335_CTX	Mus musculus	cerebral cortex	not applicable	8	not available	tissue	adult	B6SJL	male	not available	not available	20190712_QE9_nLC9_NHS_JV_50cm_100min_CTX_Sample_335	proteomic profiling by mass spectrometry	1	20190712_QE9_nLC9_NHS_JV_50cm_100min_CTX_Sample_335.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	cerebral cortex
mouse481_CTX	Mus musculus	cerebral cortex	not applicable	9	not available	tissue	adult	B6SJL	male	not available	not available	20190712_QE9_nLC9_NHS_JV_50cm_100min_CTX_Sample_481	proteomic profiling by mass spectrometry	1	20190712_QE9_nLC9_NHS_JV_50cm_100min_CTX_Sample_481.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	cerebral cortex
mouse483_CTX	Mus musculus	cerebral cortex	not applicable	10	not available	tissue	adult	B6SJL	male	not available	not available	20190712_QE9_nLC9_NHS_JV_50cm_100min_CTX_Sample_483	proteomic profiling by mass spectrometry	1	20190712_QE9_nLC9_NHS_JV_50cm_100min_CTX_Sample_483.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	cerebral cortex
