source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]
Sample 1	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 1	proteomic profiling by mass spectrometry	1	H0406FD.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=Deamidated;MT=Variable;TA=K;AC=UNIMOD:7	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 2	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 2	proteomic profiling by mass spectrometry	1	H0407FD.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=Deamidated;MT=Variable;TA=K;AC=UNIMOD:7	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 3	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	2	run 3	proteomic profiling by mass spectrometry	1	H0409FD.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=Deamidated;MT=Variable;TA=K;AC=UNIMOD:7	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 4	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	2	run 4	proteomic profiling by mass spectrometry	1	H0410FD.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=Deamidated;MT=Variable;TA=K;AC=UNIMOD:7	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 5	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	3	run 5	proteomic profiling by mass spectrometry	1	H0412FD.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=Deamidated;MT=Variable;TA=K;AC=UNIMOD:7	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 6	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	3	run 6	proteomic profiling by mass spectrometry	1	H0413FD.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=Deamidated;MT=Variable;TA=K;AC=UNIMOD:7	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 7	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 7	proteomic profiling by mass spectrometry	2	H0415FD.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=Deamidated;MT=Variable;TA=K;AC=UNIMOD:7	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 8	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 8	proteomic profiling by mass spectrometry	2	H0416FD.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=Deamidated;MT=Variable;TA=K;AC=UNIMOD:7	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 9	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	2	run 9	proteomic profiling by mass spectrometry	2	H0418FD.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=Deamidated;MT=Variable;TA=K;AC=UNIMOD:7	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 10	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	2	run 10	proteomic profiling by mass spectrometry	2	H0419FD.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=Deamidated;MT=Variable;TA=K;AC=UNIMOD:7	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
