source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[developmental stage]	characteristics[disease]	characteristics[genotype]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[data file]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]
sample 1	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	WT	1	WT H 1	proteomic profiling by mass spectrometry	1	1	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	WT_1_1.RAW	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample 2	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	WT	1	WT H 2	proteomic profiling by mass spectrometry	1	2	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	WT_1_2.RAW	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample 3	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	WT	1	WT H 3	proteomic profiling by mass spectrometry	1	3	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	WT_1_3.RAW	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample 4	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	WT	1	WT H 4	proteomic profiling by mass spectrometry	1	4	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	WT_1_4.RAW	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample 5	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	WT	1	WT H 5	proteomic profiling by mass spectrometry	1	5	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	WT_1_5.RAW	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample 6	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	HAKAIpro:HAKAI-GFP/hakai	1	Hakai-GFP 1	proteomic profiling by mass spectrometry	1	6	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	HAKAI_1_1.RAW	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample 7	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	HAKAIpro:HAKAI-GFP/hakai	1	Hakai-GFP 1	proteomic profiling by mass spectrometry	1	7	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	HAKAI_1_2.RAW	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample 8	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	HAKAIpro:HAKAI-GFP/hakai	1	Hakai-GFP 1	proteomic profiling by mass spectrometry	1	8	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	HAKAI_1_3.RAW	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample 9	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	HAKAIpro:HAKAI-GFP/hakai	1	Hakai-GFP 1	proteomic profiling by mass spectrometry	1	9	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	HAKAI_1_4.RAW	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample 10	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	HAKAIpro:HAKAI-GFP/hakai	1	Hakai-GFP 1	proteomic profiling by mass spectrometry	1	10	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	HAKAI_1_5.RAW	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
