source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[material type]	characteristics[treatment]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[culture medium]	characteristics[genetic modification]	characteristics[nuclease treatment]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[ms1 scan range]	factor value[genetic modification]	factor value[nuclease treatment]	factor value[treatment]
sample01	Homo sapiens	kidney	not available	1	normal	cell line	untreated	not available	not available	female	HEK293TN	CVCL_UL49	HEK293TN	Dulbecco's Modified Eagle Medium	HA-tagged EGFP overexpression	no Benzonase	20210513_EXPL2_JaBa_SA_34EXP1_IP7-1_sample01	proteomic profiling by mass spectrometry	1	20210513_EXPL2_JaBa_SA_34EXP1_IP7-1_sample01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=PRIDE:0000590	30 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	HA-tagged EGFP overexpression	no Benzonase	untreated
sample02	Homo sapiens	kidney	not available	2	normal	cell line	untreated	not available	not available	female	HEK293TN	CVCL_UL49	HEK293TN	Dulbecco's Modified Eagle Medium	HA-tagged EGFP overexpression	no Benzonase	20210513_EXPL2_JaBa_SA_34EXP1_IP7-1_sample02	proteomic profiling by mass spectrometry	1	20210513_EXPL2_JaBa_SA_34EXP1_IP7-1_sample02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=PRIDE:0000590	30 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	HA-tagged EGFP overexpression	no Benzonase	untreated
sample03	Homo sapiens	kidney	not available	3	normal	cell line	untreated	not available	not available	female	HEK293TN	CVCL_UL49	HEK293TN	Dulbecco's Modified Eagle Medium	HA-tagged EGFP overexpression	no Benzonase	20210513_EXPL2_JaBa_SA_34EXP1_IP7-1_sample03	proteomic profiling by mass spectrometry	1	20210513_EXPL2_JaBa_SA_34EXP1_IP7-1_sample03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=PRIDE:0000590	30 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	HA-tagged EGFP overexpression	no Benzonase	untreated
sample04	Homo sapiens	kidney	not available	4	normal	cell line	untreated	not available	not available	female	HEK293TN	CVCL_UL49	HEK293TN	Dulbecco's Modified Eagle Medium	HA-tagged EGFP overexpression	no Benzonase	20210513_EXPL2_JaBa_SA_34EXP1_IP7-1_sample04	proteomic profiling by mass spectrometry	1	20210513_EXPL2_JaBa_SA_34EXP1_IP7-1_sample04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=PRIDE:0000590	30 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	HA-tagged EGFP overexpression	no Benzonase	untreated
sample05	Homo sapiens	kidney	not available	1	normal	cell line	gamma irradiation	not available	not available	female	HEK293TN	CVCL_UL49	HEK293TN	Dulbecco's Modified Eagle Medium	HA-tagged EGFP overexpression	no Benzonase	20210513_EXPL2_JaBa_SA_34EXP1_IP7-1_sample05	proteomic profiling by mass spectrometry	1	20210513_EXPL2_JaBa_SA_34EXP1_IP7-1_sample05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=PRIDE:0000590	30 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	HA-tagged EGFP overexpression	no Benzonase	gamma irradiation
sample06	Homo sapiens	kidney	not available	2	normal	cell line	gamma irradiation	not available	not available	female	HEK293TN	CVCL_UL49	HEK293TN	Dulbecco's Modified Eagle Medium	HA-tagged EGFP overexpression	no Benzonase	20210513_EXPL2_JaBa_SA_34EXP1_IP7-1_sample06	proteomic profiling by mass spectrometry	1	20210513_EXPL2_JaBa_SA_34EXP1_IP7-1_sample06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=PRIDE:0000590	30 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	HA-tagged EGFP overexpression	no Benzonase	gamma irradiation
sample07	Homo sapiens	kidney	not available	3	normal	cell line	gamma irradiation	not available	not available	female	HEK293TN	CVCL_UL49	HEK293TN	Dulbecco's Modified Eagle Medium	HA-tagged EGFP overexpression	no Benzonase	20210513_EXPL2_JaBa_SA_34EXP1_IP7-1_sample07	proteomic profiling by mass spectrometry	1	20210513_EXPL2_JaBa_SA_34EXP1_IP7-1_sample07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=PRIDE:0000590	30 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	HA-tagged EGFP overexpression	no Benzonase	gamma irradiation
sample08	Homo sapiens	kidney	not available	4	normal	cell line	gamma irradiation	not available	not available	female	HEK293TN	CVCL_UL49	HEK293TN	Dulbecco's Modified Eagle Medium	HA-tagged EGFP overexpression	no Benzonase	20210513_EXPL2_JaBa_SA_34EXP1_IP7-1_sample08	proteomic profiling by mass spectrometry	1	20210513_EXPL2_JaBa_SA_34EXP1_IP7-1_sample08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=PRIDE:0000590	30 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	HA-tagged EGFP overexpression	no Benzonase	gamma irradiation
sample09	Homo sapiens	kidney	not available	1	normal	cell line	untreated	not available	not available	female	HEK293TN	CVCL_UL49	HEK293TN	Dulbecco's Modified Eagle Medium	HA-tagged hnRNP R-deltaN overexpression	no Benzonase	20210513_EXPL2_JaBa_SA_34EXP1_IP7-1_sample09	proteomic profiling by mass spectrometry	1	20210513_EXPL2_JaBa_SA_34EXP1_IP7-1_sample09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=PRIDE:0000590	30 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	HA-tagged hnRNP R-deltaN overexpression	no Benzonase	untreated
sample10	Homo sapiens	kidney	not available	2	normal	cell line	untreated	not available	not available	female	HEK293TN	CVCL_UL49	HEK293TN	Dulbecco's Modified Eagle Medium	HA-tagged hnRNP R-deltaN overexpression	no Benzonase	20210513_EXPL2_JaBa_SA_34EXP1_IP7-1_sample10	proteomic profiling by mass spectrometry	1	20210513_EXPL2_JaBa_SA_34EXP1_IP7-1_sample10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=PRIDE:0000590	30 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	HA-tagged hnRNP R-deltaN overexpression	no Benzonase	untreated
