source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]
Sample 1	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 1	proteomic profiling by mass spectrometry	1	20181122_SL_QexXn2_1107_22cmr2um_SL_FRED_US_DMSO_HpH_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 2	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 2	proteomic profiling by mass spectrometry	1	20181122_SL_QexXn2_1107_22cmr2um_SL_FRED_US_DMSO_HpH_2.raw	2	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 3	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 3	proteomic profiling by mass spectrometry	1	20181122_SL_QexXn2_1107_22cmr2um_SL_FRED_US_DMSO_HpH_3.raw	3	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 4	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 4	proteomic profiling by mass spectrometry	1	20181122_SL_QexXn2_1107_22cmr2um_SL_FRED_US_DMSO_HpH_4.raw	4	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 5	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 5	proteomic profiling by mass spectrometry	1	20181122_SL_QexXn2_1107_22cmr2um_SL_FRED_US_DMSO_HpH_5.raw	5	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 6	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 6	proteomic profiling by mass spectrometry	1	20181122_SL_QexXn2_1107_22cmr2um_SL_FRED_US_DMSO_HpH_6.raw	6	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 7	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 7	proteomic profiling by mass spectrometry	1	20181122_SL_QexXn2_1107_22cmr2um_SL_FRED_US_DMSO_HpH_7.raw	7	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 8	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 8	proteomic profiling by mass spectrometry	1	20181122_SL_QexXn2_1107_22cmr2um_SL_FRED_US_DMSO_HpH_8.raw	8	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 9	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 9	proteomic profiling by mass spectrometry	1	20181122_SL_QexXn2_1107_22cmr2um_SL_FRED_US_DMSO_HpH_9.raw	9	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 10	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 10	proteomic profiling by mass spectrometry	1	20181122_SL_QexXn2_1107_22cmr2um_SL_FRED_US_DMSO_HpH_10.raw	10	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 11	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 11	proteomic profiling by mass spectrometry	1	20181122_SL_QexXn2_1107_22cmr2um_SL_FRED_US_DMSO_HpH_11.raw	11	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 12	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 12	proteomic profiling by mass spectrometry	1	20181122_SL_QexXn2_1107_22cmr2um_SL_FRED_US_DMSO_HpH_12.raw	12	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 13	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 13	proteomic profiling by mass spectrometry	1	20181122_SL_QexXn2_1107_22cmr2um_SL_FRED_US_DMSO_HpH_13.raw	13	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 14	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 14	proteomic profiling by mass spectrometry	1	20181122_SL_QexXn2_1107_22cmr2um_SL_FRED_US_DMSO_HpH_14.raw	14	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 15	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 15	proteomic profiling by mass spectrometry	1	20181122_SL_QexXn2_1107_22cmr2um_SL_FRED_US_DMSO_HpH_15.raw	15	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 16	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 16	proteomic profiling by mass spectrometry	1	20181122_SL_QexXn2_1107_22cmr2um_SL_FRED_US_DMSO_HpH_16.raw	16	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
