source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sample type]	characteristics[disease]	characteristics[material type]	characteristics[treatment]	characteristics[cell cycle phase]	characteristics[dose]	characteristics[genotype]	characteristics[strain or breed]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[fractionation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	factor value[cell cycle phase]	factor value[genotype]	factor value[treatment]
G1-S_C_1	Saccharomyces cerevisiae	not applicable	not applicable	1	negative control	not applicable	cell	not available	not available	not available	pep4Δ PSF2 untagged	W303	20190224_QX3_MiWi_ST00_replisome_G1-S_C_1	proteomic profiling by mass spectrometry	1	20190224_QX3_MiWi_ST00_replisome_G1-S_C_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	27 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	not available	pep4Δ PSF2 untagged	not available
G1-S_C_2	Saccharomyces cerevisiae	not applicable	not applicable	2	negative control	not applicable	cell	not available	not available	not available	pep4Δ PSF2 untagged	W303	20190224_QX3_MiWi_ST00_replisome_G1-S_C_2	proteomic profiling by mass spectrometry	1	20190224_QX3_MiWi_ST00_replisome_G1-S_C_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	27 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	not available	pep4Δ PSF2 untagged	not available
G1-S_C_3	Saccharomyces cerevisiae	not applicable	not applicable	3	negative control	not applicable	cell	not available	not available	not available	pep4Δ PSF2 untagged	W303	20190224_QX3_MiWi_ST00_replisome_G1-S_C_3	proteomic profiling by mass spectrometry	1	20190224_QX3_MiWi_ST00_replisome_G1-S_C_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	27 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	not available	pep4Δ PSF2 untagged	not available
G1-S_Psf2_1	Saccharomyces cerevisiae	not applicable	not applicable	1	study sample	not applicable	cell	not available	not available	not available	pep4Δ PSF2-yeGFP	W303	20190224_QX3_MiWi_ST00_replisome_G1-S_Psf2_1	proteomic profiling by mass spectrometry	1	20190224_QX3_MiWi_ST00_replisome_G1-S_Psf2_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	27 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	not available	pep4Δ PSF2-yeGFP	not available
G1-S_Psf2_2	Saccharomyces cerevisiae	not applicable	not applicable	2	study sample	not applicable	cell	not available	not available	not available	pep4Δ PSF2-yeGFP	W303	20190224_QX3_MiWi_ST00_replisome_G1-S_Psf2_2	proteomic profiling by mass spectrometry	1	20190224_QX3_MiWi_ST00_replisome_G1-S_Psf2_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	27 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	not available	pep4Δ PSF2-yeGFP	not available
G1-S_Psf2_3	Saccharomyces cerevisiae	not applicable	not applicable	3	study sample	not applicable	cell	not available	not available	not available	pep4Δ PSF2-yeGFP	W303	20190224_QX3_MiWi_ST00_replisome_G1-S_Psf2_3	proteomic profiling by mass spectrometry	1	20190224_QX3_MiWi_ST00_replisome_G1-S_Psf2_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	27 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	not available	pep4Δ PSF2-yeGFP	not available
G1_C_1	Saccharomyces cerevisiae	not applicable	not applicable	1	negative control	not applicable	cell	Galactose	G1	not available	pep4Δ his3::pGAL-DBF4 leu2::pGAL-DPB11/sld2-T84D PSF2 untagged	W303	20190224_QX3_MiWi_ST00_replisome_G1_C_1	proteomic profiling by mass spectrometry	1	20190224_QX3_MiWi_ST00_replisome_G1_C_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	27 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	G1	pep4Δ his3::pGAL-DBF4 leu2::pGAL-DPB11/sld2-T84D PSF2 untagged	Galactose
G1_C_2	Saccharomyces cerevisiae	not applicable	not applicable	2	negative control	not applicable	cell	Galactose	G1	not available	pep4Δ his3::pGAL-DBF4 leu2::pGAL-DPB11/sld2-T84D PSF2 untagged	W303	20190224_QX3_MiWi_ST00_replisome_G1_C_2	proteomic profiling by mass spectrometry	1	20190224_QX3_MiWi_ST00_replisome_G1_C_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	27 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	G1	pep4Δ his3::pGAL-DBF4 leu2::pGAL-DPB11/sld2-T84D PSF2 untagged	Galactose
G1_C_3	Saccharomyces cerevisiae	not applicable	not applicable	3	negative control	not applicable	cell	Galactose	G1	not available	pep4Δ his3::pGAL-DBF4 leu2::pGAL-DPB11/sld2-T84D PSF2 untagged	W303	20190224_QX3_MiWi_ST00_replisome_G1_C_3	proteomic profiling by mass spectrometry	1	20190224_QX3_MiWi_ST00_replisome_G1_C_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	27 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	G1	pep4Δ his3::pGAL-DBF4 leu2::pGAL-DPB11/sld2-T84D PSF2 untagged	Galactose
G1_Psf2_1	Saccharomyces cerevisiae	not applicable	not applicable	1	study sample	not applicable	cell	Galactose	G1	not available	pep4Δ his3::pGAL-DBF4 leu2::pGAL-DPB11/sld2-T84D PSF2-yeGFP	W303	20190224_QX3_MiWi_ST00_replisome_G1_Psf2_1	proteomic profiling by mass spectrometry	1	20190224_QX3_MiWi_ST00_replisome_G1_Psf2_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	27 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	G1	pep4Δ his3::pGAL-DBF4 leu2::pGAL-DPB11/sld2-T84D PSF2-yeGFP	Galactose
G1_Psf2_2	Saccharomyces cerevisiae	not applicable	not applicable	2	study sample	not applicable	cell	Galactose	G1	not available	pep4Δ his3::pGAL-DBF4 leu2::pGAL-DPB11/sld2-T84D PSF2-yeGFP	W303	20190224_QX3_MiWi_ST00_replisome_G1_Psf2_2	proteomic profiling by mass spectrometry	1	20190224_QX3_MiWi_ST00_replisome_G1_Psf2_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	27 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	G1	pep4Δ his3::pGAL-DBF4 leu2::pGAL-DPB11/sld2-T84D PSF2-yeGFP	Galactose
G1_Psf2_3	Saccharomyces cerevisiae	not applicable	not applicable	3	study sample	not applicable	cell	Galactose	G1	not available	pep4Δ his3::pGAL-DBF4 leu2::pGAL-DPB11/sld2-T84D PSF2-yeGFP	W303	20190224_QX3_MiWi_ST00_replisome_G1_Psf2_3	proteomic profiling by mass spectrometry	1	20190224_QX3_MiWi_ST00_replisome_G1_Psf2_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	27 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	G1	pep4Δ his3::pGAL-DBF4 leu2::pGAL-DPB11/sld2-T84D PSF2-yeGFP	Galactose
S-HU_C_1	Saccharomyces cerevisiae	not applicable	not applicable	1	negative control	not applicable	cell	Hydroxyurea	S	200 mM	pep4Δ PSF2 untagged	W303	20190224_QX3_MiWi_ST00_replisome_S-HU_C_1	proteomic profiling by mass spectrometry	1	20190224_QX3_MiWi_ST00_replisome_S-HU_C_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	27 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	S	pep4Δ PSF2 untagged	Hydroxyurea
S-HU_C_2	Saccharomyces cerevisiae	not applicable	not applicable	2	negative control	not applicable	cell	Hydroxyurea	S	200 mM	pep4Δ PSF2 untagged	W303	20190224_QX3_MiWi_ST00_replisome_S-HU_C_2	proteomic profiling by mass spectrometry	1	20190224_QX3_MiWi_ST00_replisome_S-HU_C_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	27 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	S	pep4Δ PSF2 untagged	Hydroxyurea
S-HU_C_3	Saccharomyces cerevisiae	not applicable	not applicable	3	negative control	not applicable	cell	Hydroxyurea	S	200 mM	pep4Δ PSF2 untagged	W303	20190224_QX3_MiWi_ST00_replisome_S-HU_C_3	proteomic profiling by mass spectrometry	1	20190224_QX3_MiWi_ST00_replisome_S-HU_C_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	27 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	S	pep4Δ PSF2 untagged	Hydroxyurea
S-HU_Psf2_1	Saccharomyces cerevisiae	not applicable	not applicable	1	study sample	not applicable	cell	Hydroxyurea	S	200 mM	pep4Δ PSF2-yeGFP	W303	20190224_QX3_MiWi_ST00_replisome_S-HU_Psf2_1	proteomic profiling by mass spectrometry	1	20190224_QX3_MiWi_ST00_replisome_S-HU_Psf2_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	27 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	S	pep4Δ PSF2-yeGFP	Hydroxyurea
S-HU_Psf2_2	Saccharomyces cerevisiae	not applicable	not applicable	2	study sample	not applicable	cell	Hydroxyurea	S	200 mM	pep4Δ PSF2-yeGFP	W303	20190224_QX3_MiWi_ST00_replisome_S-HU_Psf2_2	proteomic profiling by mass spectrometry	1	20190224_QX3_MiWi_ST00_replisome_S-HU_Psf2_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	27 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	S	pep4Δ PSF2-yeGFP	Hydroxyurea
S-HU_Psf2_3	Saccharomyces cerevisiae	not applicable	not applicable	3	study sample	not applicable	cell	Hydroxyurea	S	200 mM	pep4Δ PSF2-yeGFP	W303	20190224_QX3_MiWi_ST00_replisome_S-HU_Psf2_3	proteomic profiling by mass spectrometry	1	20190224_QX3_MiWi_ST00_replisome_S-HU_Psf2_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	27 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	S	pep4Δ PSF2-yeGFP	Hydroxyurea
S_C_1	Saccharomyces cerevisiae	not applicable	not applicable	1	negative control	not applicable	cell	not available	S	not available	pep4Δ PSF2 untagged	W303	20190224_QX3_MiWi_ST00_replisome_S_C_1	proteomic profiling by mass spectrometry	1	20190224_QX3_MiWi_ST00_replisome_S_C_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	27 NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	S	pep4Δ PSF2 untagged	not available
