source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[developmental stage]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]
sample1	Arabidopsis thaliana	seed	embryonic cell	2/4-cell	not available	1	S24-1	1	1	21P03070001.raw	1	NT=label free sample	NT=Orbitrap Fusion Lumos	NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample2	Arabidopsis thaliana	seed	embryonic cell	2/4-cell	not available	2	S24-2	1	1	21P03070006.raw	1	NT=label free sample	NT=Orbitrap Fusion Lumos	NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample3	Arabidopsis thaliana	seed	embryonic cell	2/4-cell	not available	3	S24-3	1	1	21P03070010.raw	1	NT=label free sample	NT=Orbitrap Fusion Lumos	NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample4	Arabidopsis thaliana	seed	embryonic cell	8-cell	not available	1	S8-1	1	1	21P03070014.raw	1	NT=label free sample	NT=Orbitrap Fusion Lumos	NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample5	Arabidopsis thaliana	seed	embryonic cell	8-cell	not available	2	S8-2	1	1	21P03070019.raw	1	NT=label free sample	NT=Orbitrap Fusion Lumos	NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample6	Arabidopsis thaliana	seed	embryonic cell	8-cell	not available	3	S8-3	1	1	21P03070024.raw	1	NT=label free sample	NT=Orbitrap Fusion Lumos	NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample7	Arabidopsis thaliana	seed	embryonic cell	16-cell	not available	1	S16-1	1	1	21P03070028.raw	1	NT=label free sample	NT=Orbitrap Fusion Lumos	NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample8	Arabidopsis thaliana	seed	embryonic cell	16-cell	not available	2	S16-2	1	1	21P03070032.raw	1	NT=label free sample	NT=Orbitrap Fusion Lumos	NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample9	Arabidopsis thaliana	seed	embryonic cell	16-cell	not available	3	S16-3	1	1	21P03070035.raw	1	NT=label free sample	NT=Orbitrap Fusion Lumos	NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample10	Arabidopsis thaliana	seed	embryonic cell	32-cell	not available	1	S32-1	1	1	21P03070038.raw	1	NT=label free sample	NT=Orbitrap Fusion Lumos	NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample11	Arabidopsis thaliana	seed	embryonic cell	32-cell	not available	2	S32-2	1	1	21P03070043.raw	1	NT=label free sample	NT=Orbitrap Fusion Lumos	NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample12	Arabidopsis thaliana	seed	embryonic cell	32-cell	not available	3	S32-3	1	1	21P03070048.raw	1	NT=label free sample	NT=Orbitrap Fusion Lumos	NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample13	Arabidopsis thaliana	seed	embryonic cell	globular	not available	1	G-1	1	1	21P03070053.raw	1	NT=label free sample	NT=Orbitrap Fusion Lumos	NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample14	Arabidopsis thaliana	seed	embryonic cell	globular	not available	2	G-2	1	1	21P03070057.raw	1	NT=label free sample	NT=Orbitrap Fusion Lumos	NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample15	Arabidopsis thaliana	seed	embryonic cell	globular	not available	3	G-3	1	1	21P03070060.raw	1	NT=label free sample	NT=Orbitrap Fusion Lumos	NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample16	Arabidopsis thaliana	seed	embryonic cell	heart	not available	1	H-1	1	1	21P03070063.raw	1	NT=label free sample	NT=Orbitrap Fusion Lumos	NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample17	Arabidopsis thaliana	seed	embryonic cell	heart	not available	2	H-2	1	1	21P03070065.raw	1	NT=label free sample	NT=Orbitrap Fusion Lumos	NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample18	Arabidopsis thaliana	seed	embryonic cell	heart	not available	3	H-3	1	1	21P03070066.raw	1	NT=label free sample	NT=Orbitrap Fusion Lumos	NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample19	Arabidopsis thaliana	seed	embryonic cell	heat/torpedo/bent	not available	1	lib	1	1	21P0307_1.raw	1	NT=label free sample	NT=Orbitrap Fusion Lumos	NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample20	Arabidopsis thaliana	seed	embryonic cell	heat/torpedo/bent	not available	1	lib	1	1	21P0307_2.raw	2	NT=label free sample	NT=Orbitrap Fusion Lumos	NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample21	Arabidopsis thaliana	seed	embryonic cell	heat/torpedo/bent	not available	1	lib	1	1	21P0307_3.raw	3	NT=label free sample	NT=Orbitrap Fusion Lumos	NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample22	Arabidopsis thaliana	seed	embryonic cell	heat/torpedo/bent	not available	1	lib	1	1	21P0307_4.raw	4	NT=label free sample	NT=Orbitrap Fusion Lumos	NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample23	Arabidopsis thaliana	seed	embryonic cell	heat/torpedo/bent	not available	1	lib	1	1	21P0307_5.raw	5	NT=label free sample	NT=Orbitrap Fusion Lumos	NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample24	Arabidopsis thaliana	seed	embryonic cell	heat/torpedo/bent	not available	1	lib	1	1	21P0307_6.raw	6	NT=label free sample	NT=Orbitrap Fusion Lumos	NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample25	Arabidopsis thaliana	seed	embryonic cell	heat/torpedo/bent	not available	1	lib	1	1	21P0307_7.raw	7	NT=label free sample	NT=Orbitrap Fusion Lumos	NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample26	Arabidopsis thaliana	seed	embryonic cell	heat/torpedo/bent	not available	1	lib	1	1	21P0307_8.raw	8	NT=label free sample	NT=Orbitrap Fusion Lumos	NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample27	Arabidopsis thaliana	seed	embryonic cell	heat/torpedo/bent	not available	1	lib	1	1	21P0307_9.raw	9	NT=label free sample	NT=Orbitrap Fusion Lumos	NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample28	Arabidopsis thaliana	seed	embryonic cell	heat/torpedo/bent	not available	1	lib	1	1	21P0307_10.raw	10	NT=label free sample	NT=Orbitrap Fusion Lumos	NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample29	Arabidopsis thaliana	seed	embryonic cell	heat/torpedo/bent	not available	1	lib	1	1	21P0307_11.raw	11	NT=label free sample	NT=Orbitrap Fusion Lumos	NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample30	Arabidopsis thaliana	seed	embryonic cell	heat/torpedo/bent	not available	1	lib	1	1	21P0307_12.raw	12	NT=label free sample	NT=Orbitrap Fusion Lumos	NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample31	Arabidopsis thaliana	seed	embryonic cell	heat/torpedo/bent	not available	1	lib	1	1	21P0307_13.raw	13	NT=label free sample	NT=Orbitrap Fusion Lumos	NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample32	Arabidopsis thaliana	seed	embryonic cell	heat/torpedo/bent	not available	1	lib	1	1	21P0307_14.raw	14	NT=label free sample	NT=Orbitrap Fusion Lumos	NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample33	Arabidopsis thaliana	seed	embryonic cell	heat/torpedo/bent	not available	1	lib	1	1	21P0307_15.raw	15	NT=label free sample	NT=Orbitrap Fusion Lumos	NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample34	Arabidopsis thaliana	seed	embryonic cell	heat/torpedo/bent	not available	1	lib	1	1	21P0307_16.raw	16	NT=label free sample	NT=Orbitrap Fusion Lumos	NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample35	Arabidopsis thaliana	seed	embryonic cell	heat/torpedo/bent	not available	1	lib	1	1	21P0307_17.raw	17	NT=label free sample	NT=Orbitrap Fusion Lumos	NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample36	Arabidopsis thaliana	seed	embryonic cell	heat/torpedo/bent	not available	1	lib	1	1	21P0307_18.raw	18	NT=label free sample	NT=Orbitrap Fusion Lumos	NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample37	Arabidopsis thaliana	seed	embryonic cell	heat/torpedo/bent	not available	1	lib	1	1	21P0307_19.raw	19	NT=label free sample	NT=Orbitrap Fusion Lumos	NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample38	Arabidopsis thaliana	seed	embryonic cell	heat/torpedo/bent	not available	1	lib	1	1	21P0307_20.raw	20	NT=label free sample	NT=Orbitrap Fusion Lumos	NT=Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
