source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[bait]	characteristics[genotype]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[fractionation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[sample preparation batch]	comment[ms min im]	comment[ms max im]	comment[ms1 scan range]	factor value[bait]
P01A01_YLR106C	Saccharomyces cerevisiae	not applicable	not applicable	1	not applicable	YLR106C	YLR106C-GFP	20190621_TIMS3_Evo4_AnMi_SA_Yeast-Interactome_0001_P01A01_YLR106C___01	proteomic profiling by mass spectrometry	1	20190621_TIMS3_Evo4_AnMi_SA_Yeast-Interactome_0001_P01A01_YLR106C___01.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not applicable	8 ppm	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	P01	0.8	1.3	100m/z-1700m/z	YLR106C
P01A01_YLR106C	Saccharomyces cerevisiae	not applicable	not applicable	1	not applicable	YLR106C	YLR106C-GFP	20190621_TIMS3_Evo4_AnMi_SA_Yeast-Interactome_0001_P01A01_YLR106C___02	proteomic profiling by mass spectrometry	2	20190621_TIMS3_Evo4_AnMi_SA_Yeast-Interactome_0001_P01A01_YLR106C___02.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not applicable	8 ppm	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	P01	0.8	1.3	100m/z-1700m/z	YLR106C
P01B01_YKR054C	Saccharomyces cerevisiae	not applicable	not applicable	1	not applicable	YKR054C	YKR054C-GFP	20190621_TIMS3_Evo4_AnMi_SA_Yeast-Interactome_0002_P01B01_YKR054C___01	proteomic profiling by mass spectrometry	1	20190621_TIMS3_Evo4_AnMi_SA_Yeast-Interactome_0002_P01B01_YKR054C___01.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not applicable	8 ppm	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	P01	0.8	1.3	100m/z-1700m/z	YKR054C
P01B01_YKR054C	Saccharomyces cerevisiae	not applicable	not applicable	1	not applicable	YKR054C	YKR054C-GFP	20190621_TIMS3_Evo4_AnMi_SA_Yeast-Interactome_0002_P01B01_YKR054C___02	proteomic profiling by mass spectrometry	2	20190621_TIMS3_Evo4_AnMi_SA_Yeast-Interactome_0002_P01B01_YKR054C___02.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not applicable	8 ppm	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	P01	0.8	1.3	100m/z-1700m/z	YKR054C
P01C01_YDR457W	Saccharomyces cerevisiae	not applicable	not applicable	1	not applicable	YDR457W	YDR457W-GFP	20190621_TIMS3_Evo4_AnMi_SA_Yeast-Interactome_0003_P01C01_YDR457W___01	proteomic profiling by mass spectrometry	1	20190621_TIMS3_Evo4_AnMi_SA_Yeast-Interactome_0003_P01C01_YDR457W___01.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not applicable	8 ppm	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	P01	0.8	1.3	100m/z-1700m/z	YDR457W
P01C01_YDR457W	Saccharomyces cerevisiae	not applicable	not applicable	1	not applicable	YDR457W	YDR457W-GFP	20190621_TIMS3_Evo4_AnMi_SA_Yeast-Interactome_0003_P01C01_YDR457W___02	proteomic profiling by mass spectrometry	2	20190621_TIMS3_Evo4_AnMi_SA_Yeast-Interactome_0003_P01C01_YDR457W___02.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not applicable	8 ppm	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	P01	0.8	1.3	100m/z-1700m/z	YDR457W
P01D01_YDR150W	Saccharomyces cerevisiae	not applicable	not applicable	1	not applicable	YDR150W	YDR150W-GFP	20190621_TIMS3_Evo4_AnMi_SA_Yeast-Interactome_0004_P01D01_YDR150W___01	proteomic profiling by mass spectrometry	1	20190621_TIMS3_Evo4_AnMi_SA_Yeast-Interactome_0004_P01D01_YDR150W___01.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not applicable	8 ppm	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	P01	0.8	1.3	100m/z-1700m/z	YDR150W
P01D01_YDR150W	Saccharomyces cerevisiae	not applicable	not applicable	1	not applicable	YDR150W	YDR150W-GFP	20190621_TIMS3_Evo4_AnMi_SA_Yeast-Interactome_0004_P01D01_YDR150W___02	proteomic profiling by mass spectrometry	2	20190621_TIMS3_Evo4_AnMi_SA_Yeast-Interactome_0004_P01D01_YDR150W___02.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not applicable	8 ppm	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	P01	0.8	1.3	100m/z-1700m/z	YDR150W
P01E01_YGL195W	Saccharomyces cerevisiae	not applicable	not applicable	1	not applicable	YGL195W	YGL195W-GFP	20190621_TIMS3_Evo4_AnMi_SA_Yeast-Interactome_0005_P01E01_YGL195W___01	proteomic profiling by mass spectrometry	1	20190621_TIMS3_Evo4_AnMi_SA_Yeast-Interactome_0005_P01E01_YGL195W___01.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not applicable	8 ppm	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	P01	0.8	1.3	100m/z-1700m/z	YGL195W
P01E01_YGL195W	Saccharomyces cerevisiae	not applicable	not applicable	1	not applicable	YGL195W	YGL195W-GFP	20190621_TIMS3_Evo4_AnMi_SA_Yeast-Interactome_0005_P01E01_YGL195W___02	proteomic profiling by mass spectrometry	2	20190621_TIMS3_Evo4_AnMi_SA_Yeast-Interactome_0005_P01E01_YGL195W___02.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not applicable	8 ppm	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	P01	0.8	1.3	100m/z-1700m/z	YGL195W
