source name	characteristics[organism]	characteristics[organism part]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[cell line]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[fraction identifier]	comment[label]	comment[data file]	comment[technical replicate]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]
Sample 1	Homo sapiens	not available	not available	not available	not available	A2780	BirA	not available	1	BirA_1	proteomic profiling by mass spectrometry	1	label free sample	20180427_BW_01.raw	1	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Biotinylation;MT=Variable;TA=K;AC=UNIMOD:3	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0
Sample 2	Homo sapiens	not available	not available	not available	not available	A2780	BirA	not available	2	BirA_2	proteomic profiling by mass spectrometry	1	label free sample	20180427_BW_02.raw	1	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Biotinylation;MT=Variable;TA=K;AC=UNIMOD:3	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0
Sample 3	Homo sapiens	not available	not available	not available	not available	A2780	BirA	not available	3	BirA_3	proteomic profiling by mass spectrometry	1	label free sample	20180427_BW_03.raw	1	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Biotinylation;MT=Variable;TA=K;AC=UNIMOD:3	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0
Sample 4	Homo sapiens	not available	not available	not available	not available	A2780	BirA	not available	4	BirA_4	proteomic profiling by mass spectrometry	1	label free sample	20180427_BW_04.raw	1	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Biotinylation;MT=Variable;TA=K;AC=UNIMOD:3	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0
Sample 5	Homo sapiens	not available	not available	not available	not available	A2780	RAB11A	not available	1	RAB11A_1	proteomic profiling by mass spectrometry	1	label free sample	20180427_BW_05.raw	1	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Biotinylation;MT=Variable;TA=K;AC=UNIMOD:3	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0
Sample 6	Homo sapiens	not available	not available	not available	not available	A2780	RAB11A	not available	2	RAB11A_2	proteomic profiling by mass spectrometry	1	label free sample	20180427_BW_06.raw	1	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Biotinylation;MT=Variable;TA=K;AC=UNIMOD:3	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0
Sample 7	Homo sapiens	not available	not available	not available	not available	A2780	RAB11A	not available	3	RAB11A_3	proteomic profiling by mass spectrometry	1	label free sample	20180427_BW_07.raw	1	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Biotinylation;MT=Variable;TA=K;AC=UNIMOD:3	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0
Sample 8	Homo sapiens	not available	not available	not available	not available	A2780	RAB11A	not available	4	RAB11A_4	proteomic profiling by mass spectrometry	1	label free sample	20180427_BW_08.raw	1	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Biotinylation;MT=Variable;TA=K;AC=UNIMOD:3	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0
Sample 9	Homo sapiens	not available	not available	not available	not available	A2780	RAB25	not available	1	RAB25_1	proteomic profiling by mass spectrometry	1	label free sample	20180427_BW_09.raw	1	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Biotinylation;MT=Variable;TA=K;AC=UNIMOD:3	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0
Sample 10	Homo sapiens	not available	not available	not available	not available	A2780	RAB25	not available	2	RAB25_2	proteomic profiling by mass spectrometry	1	label free sample	20180427_BW_10.raw	1	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Biotinylation;MT=Variable;TA=K;AC=UNIMOD:3	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0
