source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sample type]	characteristics[disease]	characteristics[material type]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[bait]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[ms1 scan range]	factor value[bait]
NSC-34 lysate Biotin-Scr pulldown Scr4_1	Mus musculus	spinal cord	motor neuron	1	negative control	not available	cell line	not available	not available	not available	NSC-34 cell	CVCL_D356	NSC-34	biotinylated scrambled oligonucleotide (Biotin-Scr)	20180510_QX3_JaBa_SA_50cm_UltraLC11_IP1-1_20-1xIP1D1S1M1_sample01_Scr4_1	proteomic profiling by mass spectrometry	1	20180510_QX3_JaBa_SA_50cm_UltraLC11_IP1-1_20-1xIP1D1S1M1_sample01_Scr4_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	27% NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	biotinylated scrambled oligonucleotide (Biotin-Scr)
NSC-34 lysate Biotin-Scr pulldown Scr4_2	Mus musculus	spinal cord	motor neuron	2	negative control	not available	cell line	not available	not available	not available	NSC-34 cell	CVCL_D356	NSC-34	biotinylated scrambled oligonucleotide (Biotin-Scr)	20180510_QX3_JaBa_SA_50cm_UltraLC11_IP1-1_20-1xIP1D1S1M1_sample02_Scr4_2	proteomic profiling by mass spectrometry	1	20180510_QX3_JaBa_SA_50cm_UltraLC11_IP1-1_20-1xIP1D1S1M1_sample02_Scr4_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	27% NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	biotinylated scrambled oligonucleotide (Biotin-Scr)
NSC-34 lysate Biotin-Scr pulldown Scr4_3	Mus musculus	spinal cord	motor neuron	3	negative control	not available	cell line	not available	not available	not available	NSC-34 cell	CVCL_D356	NSC-34	biotinylated scrambled oligonucleotide (Biotin-Scr)	20180510_QX3_JaBa_SA_50cm_UltraLC11_IP1-1_20-1xIP1D1S1M1_sample03_Scr4_3	proteomic profiling by mass spectrometry	1	20180510_QX3_JaBa_SA_50cm_UltraLC11_IP1-1_20-1xIP1D1S1M1_sample03_Scr4_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	27% NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	biotinylated scrambled oligonucleotide (Biotin-Scr)
NSC-34 lysate Biotin-Scr pulldown Scr4_4	Mus musculus	spinal cord	motor neuron	4	negative control	not available	cell line	not available	not available	not available	NSC-34 cell	CVCL_D356	NSC-34	biotinylated scrambled oligonucleotide (Biotin-Scr)	20180510_QX3_JaBa_SA_50cm_UltraLC11_IP1-1_20-1xIP1D1S1M1_sample04_Scr4_4	proteomic profiling by mass spectrometry	1	20180510_QX3_JaBa_SA_50cm_UltraLC11_IP1-1_20-1xIP1D1S1M1_sample04_Scr4_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	27% NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	biotinylated scrambled oligonucleotide (Biotin-Scr)
NSC-34 lysate Biotin-pd7SK pulldown PD4_1	Mus musculus	spinal cord	motor neuron	1	study sample	not available	cell line	not available	not available	not available	NSC-34 cell	CVCL_D356	NSC-34	biotinylated 7SK pulldown oligonucleotide (Biotin-pd7SK)	20180510_QX3_JaBa_SA_50cm_UltraLC11_IP1-1_20-1xIP1D1S1M1_sample05_PD4_1	proteomic profiling by mass spectrometry	1	20180510_QX3_JaBa_SA_50cm_UltraLC11_IP1-1_20-1xIP1D1S1M1_sample05_PD4_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	27% NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	biotinylated 7SK pulldown oligonucleotide (Biotin-pd7SK)
NSC-34 lysate Biotin-pd7SK pulldown PD4_2	Mus musculus	spinal cord	motor neuron	2	study sample	not available	cell line	not available	not available	not available	NSC-34 cell	CVCL_D356	NSC-34	biotinylated 7SK pulldown oligonucleotide (Biotin-pd7SK)	20180510_QX3_JaBa_SA_50cm_UltraLC11_IP1-1_20-1xIP1D1S1M1_sample06_PD4_2	proteomic profiling by mass spectrometry	1	20180510_QX3_JaBa_SA_50cm_UltraLC11_IP1-1_20-1xIP1D1S1M1_sample06_PD4_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	27% NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	biotinylated 7SK pulldown oligonucleotide (Biotin-pd7SK)
NSC-34 lysate Biotin-pd7SK pulldown PD4_3	Mus musculus	spinal cord	motor neuron	3	study sample	not available	cell line	not available	not available	not available	NSC-34 cell	CVCL_D356	NSC-34	biotinylated 7SK pulldown oligonucleotide (Biotin-pd7SK)	20180510_QX3_JaBa_SA_50cm_UltraLC11_IP1-1_20-1xIP1D1S1M1_sample07_PD4_3	proteomic profiling by mass spectrometry	1	20180510_QX3_JaBa_SA_50cm_UltraLC11_IP1-1_20-1xIP1D1S1M1_sample07_PD4_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	27% NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	biotinylated 7SK pulldown oligonucleotide (Biotin-pd7SK)
NSC-34 lysate Biotin-pd7SK pulldown PD4_4	Mus musculus	spinal cord	motor neuron	4	study sample	not available	cell line	not available	not available	not available	NSC-34 cell	CVCL_D356	NSC-34	biotinylated 7SK pulldown oligonucleotide (Biotin-pd7SK)	20180510_QX3_JaBa_SA_50cm_UltraLC11_IP1-1_20-1xIP1D1S1M1_sample08_PD4_4	proteomic profiling by mass spectrometry	1	20180510_QX3_JaBa_SA_50cm_UltraLC11_IP1-1_20-1xIP1D1S1M1_sample08_PD4_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	27% NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	biotinylated 7SK pulldown oligonucleotide (Biotin-pd7SK)
NSC-34 lysate Hnrnpr 3UTR sense pulldown 28-2S	Mus musculus	spinal cord	motor neuron	1	study sample	not available	cell line	not available	not available	not available	NSC-34 cell	CVCL_D356	NSC-34	biotinylated Hnrnpr short 3' UTR sense RNA	20180510_QX3_JaBa_SA_50cm_UltraLC11_IP1-1_20-1xIP1D1S1M1_sample09_28-2S	proteomic profiling by mass spectrometry	1	20180510_QX3_JaBa_SA_50cm_UltraLC11_IP1-1_20-1xIP1D1S1M1_sample09_28-2S.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	27% NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	biotinylated Hnrnpr short 3' UTR sense RNA
NSC-34 lysate Hnrnpr 3UTR sense pulldown 1-3S	Mus musculus	spinal cord	motor neuron	2	study sample	not available	cell line	not available	not available	not available	NSC-34 cell	CVCL_D356	NSC-34	biotinylated Hnrnpr short 3' UTR sense RNA	20180510_QX3_JaBa_SA_50cm_UltraLC11_IP1-1_20-1xIP1D1S1M1_sample10_1-3S	proteomic profiling by mass spectrometry	1	20180510_QX3_JaBa_SA_50cm_UltraLC11_IP1-1_20-1xIP1D1S1M1_sample10_1-3S.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	27% NCE	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	biotinylated Hnrnpr short 3' UTR sense RNA
