source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[treatment]	characteristics[recombinant protein]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[collision energy]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[ms1 scan range]	factor value[recombinant protein]	factor value[treatment]
McIdas_sample1_noPLK4	Homo sapiens	not applicable	not applicable	1	not applicable	no kinase	MCIDAS 1-179 aa	20201207_EXPL4_OzKa_SA_Marina_1_1	proteomic profiling by mass spectrometry	1	20201207_EXPL4_OzKa_SA_Marina_1_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	not applicable	label free sample	1	NT=HCD;AC=MS:1000422	28% NCE	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	MCIDAS 1-179 aa	no kinase
McIdas_sample1_noPLK4	Homo sapiens	not applicable	not applicable	1	not applicable	no kinase	MCIDAS 1-179 aa	20201207_EXPL4_OzKa_SA_Marina_1_2	proteomic profiling by mass spectrometry	2	20201207_EXPL4_OzKa_SA_Marina_1_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	not applicable	label free sample	1	NT=HCD;AC=MS:1000422	28% NCE	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	MCIDAS 1-179 aa	no kinase
McIdas_sample1_PLK4	Homo sapiens	not applicable	not applicable	1	not applicable	in vitro kinase reaction with recombinant Xenopus laevis PLK4	MCIDAS 1-179 aa	20201207_EXPL4_OzKa_SA_Marina_1_PLK4_1	proteomic profiling by mass spectrometry	1	20201207_EXPL4_OzKa_SA_Marina_1_PLK4_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	not applicable	label free sample	1	NT=HCD;AC=MS:1000422	28% NCE	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	MCIDAS 1-179 aa	in vitro kinase reaction with recombinant Xenopus laevis PLK4
McIdas_sample1_PLK4	Homo sapiens	not applicable	not applicable	1	not applicable	in vitro kinase reaction with recombinant Xenopus laevis PLK4	MCIDAS 1-179 aa	20201207_EXPL4_OzKa_SA_Marina_1_PLK4_2	proteomic profiling by mass spectrometry	2	20201207_EXPL4_OzKa_SA_Marina_1_PLK4_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	not applicable	label free sample	1	NT=HCD;AC=MS:1000422	28% NCE	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	MCIDAS 1-179 aa	in vitro kinase reaction with recombinant Xenopus laevis PLK4
McIdas_sample2_noPLK4	Homo sapiens	not applicable	not applicable	1	not applicable	no kinase	MCIDAS 1-179 aa	20201207_EXPL4_OzKa_SA_Marina_2_1	proteomic profiling by mass spectrometry	1	20201207_EXPL4_OzKa_SA_Marina_2_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Asp-N;AC=MS:1001304	label free sample	1	NT=HCD;AC=MS:1000422	28% NCE	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	MCIDAS 1-179 aa	no kinase
McIdas_sample2_noPLK4	Homo sapiens	not applicable	not applicable	1	not applicable	no kinase	MCIDAS 1-179 aa	20201207_EXPL4_OzKa_SA_Marina_2_2	proteomic profiling by mass spectrometry	2	20201207_EXPL4_OzKa_SA_Marina_2_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Asp-N;AC=MS:1001304	label free sample	1	NT=HCD;AC=MS:1000422	28% NCE	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	MCIDAS 1-179 aa	no kinase
McIdas_sample2_PLK4	Homo sapiens	not applicable	not applicable	1	not applicable	in vitro kinase reaction with recombinant Xenopus laevis PLK4	MCIDAS 1-179 aa	20201207_EXPL4_OzKa_SA_Marina_2_PLK4_1	proteomic profiling by mass spectrometry	1	20201207_EXPL4_OzKa_SA_Marina_2_PLK4_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Asp-N;AC=MS:1001304	label free sample	1	NT=HCD;AC=MS:1000422	28% NCE	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	MCIDAS 1-179 aa	in vitro kinase reaction with recombinant Xenopus laevis PLK4
McIdas_sample2_PLK4	Homo sapiens	not applicable	not applicable	1	not applicable	in vitro kinase reaction with recombinant Xenopus laevis PLK4	MCIDAS 1-179 aa	20201207_EXPL4_OzKa_SA_Marina_2_PLK4_2	proteomic profiling by mass spectrometry	2	20201207_EXPL4_OzKa_SA_Marina_2_PLK4_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Asp-N;AC=MS:1001304	label free sample	1	NT=HCD;AC=MS:1000422	28% NCE	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	MCIDAS 1-179 aa	in vitro kinase reaction with recombinant Xenopus laevis PLK4
McIdas_sample3_noPLK4	Homo sapiens	not applicable	not applicable	1	not applicable	no kinase	MCIDAS 101-284 aa	20201207_EXPL4_OzKa_SA_Marina_3_1	proteomic profiling by mass spectrometry	1	20201207_EXPL4_OzKa_SA_Marina_3_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	not applicable	label free sample	1	NT=HCD;AC=MS:1000422	28% NCE	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	MCIDAS 101-284 aa	no kinase
McIdas_sample3_noPLK4	Homo sapiens	not applicable	not applicable	1	not applicable	no kinase	MCIDAS 101-284 aa	20201207_EXPL4_OzKa_SA_Marina_3_2	proteomic profiling by mass spectrometry	2	20201207_EXPL4_OzKa_SA_Marina_3_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	not applicable	label free sample	1	NT=HCD;AC=MS:1000422	28% NCE	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	MCIDAS 101-284 aa	no kinase
