source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[material type]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	characteristics[cellular component]	characteristics[genotype]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[sample preparation batch]	comment[ms min im]	comment[ms max im]	comment[ms1 scan range]	comment[elution conditions]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	factor value[cellular component]	factor value[genotype]
KO_axon_batch01	Mus musculus	lumbar spinal cord	motor neuron	1	normal	cell	embryonic day 13	C57BL/6	not available	axon	Hnrnpr-/-	20210920_TIMS05_JaBa_SA_33EXP2_120min_Py3diaPASEF100ms_sample01_C1_1_5487	proteomic profiling by mass spectrometry	1	20210920_TIMS05_JaBa_SA_33EXP2_120min_Py3diaPASEF100ms_sample01_C1_1_5487.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=time-of-flight;AC=MS:1000084	batch01	0.6	1.6	100m/z-1700m/z	120 min gradient, 0.5% formic acid to 80% acetonitrile/0.5% formic acid, 300 nl/min, 60 C, 50 cm x 75 um C18 1.9 um column, EASY-nLC 1200	400	1200	25	axon	Hnrnpr-/-
KO_axon_batch02	Mus musculus	lumbar spinal cord	motor neuron	2	normal	cell	embryonic day 13	C57BL/6	not available	axon	Hnrnpr-/-	20210920_TIMS05_JaBa_SA_33EXP2_120min_Py3diaPASEF100ms_sample02_C2_1_5489	proteomic profiling by mass spectrometry	1	20210920_TIMS05_JaBa_SA_33EXP2_120min_Py3diaPASEF100ms_sample02_C2_1_5489.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=time-of-flight;AC=MS:1000084	batch02	0.6	1.6	100m/z-1700m/z	120 min gradient, 0.5% formic acid to 80% acetonitrile/0.5% formic acid, 300 nl/min, 60 C, 50 cm x 75 um C18 1.9 um column, EASY-nLC 1200	400	1200	25	axon	Hnrnpr-/-
KO_axon_batch03	Mus musculus	lumbar spinal cord	motor neuron	3	normal	cell	embryonic day 13	C57BL/6	not available	axon	Hnrnpr-/-	20210920_TIMS05_JaBa_SA_33EXP2_120min_Py3diaPASEF100ms_sample03_C3_1_5490	proteomic profiling by mass spectrometry	1	20210920_TIMS05_JaBa_SA_33EXP2_120min_Py3diaPASEF100ms_sample03_C3_1_5490.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=time-of-flight;AC=MS:1000084	batch03	0.6	1.6	100m/z-1700m/z	120 min gradient, 0.5% formic acid to 80% acetonitrile/0.5% formic acid, 300 nl/min, 60 C, 50 cm x 75 um C18 1.9 um column, EASY-nLC 1200	400	1200	25	axon	Hnrnpr-/-
KO_axon_batch04	Mus musculus	lumbar spinal cord	motor neuron	4	normal	cell	embryonic day 13	C57BL/6	not available	axon	Hnrnpr-/-	20210920_TIMS05_JaBa_SA_33EXP2_120min_Py3diaPASEF100ms_sample04_C4_1_5491	proteomic profiling by mass spectrometry	1	20210920_TIMS05_JaBa_SA_33EXP2_120min_Py3diaPASEF100ms_sample04_C4_1_5491.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=time-of-flight;AC=MS:1000084	batch04	0.6	1.6	100m/z-1700m/z	120 min gradient, 0.5% formic acid to 80% acetonitrile/0.5% formic acid, 300 nl/min, 60 C, 50 cm x 75 um C18 1.9 um column, EASY-nLC 1200	400	1200	25	axon	Hnrnpr-/-
WT_axon_batch01	Mus musculus	lumbar spinal cord	motor neuron	1	normal	cell	embryonic day 13	C57BL/6	not available	axon	Hnrnpr+/+	20210920_TIMS05_JaBa_SA_33EXP2_120min_Py3diaPASEF100ms_sample05_C5_1_5493	proteomic profiling by mass spectrometry	1	20210920_TIMS05_JaBa_SA_33EXP2_120min_Py3diaPASEF100ms_sample05_C5_1_5493.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=time-of-flight;AC=MS:1000084	batch01	0.6	1.6	100m/z-1700m/z	120 min gradient, 0.5% formic acid to 80% acetonitrile/0.5% formic acid, 300 nl/min, 60 C, 50 cm x 75 um C18 1.9 um column, EASY-nLC 1200	400	1200	25	axon	Hnrnpr+/+
WT_axon_batch02	Mus musculus	lumbar spinal cord	motor neuron	2	normal	cell	embryonic day 13	C57BL/6	not available	axon	Hnrnpr+/+	20210920_TIMS05_JaBa_SA_33EXP2_120min_Py3diaPASEF100ms_sample06_C6_1_5494	proteomic profiling by mass spectrometry	1	20210920_TIMS05_JaBa_SA_33EXP2_120min_Py3diaPASEF100ms_sample06_C6_1_5494.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=time-of-flight;AC=MS:1000084	batch02	0.6	1.6	100m/z-1700m/z	120 min gradient, 0.5% formic acid to 80% acetonitrile/0.5% formic acid, 300 nl/min, 60 C, 50 cm x 75 um C18 1.9 um column, EASY-nLC 1200	400	1200	25	axon	Hnrnpr+/+
WT_axon_batch03	Mus musculus	lumbar spinal cord	motor neuron	3	normal	cell	embryonic day 13	C57BL/6	not available	axon	Hnrnpr+/+	20210920_TIMS05_JaBa_SA_33EXP2_120min_Py3diaPASEF100ms_sample07_C7_1_5495	proteomic profiling by mass spectrometry	1	20210920_TIMS05_JaBa_SA_33EXP2_120min_Py3diaPASEF100ms_sample07_C7_1_5495.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=time-of-flight;AC=MS:1000084	batch03	0.6	1.6	100m/z-1700m/z	120 min gradient, 0.5% formic acid to 80% acetonitrile/0.5% formic acid, 300 nl/min, 60 C, 50 cm x 75 um C18 1.9 um column, EASY-nLC 1200	400	1200	25	axon	Hnrnpr+/+
WT_axon_batch04	Mus musculus	lumbar spinal cord	motor neuron	4	normal	cell	embryonic day 13	C57BL/6	not available	axon	Hnrnpr+/+	20210920_TIMS05_JaBa_SA_33EXP2_120min_Py3diaPASEF100ms_sample08_C8_1_5496	proteomic profiling by mass spectrometry	1	20210920_TIMS05_JaBa_SA_33EXP2_120min_Py3diaPASEF100ms_sample08_C8_1_5496.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=time-of-flight;AC=MS:1000084	batch04	0.6	1.6	100m/z-1700m/z	120 min gradient, 0.5% formic acid to 80% acetonitrile/0.5% formic acid, 300 nl/min, 60 C, 50 cm x 75 um C18 1.9 um column, EASY-nLC 1200	400	1200	25	axon	Hnrnpr+/+
KO_soma_batch01	Mus musculus	lumbar spinal cord	motor neuron	1	normal	cell	embryonic day 13	C57BL/6	not available	somatodendritic compartment	Hnrnpr-/-	20210920_TIMS05_JaBa_SA_33EXP2_120min_Py3diaPASEF100ms_sample09_C9_1_5502	proteomic profiling by mass spectrometry	1	20210920_TIMS05_JaBa_SA_33EXP2_120min_Py3diaPASEF100ms_sample09_C9_1_5502.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=time-of-flight;AC=MS:1000084	batch01	0.6	1.6	100m/z-1700m/z	120 min gradient, 0.5% formic acid to 80% acetonitrile/0.5% formic acid, 300 nl/min, 60 C, 50 cm x 75 um C18 1.9 um column, EASY-nLC 1200	400	1200	25	somatodendritic compartment	Hnrnpr-/-
KO_soma_batch02	Mus musculus	lumbar spinal cord	motor neuron	2	normal	cell	embryonic day 13	C57BL/6	not available	somatodendritic compartment	Hnrnpr-/-	20210920_TIMS05_JaBa_SA_33EXP2_120min_Py3diaPASEF100ms_sample10_C10_1_5503	proteomic profiling by mass spectrometry	1	20210920_TIMS05_JaBa_SA_33EXP2_120min_Py3diaPASEF100ms_sample10_C10_1_5503.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=time-of-flight;AC=MS:1000084	batch02	0.6	1.6	100m/z-1700m/z	120 min gradient, 0.5% formic acid to 80% acetonitrile/0.5% formic acid, 300 nl/min, 60 C, 50 cm x 75 um C18 1.9 um column, EASY-nLC 1200	400	1200	25	somatodendritic compartment	Hnrnpr-/-
