source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[fraction identifier]	comment[injection volume setting]	comment[label]	comment[instrument]	comment[mass spectrometry acquisition method aspect]	comment[cleavage agent details]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]
1E	Zea mays	pollen	not applicable	not applicable	1	run 1	proteomic profiling by mass spectrometry	1	gf_L05398.RAW	1	4	AC=MS:1002038;NT=label free sample	AC=MS:1000449;NT=LTQ Orbitrap	NT=data-dependent acquisition;AC=MS:1003221	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
1E	Zea mays	pollen	not applicable	not applicable	1	run 2	proteomic profiling by mass spectrometry	1	gf_L05399.RAW	2	4	AC=MS:1002038;NT=label free sample	AC=MS:1000449;NT=LTQ Orbitrap	NT=data-dependent acquisition;AC=MS:1003221	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
1E	Zea mays	pollen	not applicable	not applicable	1	run 3	proteomic profiling by mass spectrometry	1	gf_L05400.RAW	3	4	AC=MS:1002038;NT=label free sample	AC=MS:1000449;NT=LTQ Orbitrap	NT=data-dependent acquisition;AC=MS:1003221	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
1E	Zea mays	pollen	not applicable	not applicable	1	run 4	proteomic profiling by mass spectrometry	1	gf_L05401.RAW	4	4	AC=MS:1002038;NT=label free sample	AC=MS:1000449;NT=LTQ Orbitrap	NT=data-dependent acquisition;AC=MS:1003221	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
1E	Zea mays	pollen	not applicable	not applicable	1	run 5	proteomic profiling by mass spectrometry	1	gf_L05402.RAW	5	4	AC=MS:1002038;NT=label free sample	AC=MS:1000449;NT=LTQ Orbitrap	NT=data-dependent acquisition;AC=MS:1003221	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
1E	Zea mays	pollen	not applicable	not applicable	1	run 6	proteomic profiling by mass spectrometry	1	gf_L05403.RAW	6	4	AC=MS:1002038;NT=label free sample	AC=MS:1000449;NT=LTQ Orbitrap	NT=data-dependent acquisition;AC=MS:1003221	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
1E	Zea mays	pollen	not applicable	not applicable	1	run 7	proteomic profiling by mass spectrometry	1	gf_L05404.RAW	7	4	AC=MS:1002038;NT=label free sample	AC=MS:1000449;NT=LTQ Orbitrap	NT=data-dependent acquisition;AC=MS:1003221	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
1E	Zea mays	pollen	not applicable	not applicable	1	run 8	proteomic profiling by mass spectrometry	1	gf_L05405.RAW	8	4	AC=MS:1002038;NT=label free sample	AC=MS:1000449;NT=LTQ Orbitrap	NT=data-dependent acquisition;AC=MS:1003221	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
1E	Zea mays	pollen	not applicable	not applicable	1	run 9	proteomic profiling by mass spectrometry	1	gf_L05406.RAW	9	4	AC=MS:1002038;NT=label free sample	AC=MS:1000449;NT=LTQ Orbitrap	NT=data-dependent acquisition;AC=MS:1003221	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
1E	Zea mays	pollen	not applicable	not applicable	1	run 10	proteomic profiling by mass spectrometry	1	gf_L05407.RAW	10	4	AC=MS:1002038;NT=label free sample	AC=MS:1000449;NT=LTQ Orbitrap	NT=data-dependent acquisition;AC=MS:1003221	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
1E	Zea mays	pollen	not applicable	not applicable	1	run 11	proteomic profiling by mass spectrometry	1	gf_L05408.RAW	11	4	AC=MS:1002038;NT=label free sample	AC=MS:1000449;NT=LTQ Orbitrap	NT=data-dependent acquisition;AC=MS:1003221	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
1E	Zea mays	pollen	not applicable	not applicable	1	run 12	proteomic profiling by mass spectrometry	1	gf_L05409.RAW	12	4	AC=MS:1002038;NT=label free sample	AC=MS:1000449;NT=LTQ Orbitrap	NT=data-dependent acquisition;AC=MS:1003221	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
1F	Zea mays	pollen	not applicable	not applicable	1	run 13	proteomic profiling by mass spectrometry	1	gf_L05410.RAW	1	6.4	AC=MS:1002038;NT=label free sample	AC=MS:1000449;NT=LTQ Orbitrap	NT=data-dependent acquisition;AC=MS:1003221	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
1F	Zea mays	pollen	not applicable	not applicable	1	run 14	proteomic profiling by mass spectrometry	1	gf_L05411.RAW	2	6.4	AC=MS:1002038;NT=label free sample	AC=MS:1000449;NT=LTQ Orbitrap	NT=data-dependent acquisition;AC=MS:1003221	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
1F	Zea mays	pollen	not applicable	not applicable	1	run 15	proteomic profiling by mass spectrometry	1	gf_L05412.RAW	3	6.4	AC=MS:1002038;NT=label free sample	AC=MS:1000449;NT=LTQ Orbitrap	NT=data-dependent acquisition;AC=MS:1003221	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
1F	Zea mays	pollen	not applicable	not applicable	1	run 16	proteomic profiling by mass spectrometry	1	gf_L05413.RAW	4	6.4	AC=MS:1002038;NT=label free sample	AC=MS:1000449;NT=LTQ Orbitrap	NT=data-dependent acquisition;AC=MS:1003221	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
1F	Zea mays	pollen	not applicable	not applicable	1	run 17	proteomic profiling by mass spectrometry	1	gf_L05414.RAW	5	6.4	AC=MS:1002038;NT=label free sample	AC=MS:1000449;NT=LTQ Orbitrap	NT=data-dependent acquisition;AC=MS:1003221	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
1F	Zea mays	pollen	not applicable	not applicable	1	run 18	proteomic profiling by mass spectrometry	1	gf_L05415.RAW	6	6.4	AC=MS:1002038;NT=label free sample	AC=MS:1000449;NT=LTQ Orbitrap	NT=data-dependent acquisition;AC=MS:1003221	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
1F	Zea mays	pollen	not applicable	not applicable	1	run 19	proteomic profiling by mass spectrometry	1	gf_L05416.RAW	7	6.4	AC=MS:1002038;NT=label free sample	AC=MS:1000449;NT=LTQ Orbitrap	NT=data-dependent acquisition;AC=MS:1003221	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
1F	Zea mays	pollen	not applicable	not applicable	1	run 20	proteomic profiling by mass spectrometry	1	gf_L05417.RAW	8	6.4	AC=MS:1002038;NT=label free sample	AC=MS:1000449;NT=LTQ Orbitrap	NT=data-dependent acquisition;AC=MS:1003221	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
1F	Zea mays	pollen	not applicable	not applicable	1	run 21	proteomic profiling by mass spectrometry	1	gf_L05418.RAW	9	6.4	AC=MS:1002038;NT=label free sample	AC=MS:1000449;NT=LTQ Orbitrap	NT=data-dependent acquisition;AC=MS:1003221	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
1F	Zea mays	pollen	not applicable	not applicable	1	run 22	proteomic profiling by mass spectrometry	1	gf_L05419.RAW	10	6.4	AC=MS:1002038;NT=label free sample	AC=MS:1000449;NT=LTQ Orbitrap	NT=data-dependent acquisition;AC=MS:1003221	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
1F	Zea mays	pollen	not applicable	not applicable	1	run 23	proteomic profiling by mass spectrometry	1	gf_L05420.RAW	11	6.4	AC=MS:1002038;NT=label free sample	AC=MS:1000449;NT=LTQ Orbitrap	NT=data-dependent acquisition;AC=MS:1003221	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
1F	Zea mays	pollen	not applicable	not applicable	1	run 24	proteomic profiling by mass spectrometry	1	gf_L05421.RAW	12	6.4	AC=MS:1002038;NT=label free sample	AC=MS:1000449;NT=LTQ Orbitrap	NT=data-dependent acquisition;AC=MS:1003221	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
1E	Zea mays	pollen	not applicable	not applicable	2	run 25	proteomic profiling by mass spectrometry	1	gf_L05436.RAW	1	6.4	AC=MS:1002038;NT=label free sample	AC=MS:1000449;NT=LTQ Orbitrap	NT=data-dependent acquisition;AC=MS:1003221	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
1E	Zea mays	pollen	not applicable	not applicable	2	run 26	proteomic profiling by mass spectrometry	1	gf_L05437.RAW	2	6.4	AC=MS:1002038;NT=label free sample	AC=MS:1000449;NT=LTQ Orbitrap	NT=data-dependent acquisition;AC=MS:1003221	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
1E	Zea mays	pollen	not applicable	not applicable	2	run 27	proteomic profiling by mass spectrometry	1	gf_L05438.RAW	3	6.4	AC=MS:1002038;NT=label free sample	AC=MS:1000449;NT=LTQ Orbitrap	NT=data-dependent acquisition;AC=MS:1003221	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
1E	Zea mays	pollen	not applicable	not applicable	2	run 28	proteomic profiling by mass spectrometry	1	gf_L05439.RAW	4	6.4	AC=MS:1002038;NT=label free sample	AC=MS:1000449;NT=LTQ Orbitrap	NT=data-dependent acquisition;AC=MS:1003221	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
1E	Zea mays	pollen	not applicable	not applicable	2	run 29	proteomic profiling by mass spectrometry	1	gf_L05440.RAW	5	6.4	AC=MS:1002038;NT=label free sample	AC=MS:1000449;NT=LTQ Orbitrap	NT=data-dependent acquisition;AC=MS:1003221	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
1E	Zea mays	pollen	not applicable	not applicable	2	run 30	proteomic profiling by mass spectrometry	1	gf_L05441.RAW	6	6.4	AC=MS:1002038;NT=label free sample	AC=MS:1000449;NT=LTQ Orbitrap	NT=data-dependent acquisition;AC=MS:1003221	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
1E	Zea mays	pollen	not applicable	not applicable	2	run 31	proteomic profiling by mass spectrometry	1	gf_L05442.RAW	7	6.4	AC=MS:1002038;NT=label free sample	AC=MS:1000449;NT=LTQ Orbitrap	NT=data-dependent acquisition;AC=MS:1003221	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
1E	Zea mays	pollen	not applicable	not applicable	2	run 32	proteomic profiling by mass spectrometry	1	gf_L05443.RAW	8	6.4	AC=MS:1002038;NT=label free sample	AC=MS:1000449;NT=LTQ Orbitrap	NT=data-dependent acquisition;AC=MS:1003221	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
1E	Zea mays	pollen	not applicable	not applicable	2	run 33	proteomic profiling by mass spectrometry	1	gf_L05444.RAW	9	6.4	AC=MS:1002038;NT=label free sample	AC=MS:1000449;NT=LTQ Orbitrap	NT=data-dependent acquisition;AC=MS:1003221	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
1E	Zea mays	pollen	not applicable	not applicable	2	run 34	proteomic profiling by mass spectrometry	1	gf_L05445.RAW	10	6.4	AC=MS:1002038;NT=label free sample	AC=MS:1000449;NT=LTQ Orbitrap	NT=data-dependent acquisition;AC=MS:1003221	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
1E	Zea mays	pollen	not applicable	not applicable	2	run 35	proteomic profiling by mass spectrometry	1	gf_L05446.RAW	11	6.4	AC=MS:1002038;NT=label free sample	AC=MS:1000449;NT=LTQ Orbitrap	NT=data-dependent acquisition;AC=MS:1003221	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
1E	Zea mays	pollen	not applicable	not applicable	2	run 36	proteomic profiling by mass spectrometry	1	gf_L05447.RAW	12	6.4	AC=MS:1002038;NT=label free sample	AC=MS:1000449;NT=LTQ Orbitrap	NT=data-dependent acquisition;AC=MS:1003221	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
