source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]
15xGly_c9_+DOX	Homo sapiens	embryonic kidney	immortalized	N/A	HEK293T	1	JM8987_tc_1042	proteomic profiling by mass spectrometry	1	JM8987_tc_1042.raw	1	TMTPro126	Trypsin	Orbitrap Fusion Lumos	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
15xGly_c10_+DOX	Homo sapiens	embryonic kidney	immortalized	N/A	HEK293T	1	JM8987_tc_1042	proteomic profiling by mass spectrometry	1	JM8987_tc_1042.raw	1	TMTPro127n	Trypsin	Orbitrap Fusion Lumos	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
15xGly_c12_+DOX	Homo sapiens	embryonic kidney	immortalized	N/A	HEK293T	1	JM8987_tc_1042	proteomic profiling by mass spectrometry	1	JM8987_tc_1042.raw	1	TMTPro127c	Trypsin	Orbitrap Fusion Lumos	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
99xGly_c5_+DOX	Homo sapiens	embryonic kidney	immortalized	N/A	HEK293T	2	JM8987_tc_1042	proteomic profiling by mass spectrometry	1	JM8987_tc_1042.raw	1	TMTPro128n	Trypsin	Orbitrap Fusion Lumos	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
99xGly_c8_+DOX	Homo sapiens	embryonic kidney	immortalized	N/A	HEK293T	2	JM8987_tc_1042	proteomic profiling by mass spectrometry	1	JM8987_tc_1042.raw	1	TMTPro128c	Trypsin	Orbitrap Fusion Lumos	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
99xGly_c26_+DOX	Homo sapiens	embryonic kidney	immortalized	N/A	HEK293T	2	JM8987_tc_1042	proteomic profiling by mass spectrometry	1	JM8987_tc_1042.raw	1	TMTPro129n	Trypsin	Orbitrap Fusion Lumos	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
15xGly_c9_-DOX_D7	Homo sapiens	embryonic kidney	immortalized	N/A	HEK293T	3	JM8987_tc_1042	proteomic profiling by mass spectrometry	1	JM8987_tc_1042.raw	1	TMTPro129c	Trypsin	Orbitrap Fusion Lumos	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
15xGly_c10_-DOX_D7	Homo sapiens	embryonic kidney	immortalized	N/A	HEK293T	3	JM8987_tc_1042	proteomic profiling by mass spectrometry	1	JM8987_tc_1042.raw	1	TMTPro130n	Trypsin	Orbitrap Fusion Lumos	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
15xGly_c12_-DOX_D7	Homo sapiens	embryonic kidney	immortalized	N/A	HEK293T	3	JM8987_tc_1042	proteomic profiling by mass spectrometry	1	JM8987_tc_1042.raw	1	TMTPro130c	Trypsin	Orbitrap Fusion Lumos	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
99xGly_c5_-DOX_D7	Homo sapiens	embryonic kidney	immortalized	N/A	HEK293T	4	JM8987_tc_1042	proteomic profiling by mass spectrometry	1	JM8987_tc_1042.raw	1	TMTPro131n	Trypsin	Orbitrap Fusion Lumos	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
