source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[reaction condition]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[ms1 scan range]	factor value[reaction condition]
cul9-p53 timepoint 1 GluC digest	Homo sapiens	not applicable	not applicable	1	not applicable	cul9-p53 timepoint 1	20220312_EXPL0_TuVu_SA_T838_diGlymapping_Daniel_GluC_1_1	proteomic profiling by mass spectrometry	1	20220312_EXPL0_TuVu_SA_T838_diGlymapping_Daniel_GluC_1_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=glutamyl endopeptidase;AC=MS:1001917	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;AC=UNIMOD:121;TA=K;MT=Variable	NT=orbitrap;AC=MS:1000484	250m/z-1350m/z	cul9-p53 timepoint 1
cul9-p53 timepoint 1 GluC digest	Homo sapiens	not applicable	not applicable	1	not applicable	cul9-p53 timepoint 1	20220312_EXPL0_TuVu_SA_T838_diGlymapping_Daniel_GluC_1_2	proteomic profiling by mass spectrometry	2	20220312_EXPL0_TuVu_SA_T838_diGlymapping_Daniel_GluC_1_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=glutamyl endopeptidase;AC=MS:1001917	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;AC=UNIMOD:121;TA=K;MT=Variable	NT=orbitrap;AC=MS:1000484	250m/z-1350m/z	cul9-p53 timepoint 1
cul9-p53 timepoint 1 GluC digest	Homo sapiens	not applicable	not applicable	1	not applicable	cul9-p53 timepoint 1	20220312_EXPL0_TuVu_SA_T838_diGlymapping_Daniel_GluC_1_3	proteomic profiling by mass spectrometry	3	20220312_EXPL0_TuVu_SA_T838_diGlymapping_Daniel_GluC_1_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=glutamyl endopeptidase;AC=MS:1001917	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;AC=UNIMOD:121;TA=K;MT=Variable	NT=orbitrap;AC=MS:1000484	250m/z-1350m/z	cul9-p53 timepoint 1
cul9-p53 timepoint 2 GluC digest	Homo sapiens	not applicable	not applicable	1	not applicable	cul9-p53 timepoint 2	20220312_EXPL0_TuVu_SA_T838_diGlymapping_Daniel_GluC_2_1	proteomic profiling by mass spectrometry	1	20220312_EXPL0_TuVu_SA_T838_diGlymapping_Daniel_GluC_2_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=glutamyl endopeptidase;AC=MS:1001917	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;AC=UNIMOD:121;TA=K;MT=Variable	NT=orbitrap;AC=MS:1000484	250m/z-1350m/z	cul9-p53 timepoint 2
cul9-p53 timepoint 2 GluC digest	Homo sapiens	not applicable	not applicable	1	not applicable	cul9-p53 timepoint 2	20220312_EXPL0_TuVu_SA_T838_diGlymapping_Daniel_GluC_2_2	proteomic profiling by mass spectrometry	2	20220312_EXPL0_TuVu_SA_T838_diGlymapping_Daniel_GluC_2_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=glutamyl endopeptidase;AC=MS:1001917	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;AC=UNIMOD:121;TA=K;MT=Variable	NT=orbitrap;AC=MS:1000484	250m/z-1350m/z	cul9-p53 timepoint 2
cul9-p53 timepoint 2 GluC digest	Homo sapiens	not applicable	not applicable	1	not applicable	cul9-p53 timepoint 2	20220312_EXPL0_TuVu_SA_T838_diGlymapping_Daniel_GluC_2_3	proteomic profiling by mass spectrometry	3	20220312_EXPL0_TuVu_SA_T838_diGlymapping_Daniel_GluC_2_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=glutamyl endopeptidase;AC=MS:1001917	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;AC=UNIMOD:121;TA=K;MT=Variable	NT=orbitrap;AC=MS:1000484	250m/z-1350m/z	cul9-p53 timepoint 2
cul9-UBE2D2 timepoint 1 GluC digest	Homo sapiens	not applicable	not applicable	1	not applicable	cul9-UBE2D2 timepoint 1	20220312_EXPL0_TuVu_SA_T838_diGlymapping_Daniel_GluC_3_1	proteomic profiling by mass spectrometry	1	20220312_EXPL0_TuVu_SA_T838_diGlymapping_Daniel_GluC_3_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=glutamyl endopeptidase;AC=MS:1001917	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;AC=UNIMOD:121;TA=K;MT=Variable	NT=orbitrap;AC=MS:1000484	250m/z-1350m/z	cul9-UBE2D2 timepoint 1
cul9-UBE2D2 timepoint 1 GluC digest	Homo sapiens	not applicable	not applicable	1	not applicable	cul9-UBE2D2 timepoint 1	20220312_EXPL0_TuVu_SA_T838_diGlymapping_Daniel_GluC_3_2	proteomic profiling by mass spectrometry	2	20220312_EXPL0_TuVu_SA_T838_diGlymapping_Daniel_GluC_3_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=glutamyl endopeptidase;AC=MS:1001917	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;AC=UNIMOD:121;TA=K;MT=Variable	NT=orbitrap;AC=MS:1000484	250m/z-1350m/z	cul9-UBE2D2 timepoint 1
cul9-UBE2D2 timepoint 1 GluC digest	Homo sapiens	not applicable	not applicable	1	not applicable	cul9-UBE2D2 timepoint 1	20220312_EXPL0_TuVu_SA_T838_diGlymapping_Daniel_GluC_3_3	proteomic profiling by mass spectrometry	3	20220312_EXPL0_TuVu_SA_T838_diGlymapping_Daniel_GluC_3_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=glutamyl endopeptidase;AC=MS:1001917	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;AC=UNIMOD:121;TA=K;MT=Variable	NT=orbitrap;AC=MS:1000484	250m/z-1350m/z	cul9-UBE2D2 timepoint 1
cul9-p53 timepoint 1 trypsin digest	Homo sapiens	not applicable	not applicable	1	not applicable	cul9-p53 timepoint 1	20220312_EXPL0_TuVu_SA_T838_diGlymapping_Daniel_Trp_1_1	proteomic profiling by mass spectrometry	1	20220312_EXPL0_TuVu_SA_T838_diGlymapping_Daniel_Trp_1_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;AC=UNIMOD:121;TA=K;MT=Variable	NT=orbitrap;AC=MS:1000484	250m/z-1350m/z	cul9-p53 timepoint 1
