source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[disease]	characteristics[individual]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
HV_NT1	mus musculus	not available	Hepa1-6	not available	not available	not available	not available	not available	not available	1	run 1	proteomic profiling by mass spectrometry	1	DIA_Anny_sample_01_Slot1-35_1_18585.7z	1	label free sample	Bruker Daltonics instrument model	NT=Trypsin	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
HV_cis-Pt1	mus musculus	not available	Hepa1-6	not available	not available	not available	not available	not available	not available	1	run 2	proteomic profiling by mass spectrometry	1	DIA_Anny_sample_02_Slot1-36_1_18588.7z	1	label free sample	Bruker Daltonics instrument model	NT=Trypsin	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
HV_t-BHP1	mus musculus	not available	Hepa1-6	not available	not available	not available	not available	not available	not available	1	run 3	proteomic profiling by mass spectrometry	1	DIA_Anny_sample_03_Slot1-37_1_18591.7z	1	label free sample	Bruker Daltonics instrument model	NT=Trypsin	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
HS1_NT1	mus musculus	not available	Hepa1-6	not available	not available	not available	not available	not available	not available	1	run 4	proteomic profiling by mass spectrometry	1	DIA_Anny_sample_04_Slot1-38_1_18594.7z	1	label free sample	Bruker Daltonics instrument model	NT=Trypsin	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
HS1_cis-Pt1	mus musculus	not available	Hepa1-6	not available	not available	not available	not available	not available	not available	1	run 5	proteomic profiling by mass spectrometry	1	DIA_Anny_sample_05_Slot1-39_1_18597.7z	1	label free sample	Bruker Daltonics instrument model	NT=Trypsin	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
HS1_t-BHP1	mus musculus	not available	Hepa1-6	not available	not available	not available	not available	not available	not available	1	run 6	proteomic profiling by mass spectrometry	1	DIA_Anny_sample_06_Slot1-40_1_18600.7z	1	label free sample	Bruker Daltonics instrument model	NT=Trypsin	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
HV_NT2	mus musculus	not available	Hepa1-6	not available	not available	not available	not available	not available	not available	2	run 7	proteomic profiling by mass spectrometry	1	DIA_Anny_sample_07_Slot1-41_1_18603.7z	1	label free sample	Bruker Daltonics instrument model	NT=Trypsin	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
HV_cis-Pt2	mus musculus	not available	Hepa1-6	not available	not available	not available	not available	not available	not available	2	run 8	proteomic profiling by mass spectrometry	1	DIA_Anny_sample_08_Slot1-42_1_18606.7z	1	label free sample	Bruker Daltonics instrument model	NT=Trypsin	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
HV_t-BHP2	mus musculus	not available	Hepa1-6	not available	not available	not available	not available	not available	not available	2	run 9	proteomic profiling by mass spectrometry	1	DIA_Anny_sample_09_Slot1-43_1_18609.7z	1	label free sample	Bruker Daltonics instrument model	NT=Trypsin	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
HS1_NT2	mus musculus	not available	Hepa1-6	not available	not available	not available	not available	not available	not available	2	run 10	proteomic profiling by mass spectrometry	1	DIA_Anny_sample_10_Slot1-44_1_18612.7z	1	label free sample	Bruker Daltonics instrument model	NT=Trypsin	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
HS1_cis-Pt2	mus musculus	not available	Hepa1-6	not available	not available	not available	not available	not available	not available	2	run 11	proteomic profiling by mass spectrometry	1	DIA_Anny_sample_11_Slot1-45_1_18615.7z	1	label free sample	Bruker Daltonics instrument model	NT=Trypsin	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
HS1_t-BHP2	mus musculus	not available	Hepa1-6	not available	not available	not available	not available	not available	not available	2	run 12	proteomic profiling by mass spectrometry	1	DIA_Anny_sample_12_Slot1-46_1_18618.7z	1	label free sample	Bruker Daltonics instrument model	NT=Trypsin	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
HV_NT3	mus musculus	not available	Hepa1-6	not available	not available	not available	not available	not available	not available	3	run 13	proteomic profiling by mass spectrometry	1	DIA_Anny_sample_13_Slot1-47_1_18621.7z	1	label free sample	Bruker Daltonics instrument model	NT=Trypsin	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
