source name	characteristics[organism]	characteristics[ancestry category]	characteristics[sex]	characteristics[age]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[biological replicate]	characteristics[enrichment process]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]	factor value[phenotype]
6899_timsTOF1	homo sapiens	not applicable	not applicable	not applicable	cell lysate	cell culture	not applicable	BT-40	1	no enrichment	run 1	proteomic profiling by mass spectrometry	1	P2500_analysis.tdf	1	NT=label free sample	NT=Trypsin	NT=timsTOF Pro	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	5d DMSO
6901_timsTOF1	homo sapiens	not applicable	not applicable	not applicable	cell lysate	cell culture	not applicable	BT-40	1	no enrichment	run 2	proteomic profiling by mass spectrometry	1	P2502_analysis.tdf	1	NT=label free sample	NT=Trypsin	NT=timsTOF Pro	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	5d DMSO + 0.5h withdrawal
6902_timsTOF1	homo sapiens	not applicable	not applicable	not applicable	cell lysate	cell culture	not applicable	BT-40	1	no enrichment	run 3	proteomic profiling by mass spectrometry	1	P2504_analysis.tdf	1	NT=label free sample	NT=Trypsin	NT=timsTOF Pro	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	5d DMSO + 2h withdrawal
6904_timsTOF1	homo sapiens	not applicable	not applicable	not applicable	cell lysate	cell culture	not applicable	BT-40	1	no enrichment	run 4	proteomic profiling by mass spectrometry	1	P2506_analysis.tdf	1	NT=label free sample	NT=Trypsin	NT=timsTOF Pro	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	5d DMSO + 6h withdrawal
6905_timsTOF1	homo sapiens	not applicable	not applicable	not applicable	cell lysate	cell culture	not applicable	BT-40	1	no enrichment	run 5	proteomic profiling by mass spectrometry	1	P2508_analysis.tdf	1	NT=label free sample	NT=Trypsin	NT=timsTOF Pro	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	5d DMSO + 24h withdrawal
6906_timsTOF1	homo sapiens	not applicable	not applicable	not applicable	cell lysate	cell culture	not applicable	BT-40	1	no enrichment	run 6	proteomic profiling by mass spectrometry	1	P2510_analysis.tdf	1	NT=label free sample	NT=Trypsin	NT=timsTOF Pro	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	5d DMSO + 72h withdrawal
6908_timsTOF1	homo sapiens	not applicable	not applicable	not applicable	cell lysate	cell culture	not applicable	BT-40	1	no enrichment	run 7	proteomic profiling by mass spectrometry	1	P2512_analysis.tdf	1	NT=label free sample	NT=Trypsin	NT=timsTOF Pro	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	5d 5nM dabrafenib
6909_timsTOF1	homo sapiens	not applicable	not applicable	not applicable	cell lysate	cell culture	not applicable	BT-40	1	no enrichment	run 8	proteomic profiling by mass spectrometry	1	P2514_analysis.tdf	1	NT=label free sample	NT=Trypsin	NT=timsTOF Pro	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	5d 5nM dabrafenib + 0.5h withdrawal
6910_timsTOF1	homo sapiens	not applicable	not applicable	not applicable	cell lysate	cell culture	not applicable	BT-40	1	no enrichment	run 9	proteomic profiling by mass spectrometry	1	P2516_analysis.tdf	1	NT=label free sample	NT=Trypsin	NT=timsTOF Pro	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	5d 5nM dabrafenib + 2h withdrawal
6912_timsTOF1	homo sapiens	not applicable	not applicable	not applicable	cell lysate	cell culture	not applicable	BT-40	1	no enrichment	run 10	proteomic profiling by mass spectrometry	1	P2518_analysis.tdf	1	NT=label free sample	NT=Trypsin	NT=timsTOF Pro	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	5d 5nM dabrafenib + 6h withdrawal
6913_timsTOF1	homo sapiens	not applicable	not applicable	not applicable	cell lysate	cell culture	not applicable	BT-40	1	no enrichment	run 11	proteomic profiling by mass spectrometry	1	P2520_analysis.tdf	1	NT=label free sample	NT=Trypsin	NT=timsTOF Pro	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	5d 5nM dabrafenib + 24h withdrawal
6914_timsTOF1	homo sapiens	not applicable	not applicable	not applicable	cell lysate	cell culture	not applicable	BT-40	1	no enrichment	run 12	proteomic profiling by mass spectrometry	1	P2522_analysis.tdf	1	NT=label free sample	NT=Trypsin	NT=timsTOF Pro	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	5d 5nM dabrafenib + 72h withdrawal
6919_timsTOF1	homo sapiens	not applicable	not applicable	not applicable	cell lysate	cell culture	not applicable	BT-40	2	no enrichment	run 13	proteomic profiling by mass spectrometry	1	P2524_analysis.tdf	1	NT=label free sample	NT=Trypsin	NT=timsTOF Pro	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	5d DMSO
