source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[cell type]	characteristics[sex]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[fraction identifier]	comment[technical replicate]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[genetic_modification]	factor value[sex]
Control1_M	mus musculus	hippocampus	15 days	not available	not applicable	male	not applicable	1	14490	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Variable	3477_5-7-2022_Matera_14490_DIA_140min_8ul_RC4.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	wildtype	male
Control2_M	mus musculus	hippocampus	16 days	not available	not applicable	male	not applicable	2	14491	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Variable	3476_5-7-2022_Matera_14491_DIA_140min_8ul_RC3.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	wildtype	male
Control3_M	mus musculus	hippocampus	17 days	not available	not applicable	male	not applicable	3	14492	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Variable	3475_5-7-2022_Matera_14492_DIA_140min_8ul_RC2.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	wildtype	male
cKO1_M	mus musculus	hippocampus	18 days	not available	not applicable	male	not applicable	4	14493	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Variable	3472_5-7-2022_Matera_14493_DIA_140min_8ul_RC1.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	SHIP1 cKO	male
cKO2_M	mus musculus	hippocampus	19 days	not available	not applicable	male	not applicable	5	14494	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Variable	3471_5-7-2022_Matera_14494_DIA_140min_8ul_RB8.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	SHIP1 cKO	male
cKO3_M	mus musculus	hippocampus	20 days	not available	not applicable	male	not applicable	6	14495	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Variable	3470_5-7-2022_Matera_14495_DIA_140min_8ul_RB7.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	SHIP1 cKO	male
Control1_F	mus musculus	hippocampus	21 days	not available	not applicable	female	not applicable	7	14496	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Variable	3467_5-7-2022_Matera_14496_DIA_140min_8ul_RB6.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	wildtype	female
Control2_F	mus musculus	hippocampus	22 days	not available	not applicable	female	not applicable	8	14497	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Variable	3466_5-6-2022_Matera_14497_DIA_140min_8ul_RB5.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	wildtype	female
Control2_F	mus musculus	hippocampus	23 days	not available	not applicable	female	not applicable	9	14498	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Variable	3465_5-6-2022_Matera_14498_DIA_140min_8ul_RB4.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	wildtype	female
cKO1_F	mus musculus	hippocampus	24 days	not available	not applicable	female	not applicable	10	14499	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Variable	3462_5-6-2022_Matera_14499_DIA_140min_8ul_RB3.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	SHIP1 cKO	female
cKO2_F	mus musculus	hippocampus	25 days	not available	not applicable	female	not applicable	11	14500	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Variable	3461_5-6-2022_Matera_14500_DIA_140min_8ul_RB2.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	SHIP1 cKO	female
cKO3_F	mus musculus	hippocampus	26 days	not available	not applicable	female	not applicable	12	14501	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:4;NT=Carbamidomethyl;TA=C;MT=Variable	3460_5-6-2022_Matera_14501_DIA_140min_8ul_RB1.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	SHIP1 cKO	female
