source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[cell line]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[cell type]	characteristics[disease]	material type	characteristics[compound]	characteristics[concentration of]	characteristics[compound]	characteristics[concentration of]	characteristics[biological replicate]	assay name	technology type	comment[data file]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[instrument]	comment[separation]	comment[fraction identifier]	comment[technical replicate]	comment[label]	comment[ionization]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	factor value[cell line]	factor value[enrichment process]
Proteome Control 1	Homo sapiens	Bone	Tumour	U-2 OS	HTB-96	White	15Y	Female	epithelial morphology	Osteosarcoma	cell	none	not applicable	none	not applicable	1	Control 1	proteomic profiling by mass spectrometer	20191009_Proteome_Ctrl1.raw	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	1	AC=MS:1002038;NT=label free sample	ESI Positive	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;TA=N-term;AC=UNIMOD:1;MT=Variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	not applicable	5 ppm	20 ppm	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	U-2 OS	no enrichment
Proteome Control 2	Homo sapiens	Bone	Tumour	U-2 OS	HTB-96	White	15Y	Female	epithelial morphology	Osteosarcoma	cell	none	not applicable	none	not applicable	2	Control 2	proteomic profiling by mass spectrometer	20191009_Proteome_Ctrl2.raw	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	1	AC=MS:1002038;NT=label free sample	ESI Positive	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;TA=N-term;AC=UNIMOD:1;MT=Variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	not applicable	5 ppm	20 ppm	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	U-2 OS	no enrichment
Proteome Control 3	Homo sapiens	Bone	Tumour	U-2 OS	HTB-96	White	15Y	Female	epithelial morphology	Osteosarcoma	cell	none	not applicable	none	not applicable	3	Control 3	proteomic profiling by mass spectrometer	20191009_Proteome_Ctrl3.raw	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	1	AC=MS:1002038;NT=label free sample	ESI Positive	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;TA=N-term;AC=UNIMOD:1;MT=Variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	not applicable	5 ppm	20 ppm	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	U-2 OS	no enrichment
Proteome Control 4	Homo sapiens	Bone	Tumour	U-2 OS	HTB-96	White	15Y	Female	epithelial morphology	Osteosarcoma	cell	none	not applicable	none	not applicable	4	Control 4	proteomic profiling by mass spectrometer	20191009_Proteome_Ctrl4.raw	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	1	AC=MS:1002038;NT=label free sample	ESI Positive	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;TA=N-term;AC=UNIMOD:1;MT=Variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	not applicable	5 ppm	20 ppm	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	U-2 OS	no enrichment
Proteome Thapsigargin 1	Homo sapiens	Bone	Tumour	U-2 OS	HTB-96	White	15Y	Female	epithelial morphology	Osteosarcoma	cell	Thapsigargin	1 mM	none	not applicable	1	Thapsigargin 1	proteomic profiling by mass spectrometer	20191009_Proteome_Thaps1.raw	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	1	AC=MS:1002038;NT=label free sample	ESI Positive	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;TA=N-term;AC=UNIMOD:1;MT=Variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	not applicable	5 ppm	20 ppm	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	U-2 OS	no enrichment
Proteome Thapsigargin 2	Homo sapiens	Bone	Tumour	U-2 OS	HTB-96	White	15Y	Female	epithelial morphology	Osteosarcoma	cell	Thapsigargin	1 mM	none	not applicable	2	Thapsigargin 2	proteomic profiling by mass spectrometer	20191009_Proteome_Thaps2.raw	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	1	AC=MS:1002038;NT=label free sample	ESI Positive	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;TA=N-term;AC=UNIMOD:1;MT=Variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	not applicable	5 ppm	20 ppm	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	U-2 OS	no enrichment
Proteome Thapsigargin 3	Homo sapiens	Bone	Tumour	U-2 OS	HTB-96	White	15Y	Female	epithelial morphology	Osteosarcoma	cell	Thapsigargin	1 mM	none	not applicable	3	Thapsigargin 3	proteomic profiling by mass spectrometer	20191009_Proteome_Thaps3.raw	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	1	AC=MS:1002038;NT=label free sample	ESI Positive	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;TA=N-term;AC=UNIMOD:1;MT=Variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	not applicable	5 ppm	20 ppm	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	U-2 OS	no enrichment
Proteome Thapsigargin 4	Homo sapiens	Bone	Tumour	U-2 OS	HTB-96	White	15Y	Female	epithelial morphology	Osteosarcoma	cell	Thapsigargin	1 mM	none	not applicable	4	Thapsigargin 4	proteomic profiling by mass spectrometer	20191009_Proteome_Thaps4.raw	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	1	AC=MS:1002038;NT=label free sample	ESI Positive	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;TA=N-term;AC=UNIMOD:1;MT=Variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	not applicable	5 ppm	20 ppm	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	U-2 OS	no enrichment
Proteome PERKi-Thapsigargin 1	Homo sapiens	Bone	Tumour	U-2 OS	HTB-96	White	15Y	Female	epithelial morphology	Osteosarcoma	cell	Thapsigargin	1 mM	PERKi (GSK2606414)	10 mM	1	PERK inhibitor + Thapsigargin 1	proteomic profiling by mass spectrometer	20191009_Proteome_PERKi1.raw	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	1	AC=MS:1002038;NT=label free sample	ESI Positive	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;TA=N-term;AC=UNIMOD:1;MT=Variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	not applicable	5 ppm	20 ppm	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	U-2 OS	no enrichment
Proteome PERKi-Thapsigargin 2	Homo sapiens	Bone	Tumour	U-2 OS	HTB-96	White	15Y	Female	epithelial morphology	Osteosarcoma	cell	Thapsigargin	1 mM	PERKi (GSK2606414)	10 mM	2	PERK inhibitor + Thapsigargin 2	proteomic profiling by mass spectrometer	20191009_Proteome_PERKi2.raw	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	1	AC=MS:1002038;NT=label free sample	ESI Positive	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;TA=N-term;AC=UNIMOD:1;MT=Variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	not applicable	5 ppm	20 ppm	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	U-2 OS	no enrichment
