source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[biological replicate]	assay name	technology type	comment[data file]	comment[technical replicate]	comment[fraction identifier]	comment[correctionfactor]	comment[cleavage agent details]	comment[instrument]	comment[label]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
sham_1	mus musculus	skin	not applicable	not applicable	not appliccable	not applicable	1	ELB0427-0024_sample1	proteomic profiling by mass spectrometry	ELB0427-0024_sample1.raw	1	1	1	Trypsin	Q Exactive HF-X	label free	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
aldara_1	mus musculus	skin	not applicable	not applicable	not appliccable	not applicable	4	ELB0427-0024_sample10	proteomic profiling by mass spectrometry	ELB0427-0024_sample10.raw	1	1	1	Trypsin	Q Exactive HF-X	label free	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
aldara_1	mus musculus	skin	not applicable	not applicable	not appliccable	not applicable	5	ELB0427-0024_sample11	proteomic profiling by mass spectrometry	ELB0427-0024_sample11.raw	1	1	1	Trypsin	Q Exactive HF-X	label free	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
aldara_1	mus musculus	skin	not applicable	not applicable	not appliccable	not applicable	6	ELB0427-0024_sample12	proteomic profiling by mass spectrometry	ELB0427-0024_sample12.raw	1	1	1	Trypsin	Q Exactive HF-X	label free	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
sham_1	mus musculus	skin	not applicable	not applicable	not appliccable	not applicable	2	ELB0427-0024_sample2	proteomic profiling by mass spectrometry	ELB0427-0024_sample2.raw	1	1	1	Trypsin	Q Exactive HF-X	label free	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
sham_1	mus musculus	skin	not applicable	not applicable	not appliccable	not applicable	3	ELB0427-0024_sample3	proteomic profiling by mass spectrometry	ELB0427-0024_sample3.raw	1	1	1	Trypsin	Q Exactive HF-X	label free	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
sham_1	mus musculus	skin	not applicable	not applicable	not appliccable	not applicable	4	ELB0427-0024_sample4	proteomic profiling by mass spectrometry	ELB0427-0024_sample4.raw	1	1	1	Trypsin	Q Exactive HF-X	label free	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
sham_1	mus musculus	skin	not applicable	not applicable	not appliccable	not applicable	5	ELB0427-0024_sample5	proteomic profiling by mass spectrometry	ELB0427-0024_sample5.raw	1	1	1	Trypsin	Q Exactive HF-X	label free	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
sham_1	mus musculus	skin	not applicable	not applicable	not appliccable	not applicable	6	ELB0427-0024_sample6	proteomic profiling by mass spectrometry	ELB0427-0024_sample6.raw	1	1	1	Trypsin	Q Exactive HF-X	label free	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
aldara_1	mus musculus	skin	not applicable	not applicable	not appliccable	not applicable	1	ELB0427-0024_sample7	proteomic profiling by mass spectrometry	ELB0427-0024_sample7.raw	1	1	1	Trypsin	Q Exactive HF-X	label free	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
aldara_1	mus musculus	skin	not applicable	not applicable	not appliccable	not applicable	2	ELB0427-0024_sample8	proteomic profiling by mass spectrometry	ELB0427-0024_sample8.raw	1	1	1	Trypsin	Q Exactive HF-X	label free	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
aldara_1	mus musculus	skin	not applicable	not applicable	not appliccable	not applicable	3	ELB0427-0024_sample9	proteomic profiling by mass spectrometry	ELB0427-0024_sample9.raw	1	1	1	Trypsin	Q Exactive HF-X	label free	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
aldara_2	mus musculus	skin	not applicable	not applicable	not appliccable	not applicable	1	ELB0427-0034_012	proteomic profiling by mass spectrometry	ELB0427-0034_012.raw	1	1	1	Trypsin	Q Exactive HF-X	label free	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
sham_2	mus musculus	skin	not applicable	not applicable	not appliccable	not applicable	1	ELB0427-0034_015	proteomic profiling by mass spectrometry	ELB0427-0034_015.raw	1	1	1	Trypsin	Q Exactive HF-X	label free	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
sham_2	mus musculus	skin	not applicable	not applicable	not appliccable	not applicable	2	ELB0427-0034_018	proteomic profiling by mass spectrometry	ELB0427-0034_018.raw	1	1	1	Trypsin	Q Exactive HF-X	label free	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
sham_2	mus musculus	skin	not applicable	not applicable	not appliccable	not applicable	3	ELB0427-0034_021	proteomic profiling by mass spectrometry	ELB0427-0034_021.raw	1	1	1	Trypsin	Q Exactive HF-X	label free	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
sham_2	mus musculus	skin	not applicable	not applicable	not appliccable	not applicable	4	ELB0427-0034_025	proteomic profiling by mass spectrometry	ELB0427-0034_025.raw	1	1	1	Trypsin	Q Exactive HF-X	label free	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
sham_2	mus musculus	skin	not applicable	not applicable	not appliccable	not applicable	5	ELB0427-0034_026	proteomic profiling by mass spectrometry	ELB0427-0034_026.raw	1	1	1	Trypsin	Q Exactive HF-X	label free	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
aldara_2	mus musculus	skin	not applicable	not applicable	not appliccable	not applicable	2	ELB0427-0034_027	proteomic profiling by mass spectrometry	ELB0427-0034_027.raw	1	1	1	Trypsin	Q Exactive HF-X	label free	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
