source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[cell type]	characteristics[ancestry category]	characteristics[sex]	characteristics[biological replicate]	characteristics[individual]	assay name	technology type	comment[cleavage agent details]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[genetic_modification]	factor value[treatment]
sgCtrl +Gln A	homo sapiens	bone marrow	myelogenous leukemia	53 years	K562	not available	female	1	not applicable	15143	proteomic profiling by mass spectrometry	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	4120_10-18-2022_Lisci_DIA_15143-d10x_140min_5ul_RB1.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	sgCtrl	#NAME?
sgCtrl +Gln B	homo sapiens	bone marrow	myelogenous leukemia	53 years	K562	not available	female	2	not applicable	15144	proteomic profiling by mass spectrometry	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	4118_10-17-2022_Lisci_DIA_15144-d10x_140min_5ul_RB2.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	sgCtrl	#NAME?
sgCtrl +Gln C	homo sapiens	bone marrow	myelogenous leukemia	53 years	K562	not available	female	3	not applicable	15145	proteomic profiling by mass spectrometry	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	4119_10-17-2022_Lisci_DIA_15145-d10x_140min_5ul_RB3.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	sgCtrl	#NAME?
sgCtrl -Gln A	homo sapiens	bone marrow	myelogenous leukemia	53 years	K562	not available	female	4	not applicable	15146	proteomic profiling by mass spectrometry	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	4123_10-18-2022_Lisci_DIA_15146-d10x_140min_5ul_RB4.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	sgCtrl	#NAME?
sgCtrl -Gln B	homo sapiens	bone marrow	myelogenous leukemia	53 years	K562	not available	female	5	not applicable	15147	proteomic profiling by mass spectrometry	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	4124_10-18-2022_Lisci_DIA_15147-d10x_140min_5ul_RB5.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	sgCtrl	#NAME?
sgCtrl -Gln C	homo sapiens	bone marrow	myelogenous leukemia	53 years	K562	not available	female	6	not applicable	15148	proteomic profiling by mass spectrometry	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	4125_10-18-2022_Lisci_DIA_15148-d10x_140min_5ul_RB6.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	sgCtrl	#NAME?
sgFBXW7 +Gln A	homo sapiens	bone marrow	myelogenous leukemia	53 years	K562	not available	female	7	not applicable	15149	proteomic profiling by mass spectrometry	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	4128_10-18-2022_Lisci_DIA_15149-d10x_140min_5ul_RC1.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	sgFBXW7	#NAME?
sgFBXW7 +Gln B	homo sapiens	bone marrow	myelogenous leukemia	53 years	K562	not available	female	8	not applicable	15150	proteomic profiling by mass spectrometry	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	4130_10-18-2022_Lisci_DIA_15150-d10x_140min_7ul_RC2.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	sgFBXW7	#NAME?
sgFBXW7 +Gln C	homo sapiens	bone marrow	myelogenous leukemia	53 years	K562	not available	female	9	not applicable	15151	proteomic profiling by mass spectrometry	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	4131_10-18-2022_Lisci_DIA_15151-d10x_140min_5ul_RC3.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	sgFBXW7	#NAME?
sgFBXW7 -Gln A	homo sapiens	bone marrow	myelogenous leukemia	53 years	K562	not available	female	10	not applicable	15152	proteomic profiling by mass spectrometry	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	4134_10-19-2022_Lisci_DIA_15152-d10x_140min_5ul_RC4.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	sgFBXW7	#NAME?
sgFBXW7 -Gln B	homo sapiens	bone marrow	myelogenous leukemia	53 years	K562	not available	female	11	not applicable	15153	proteomic profiling by mass spectrometry	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=data-independent acquisition;AC=PRIDE:0000450	AC=MS:1002038;NT=label free sample	AC=MS:1003005;NT=timsTOF Pro	1	1	4135_10-19-2022_Lisci_DIA_15153-d10x_140min_5ul_RC5.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	sgFBXW7	#NAME?
