source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[developmental stage]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
Sample 1	mus musculus	CSF	CONTROL	not available	not available	1	run 1	proteomic profiling by mass spectrometry	1	AGCB_2301_KN_230929_Mouse1_Slot2-29_1_9434.d.zip	1	label free sample	NT=Trypsin;AC=MS:1001251	NT=timsTOF Pro	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
Sample 2	mus musculus	CSF	HSAN9	not available	not available	1	run 2	proteomic profiling by mass spectrometry	1	AGCB_2301_KN_230929_Mouse124_Slot2-34_1_9420.d.zip	1	label free sample	NT=Trypsin;AC=MS:1001251	NT=timsTOF Pro	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
Sample 3	mus musculus	CSF	HSAN9	not available	not available	2	run 3	proteomic profiling by mass spectrometry	1	AGCB_2301_KN_230929_Mouse142_Slot2-32_1_9440.d.zip	1	label free sample	NT=Trypsin;AC=MS:1001251	NT=timsTOF Pro	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
Sample 4	mus musculus	CSF	HSAN9	not available	not available	3	run 4	proteomic profiling by mass spectrometry	1	AGCB_2301_KN_230929_Mouse143_Slot2-39_1_9430.d.zip	1	label free sample	NT=Trypsin;AC=MS:1001251	NT=timsTOF Pro	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
Sample 5	mus musculus	CSF	HSAN9	not available	not available	4	run 5	proteomic profiling by mass spectrometry	1	AGCB_2301_KN_230929_Mouse154_Slot2-35_1_9422.d.zip	1	label free sample	NT=Trypsin;AC=MS:1001251	NT=timsTOF Pro	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
Sample 6	mus musculus	CSF	HSAN9	not available	not available	5	run 6	proteomic profiling by mass spectrometry	1	AGCB_2301_KN_230929_Mouse156_Slot2-30_1_9436.d.zip	1	label free sample	NT=Trypsin;AC=MS:1001251	NT=timsTOF Pro	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
Sample 7	mus musculus	CSF	CONTROL	not available	not available	2	run 7	proteomic profiling by mass spectrometry	1	AGCB_2301_KN_230929_Mouse187_Slot2-33_1_9418.d.zip	1	label free sample	NT=Trypsin;AC=MS:1001251	NT=timsTOF Pro	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
Sample 8	mus musculus	CSF	CONTROL	not available	not available	3	run 8	proteomic profiling by mass spectrometry	1	AGCB_2301_KN_230929_Mouse878_Slot2-36_1_9424.d.zip	1	label free sample	NT=Trypsin;AC=MS:1001251	NT=timsTOF Pro	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
Sample 9	mus musculus	CSF	CONTROL	not available	not available	4	run 9	proteomic profiling by mass spectrometry	1	AGCB_2301_KN_230929_Mouse879_Slot2-31_1_9438.d.zip	1	label free sample	NT=Trypsin;AC=MS:1001251	NT=timsTOF Pro	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
Sample 10	mus musculus	CSF	CONTROL	not available	not available	5	run 10	proteomic profiling by mass spectrometry	1	AGCB_2301_KN_230929_Mouse1329_Slot2-38_1_9428.d.zip	1	label free sample	NT=Trypsin;AC=MS:1001251	NT=timsTOF Pro	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
