source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[developmental stage]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	factor value[protein amount]
sample 1	mus musculus	BV2 cell	immature microglia	neonatal	not available	1	run 1	proteomic profiling by mass spectrometer	1	christina_Aldh1l1_Camk2a_8tcl_08.raw	1	NT=label free sample	AC=MS:1002634;NT=Trypsin	NT=Q Exactive Plus; AC=MS:1002634	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetylation;MT=Variable;TA=Protein N-term;AC=UNIMOD:1	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	20 ppm	0.05 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	50 ug
sample 2	mus musculus	BV2 cell	immature microglia	neonatal	not available	1	run 2	proteomic profiling by mass spectrometer	1	christina_BV2_10tcl_01.raw	1	NT=label free sample	AC=MS:1002634;NT=Trypsin	NT=Q Exactive Plus; AC=MS:1002634	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetylation;MT=Variable;TA=Protein N-term;AC=UNIMOD:1	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	20 ppm	0.05 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	50 ug
sample 3	mus musculus	BV2 cell	immature microglia	neonatal	not available	1	run 3	proteomic profiling by mass spectrometer	1	christina_BV2_10tcl_02.raw	1	NT=label free sample	AC=MS:1002634;NT=Trypsin	NT=Q Exactive Plus; AC=MS:1002634	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetylation;MT=Variable;TA=Protein N-term;AC=UNIMOD:1	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	20 ppm	0.05 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	50 ug
sample 4	mus musculus	BV2 cell	immature microglia	neonatal	not available	1	run 4	proteomic profiling by mass spectrometer	1	christina_BV2_10tcl_03.raw	1	NT=label free sample	AC=MS:1002634;NT=Trypsin	NT=Q Exactive Plus; AC=MS:1002634	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetylation;MT=Variable;TA=Protein N-term;AC=UNIMOD:1	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	20 ppm	0.05 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	50 ug
sample 5	mus musculus	BV2 cell	immature microglia	neonatal	not available	1	run 5	proteomic profiling by mass spectrometer	1	christina_BV2_10tcl_04.raw	1	NT=label free sample	AC=MS:1002634;NT=Trypsin	NT=Q Exactive Plus; AC=MS:1002634	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetylation;MT=Variable;TA=Protein N-term;AC=UNIMOD:1	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	20 ppm	0.05 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	50 ug
sample 6	mus musculus	BV2 cell	immature microglia	neonatal	not available	1	run 6	proteomic profiling by mass spectrometer	1	christina_BV2_10tcl_05.raw	1	NT=label free sample	AC=MS:1002634;NT=Trypsin	NT=Q Exactive Plus; AC=MS:1002634	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetylation;MT=Variable;TA=Protein N-term;AC=UNIMOD:1	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	20 ppm	0.05 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	50 ug
sample 7	mus musculus	BV2 cell	immature microglia	neonatal	not available	1	run 7	proteomic profiling by mass spectrometer	1	christina_BV2_10tcl_06.raw	1	NT=label free sample	AC=MS:1002634;NT=Trypsin	NT=Q Exactive Plus; AC=MS:1002634	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetylation;MT=Variable;TA=Protein N-term;AC=UNIMOD:1	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	20 ppm	0.05 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	50 ug
sample 8	mus musculus	BV2 cell	immature microglia	neonatal	not available	1	run 8	proteomic profiling by mass spectrometer	1	christina_BV2_21ip_01.raw	1	NT=label free sample	AC=MS:1002634;NT=Trypsin	NT=Q Exactive Plus; AC=MS:1002634	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetylation;MT=Variable;TA=Protein N-term;AC=UNIMOD:1	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	20 ppm	0.05 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	300 ug
sample 9	mus musculus	BV2 cell	immature microglia	neonatal	not available	1	run 9	proteomic profiling by mass spectrometer	1	christina_BV2_21ip_02.raw	1	NT=label free sample	AC=MS:1002634;NT=Trypsin	NT=Q Exactive Plus; AC=MS:1002634	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetylation;MT=Variable;TA=Protein N-term;AC=UNIMOD:1	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	20 ppm	0.05 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	300 ug
sample 10	mus musculus	BV2 cell	immature microglia	neonatal	not available	1	run 10	proteomic profiling by mass spectrometer	1	christina_BV2_21ip_03.raw	1	NT=label free sample	AC=MS:1002634;NT=Trypsin	NT=Q Exactive Plus; AC=MS:1002634	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetylation;MT=Variable;TA=Protein N-term;AC=UNIMOD:1	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	20 ppm	0.05 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	300 ug
