source name	characteristics[organism]	characteristics[ecotype/cultivar]	characteristics[genotype]	characteristics[cell type]	characteristics[disease]	characteristics[organism part]	characteristics[developmental stage]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]
sample 1	Arabidopsis thaliana	Ler	pLUH:LUH-GFP pAP1:AP1-GR ap1 cal	not available	not available	inflorescence	0 DAI	1	IP	LC-MS/MS DDA	1	20210914_RoVe_13_FGS173_0d_R1.raw	1	label free	Q Exactive Plus	Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample 2	Arabidopsis thaliana	Ler	pLUH:LUH-GFP pAP1:AP1-GR ap1 cal	not available	not available	inflorescence	0 DAI	2	IP	LC-MS/MS DDA	1	20210914_RoVe_14_FGS173_0d_R2.raw	1	label free	Q Exactive Plus	Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample 3	Arabidopsis thaliana	Ler	pLUH:LUH-GFP pAP1:AP1-GR ap1 cal	not available	not available	inflorescence	0 DAI	3	IP	LC-MS/MS DDA	1	20210914_RoVe_15_FGS173_0d_R3.raw	1	label free	Q Exactive Plus	Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample 4	Arabidopsis thaliana	Ler	pLUH:LUH-GFP pAP1:AP1-GR ap1 cal	not available	not available	inflorescence	0 DAI	1	INPUT	LC-MS/MS DDA	1	20210914_RoVe_25_FGS173_0d_IN_R1.raw	1	label free	Q Exactive Plus	Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample 5	Arabidopsis thaliana	Ler	pLUH:LUH-GFP pAP1:AP1-GR ap1 cal	not available	not available	inflorescence	0 DAI	2	INPUT	LC-MS/MS DDA	1	20210914_RoVe_26_FGS173_0d_IN_R2.raw	1	label free	Q Exactive Plus	Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample 6	Arabidopsis thaliana	Ler	pLUH:LUH-GFP pAP1:AP1-GR ap1 cal	not available	not available	inflorescence	0 DAI	3	INPUT	LC-MS/MS DDA	1	20210914_RoVe_27_FGS173_0d_IN_R3.raw	1	label free	Q Exactive Plus	Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample 7	Arabidopsis thaliana	Ler	pLUH:LUH-GFP pAP1:AP1-GR ap1 cal	not available	not available	inflorescence	2 DAI	1	IP	LC-MS/MS DDA	1	20220207_RoVe_10_LUH-GFP2-1.raw	1	label free	Q Exactive Plus	Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample 8	Arabidopsis thaliana	Ler	pLUH:LUH-GFP pAP1:AP1-GR ap1 cal	not available	not available	inflorescence	2 DAI	2	IP	LC-MS/MS DDA	1	20220207_RoVe_11_LUH-GFP2-2.raw	1	label free	Q Exactive Plus	Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample 9	Arabidopsis thaliana	Ler	pLUH:LUH-GFP pAP1:AP1-GR ap1 cal	not available	not available	inflorescence	2 DAI	3	IP	LC-MS/MS DDA	1	20220207_RoVe_12_LUH-GFP2-3.raw	1	label free	Q Exactive Plus	Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample 10	Arabidopsis thaliana	Ler	pLUH:LUH-GFP pAP1:AP1-GR ap1 cal	not available	not available	inflorescence	2 DAI	1	INPUT	LC-MS/MS DDA	1	20220207_RoVe_4_LUH-GFP2-1INPUT.raw	1	label free	Q Exactive Plus	Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample 11	Arabidopsis thaliana	Ler	pLUH:LUH-GFP pAP1:AP1-GR ap1 cal	not available	not available	inflorescence	2 DAI	2	INPUT	LC-MS/MS DDA	1	20220207_RoVe_5_LUH-GFP2-2INPUT.raw	1	label free	Q Exactive Plus	Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample 12	Arabidopsis thaliana	Ler	pLUH:LUH-GFP pAP1:AP1-GR ap1 cal	not available	not available	inflorescence	2 DAI	3	INPUT	LC-MS/MS DDA	1	20220207_RoVe_6_LUH-GFP2-3INPUT.raw	1	label free	Q Exactive Plus	Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
