source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[cell type]	characteristics[developmental stage]	characteristics[disease]	assay name	technology type	comment[cleavage agent details]	comment[cleavage agent details]	comment[data file]	comment[fraction identifier]	comment[fragment mass tolerance]	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[technical replicate]	comment[tool metadata]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
C1	Equus caballus	oocyte	1	oocyte	not available	not applicable	C1	proteomic profiling by mass spectrometry	NT=Trypsin/P	NT=Lys-C/P	T064333_AurEl8_PM8_CMB-1696_Control_rep1_3_BB4_1_11271.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	1	lesSDRF v0.1.0	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
T1	Equus caballus	oocyte	2	oocyte	not available	not applicable	T1	proteomic profiling by mass spectrometry	NT=Trypsin/P	NT=Lys-C/P	T064335_AurEl8_PM8_CMB-1696_Treatment_rep1_13_BC5_1_11273.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	1	lesSDRF v0.1.0	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
T2	Equus caballus	oocyte	3	oocyte	not available	not applicable	T2	proteomic profiling by mass spectrometry	NT=Trypsin/P	NT=Lys-C/P	T064337_AurEl8_PM8_CMB-1696_Treatment_rep1_10_BC2_1_11275.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	1	lesSDRF v0.1.0	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
C2	Equus caballus	oocyte	4	oocyte	not available	not applicable	C2	proteomic profiling by mass spectrometry	NT=Trypsin/P	NT=Lys-C/P	T064339_AurEl8_PM8_CMB-1696_Control_rep1_4_BB5_1_11277.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	1	lesSDRF v0.1.0	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
C3	Equus caballus	oocyte	5	oocyte	not available	not applicable	C3	proteomic profiling by mass spectrometry	NT=Trypsin/P	NT=Lys-C/P	T064341_AurEl8_PM8_CMB-1696_Control_rep1_5_BB6_1_11279.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	1	lesSDRF v0.1.0	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
C4	Equus caballus	oocyte	6	oocyte	not available	not applicable	C4	proteomic profiling by mass spectrometry	NT=Trypsin/P	NT=Lys-C/P	T064347_AurEl8_PM8_CMB-1696_Control_rep1_9_BB10_1_11285.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	1	lesSDRF v0.1.0	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
C5	Equus caballus	oocyte	7	oocyte	not available	not applicable	C5	proteomic profiling by mass spectrometry	NT=Trypsin/P	NT=Lys-C/P	T064351_AurEl8_PM8_CMB-1696_Control_rep1_6_BB7_1_11289.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	1	lesSDRF v0.1.0	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
C6	Equus caballus	oocyte	8	oocyte	not available	not applicable	C6	proteomic profiling by mass spectrometry	NT=Trypsin/P	NT=Lys-C/P	T064355_AurEl8_PM8_CMB-1696_Control_rep1_7_BB8_1_11293.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	1	lesSDRF v0.1.0	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
C7	Equus caballus	oocyte	9	oocyte	not available	not applicable	C7	proteomic profiling by mass spectrometry	NT=Trypsin/P	NT=Lys-C/P	T064357_AurEl8_PM8_CMB-1696_Control_rep1_8_BB9_1_11295.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	1	lesSDRF v0.1.0	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
T3	Equus caballus	oocyte	10	oocyte	not available	not applicable	T3	proteomic profiling by mass spectrometry	NT=Trypsin/P	NT=Lys-C/P	T064359_AurEl8_PM8_CMB-1696_Treatment_rep1_12_BC4_1_11297.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	1	lesSDRF v0.1.0	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
