source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[cell line]	characteristics[cell type]	characteristics[disease]	assay name	technology type	comment[cleavage agent details]	comment[data file]	comment[fraction identifier]	comment[fragment mass tolerance]	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[technical replicate]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]	factor value[ebv status]	factor value[exposure]
Sample 1	Homo sapiens	Lymphatic system	1	Loukes	B Lymphocyte	Burkitt Lymphoma Cancer	Run 1	proteomic profiling by mass spectrometry	NT=Arg-C; AC=MS:1001303	231030_AFB1_0h_1.zip	1	50 ppm	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	NT=Propionyl;AC=UNIMOD:58;MT=fixed;TA=K,N-term	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=N,Q	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=K	NT=Butyryl;AC=UNIMOD:1289;MT=variable;TA=K	NT=Dimethyl;AC=UNIMOD:36;MT=variable;TA=K,R	NT=Succinyl;AC=UNIMOD:64;MT=variable;TA=K	NT=Trimethyl;AC=UNIMOD:37;MT=variable;TA=K	NT=Methyl;AC=UNIMOD:34;MT=variable;TA=K,R	NT=Crotonyl;AC=UNIMOD:1363;MT=variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=variable;TA=S,T	10 ppm	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	negative	AFB1
Sample 2	Homo sapiens	Lymphatic system	3	Loukes	B Lymphocyte	Burkitt Lymphoma Cancer	Run 2	proteomic profiling by mass spectrometry	NT=Arg-C; AC=MS:1001303	231030_AFB1_0h_3.zip	1	50 ppm	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	NT=Propionyl;AC=UNIMOD:58;MT=fixed;TA=K,N-term	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=N,Q	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=K	NT=Butyryl;AC=UNIMOD:1289;MT=variable;TA=K	NT=Dimethyl;AC=UNIMOD:36;MT=variable;TA=K,R	NT=Succinyl;AC=UNIMOD:64;MT=variable;TA=K	NT=Trimethyl;AC=UNIMOD:37;MT=variable;TA=K	NT=Methyl;AC=UNIMOD:34;MT=variable;TA=K,R	NT=Crotonyl;AC=UNIMOD:1363;MT=variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=variable;TA=S,T	10 ppm	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	negative	AFB1
Sample 3	Homo sapiens	Lymphatic system	4	Loukes	B Lymphocyte	Burkitt Lymphoma Cancer	Run 3	proteomic profiling by mass spectrometry	NT=Arg-C; AC=MS:1001303	231030_AFB1_0h_4.zip	1	50 ppm	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	NT=Propionyl;AC=UNIMOD:58;MT=fixed;TA=K,N-term	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=N,Q	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=K	NT=Butyryl;AC=UNIMOD:1289;MT=variable;TA=K	NT=Dimethyl;AC=UNIMOD:36;MT=variable;TA=K,R	NT=Succinyl;AC=UNIMOD:64;MT=variable;TA=K	NT=Trimethyl;AC=UNIMOD:37;MT=variable;TA=K	NT=Methyl;AC=UNIMOD:34;MT=variable;TA=K,R	NT=Crotonyl;AC=UNIMOD:1363;MT=variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=variable;TA=S,T	10 ppm	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	negative	AFB1
Sample 4	Homo sapiens	Lymphatic system	5	Loukes	B Lymphocyte	Burkitt Lymphoma Cancer	Run 4	proteomic profiling by mass spectrometry	NT=Arg-C; AC=MS:1001303	231030_AFB1_0h_5.zip	1	50 ppm	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	NT=Propionyl;AC=UNIMOD:58;MT=fixed;TA=K,N-term	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=N,Q	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=K	NT=Butyryl;AC=UNIMOD:1289;MT=variable;TA=K	NT=Dimethyl;AC=UNIMOD:36;MT=variable;TA=K,R	NT=Succinyl;AC=UNIMOD:64;MT=variable;TA=K	NT=Trimethyl;AC=UNIMOD:37;MT=variable;TA=K	NT=Methyl;AC=UNIMOD:34;MT=variable;TA=K,R	NT=Crotonyl;AC=UNIMOD:1363;MT=variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=variable;TA=S,T	10 ppm	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	negative	AFB1
Sample 5	Homo sapiens	Lymphatic system	1	Loukes	B Lymphocyte	Burkitt Lymphoma Cancer	Run 5	proteomic profiling by mass spectrometry	NT=Arg-C; AC=MS:1001303	231030_AFB1_24h_1.zip	1	50 ppm	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	NT=Propionyl;AC=UNIMOD:58;MT=fixed;TA=K,N-term	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=N,Q	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=K	NT=Butyryl;AC=UNIMOD:1289;MT=variable;TA=K	NT=Dimethyl;AC=UNIMOD:36;MT=variable;TA=K,R	NT=Succinyl;AC=UNIMOD:64;MT=variable;TA=K	NT=Trimethyl;AC=UNIMOD:37;MT=variable;TA=K	NT=Methyl;AC=UNIMOD:34;MT=variable;TA=K,R	NT=Crotonyl;AC=UNIMOD:1363;MT=variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=variable;TA=S,T	10 ppm	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	negative	AFB1
Sample 6	Homo sapiens	Lymphatic system	2	Loukes	B Lymphocyte	Burkitt Lymphoma Cancer	Run 6	proteomic profiling by mass spectrometry	NT=Arg-C; AC=MS:1001303	231030_AFB1_24h_2.zip	1	50 ppm	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	NT=Propionyl;AC=UNIMOD:58;MT=fixed;TA=K,N-term	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=N,Q	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=K	NT=Butyryl;AC=UNIMOD:1289;MT=variable;TA=K	NT=Dimethyl;AC=UNIMOD:36;MT=variable;TA=K,R	NT=Succinyl;AC=UNIMOD:64;MT=variable;TA=K	NT=Trimethyl;AC=UNIMOD:37;MT=variable;TA=K	NT=Methyl;AC=UNIMOD:34;MT=variable;TA=K,R	NT=Crotonyl;AC=UNIMOD:1363;MT=variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=variable;TA=S,T	10 ppm	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	negative	AFB1
Sample 7	Homo sapiens	Lymphatic system	3	Loukes	B Lymphocyte	Burkitt Lymphoma Cancer	Run 7	proteomic profiling by mass spectrometry	NT=Arg-C; AC=MS:1001303	231030_AFB1_24h_3_02.zip	1	50 ppm	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	NT=Propionyl;AC=UNIMOD:58;MT=fixed;TA=K,N-term	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=N,Q	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=K	NT=Butyryl;AC=UNIMOD:1289;MT=variable;TA=K	NT=Dimethyl;AC=UNIMOD:36;MT=variable;TA=K,R	NT=Succinyl;AC=UNIMOD:64;MT=variable;TA=K	NT=Trimethyl;AC=UNIMOD:37;MT=variable;TA=K	NT=Methyl;AC=UNIMOD:34;MT=variable;TA=K,R	NT=Crotonyl;AC=UNIMOD:1363;MT=variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=variable;TA=S,T	10 ppm	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	negative	AFB1
Sample 8	Homo sapiens	Lymphatic system	4	Loukes	B Lymphocyte	Burkitt Lymphoma Cancer	Run 8	proteomic profiling by mass spectrometry	NT=Arg-C; AC=MS:1001303	231030_AFB1_24h_4.zip	1	50 ppm	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	NT=Propionyl;AC=UNIMOD:58;MT=fixed;TA=K,N-term	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=N,Q	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=K	NT=Butyryl;AC=UNIMOD:1289;MT=variable;TA=K	NT=Dimethyl;AC=UNIMOD:36;MT=variable;TA=K,R	NT=Succinyl;AC=UNIMOD:64;MT=variable;TA=K	NT=Trimethyl;AC=UNIMOD:37;MT=variable;TA=K	NT=Methyl;AC=UNIMOD:34;MT=variable;TA=K,R	NT=Crotonyl;AC=UNIMOD:1363;MT=variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=variable;TA=S,T	10 ppm	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	negative	AFB1
Sample 9	Homo sapiens	Lymphatic system	6	Loukes	B Lymphocyte	Burkitt Lymphoma Cancer	Run 9	proteomic profiling by mass spectrometry	NT=Arg-C; AC=MS:1001303	231030_AFB1_24h_6.zip	1	50 ppm	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	NT=Propionyl;AC=UNIMOD:58;MT=fixed;TA=K,N-term	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=N,Q	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=K	NT=Butyryl;AC=UNIMOD:1289;MT=variable;TA=K	NT=Dimethyl;AC=UNIMOD:36;MT=variable;TA=K,R	NT=Succinyl;AC=UNIMOD:64;MT=variable;TA=K	NT=Trimethyl;AC=UNIMOD:37;MT=variable;TA=K	NT=Methyl;AC=UNIMOD:34;MT=variable;TA=K,R	NT=Crotonyl;AC=UNIMOD:1363;MT=variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=variable;TA=S,T	10 ppm	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	negative	AFB1
Sample 10	Homo sapiens	Lymphatic system	2	Loukes	B Lymphocyte	Burkitt Lymphoma Cancer	Run 10	proteomic profiling by mass spectrometry	NT=Arg-C; AC=MS:1001303	231030_AFB1_48h_2.zip	1	50 ppm	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	NT=Propionyl;AC=UNIMOD:58;MT=fixed;TA=K,N-term	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=N,Q	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=K	NT=Butyryl;AC=UNIMOD:1289;MT=variable;TA=K	NT=Dimethyl;AC=UNIMOD:36;MT=variable;TA=K,R	NT=Succinyl;AC=UNIMOD:64;MT=variable;TA=K	NT=Trimethyl;AC=UNIMOD:37;MT=variable;TA=K	NT=Methyl;AC=UNIMOD:34;MT=variable;TA=K,R	NT=Crotonyl;AC=UNIMOD:1363;MT=variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=variable;TA=S,T	10 ppm	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	negative	AFB1
