source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[disease]	characteristics[cell type]	characteristics[developmental stage]	assay name	technology type	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[data file]	comment[instrument]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	factor value[proportion]	factor value[compartment]	factor value[treatment]	factor value[sample name]
sample 1	mus musculus	not available	1	not available	C2C12 cell line	not available	Run 1	proteomic profiling by mass spectrometry	1	1	label free	1_Luc_r1_Cyto_DIA_reinj_Slot2-37_1_4249.d.zip	timsTOF	NT=Trypsin; AC=MS:1001251; CS=(?⇐[KR])(?!P)	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	1	Cyto	siLuc	1_Luc_r1_Cyto
sample 2	mus musculus	not available	1	not available	C2C12 cell line	not available	Run 2	proteomic profiling by mass spectrometry	1	1	label free	10_E3_r2_Nuc_DIA_Slot2-46_1_4233.d.zip	timsTOF	NT=Trypsin; AC=MS:1001251; CS=(?⇐[KR])(?!P)	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	1	Nuc	siE3	10_E3_r2_Nuc
sample 3	mus musculus	not available	1	not available	C2C12 cell line	not available	Run 3	proteomic profiling by mass spectrometry	1	1	label free	11_E3_r3_Cyto_DIA_Slot2-42_1_4224.d.zip	timsTOF	NT=Trypsin; AC=MS:1001251; CS=(?⇐[KR])(?!P)	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	1	Cyto	siE3	11_E3_r3_Cyto
sample 4	mus musculus	not available	1	not available	C2C12 cell line	not available	Run 4	proteomic profiling by mass spectrometry	1	1	label free	3_Luc_r2_Cyto_DIA_Slot2-39_1_4217.d.zip	timsTOF	NT=Trypsin; AC=MS:1001251; CS=(?⇐[KR])(?!P)	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	1	Cyto	siLuc	3_Luc_r2_Cyto
sample 5	mus musculus	not available	1	not available	C2C12 cell line	not available	Run 5	proteomic profiling by mass spectrometry	1	1	label free	5_Luc_r3_Cyto_DIA_Slot2-41_1_4222.d.zip	timsTOF	NT=Trypsin; AC=MS:1001251; CS=(?⇐[KR])(?!P)	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	1	Cyto	siLuc	5_Luc_r3_Cyto
sample 6	mus musculus	not available	1	not available	C2C12 cell line	not available	Run 6	proteomic profiling by mass spectrometry	1	1	label free	7_E3_r1_Cyto_DIA_Slot2-38_1_4215.d.zip	timsTOF	NT=Trypsin; AC=MS:1001251; CS=(?⇐[KR])(?!P)	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	1	Cyto	siE3	7_E3_r1_Cyto
sample 7	mus musculus	not available	1	not available	C2C12 cell line	not available	Run 7	proteomic profiling by mass spectrometry	1	1	label free	9_E3_r2_Cyto_DIA_Slot2-40_1_4220.d.zip	timsTOF	NT=Trypsin; AC=MS:1001251; CS=(?⇐[KR])(?!P)	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	1	Cyto	siE3	9_E3_r2_Cyto
sample 8	mus musculus	not available	1	not available	C2C12 cell line	not available	Run 8	proteomic profiling by mass spectrometry	1	1	label free	12_E3_r3_Nuc_DIA_Slot2-48_1_4237.d.zip	timsTOF	NT=Trypsin; AC=MS:1001251; CS=(?⇐[KR])(?!P)	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	1	Nuc	siE3	12_E3_r3_Nuc
sample 9	mus musculus	not available	1	not available	C2C12 cell line	not available	Run 9	proteomic profiling by mass spectrometry	1	1	label free	2_Luc_r1_Nuc_DIA_Slot2-43_1_4227.d.zip	timsTOF	NT=Trypsin; AC=MS:1001251; CS=(?⇐[KR])(?!P)	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	1	Nuc	siLuc	2_Luc_r1_Nuc
sample 10	mus musculus	not available	1	not available	C2C12 cell line	not available	Run 10	proteomic profiling by mass spectrometry	1	1	label free	4_Luc_r2_Nuc_DIA_Slot2-45_1_4231.d.zip	timsTOF	NT=Trypsin; AC=MS:1001251; CS=(?⇐[KR])(?!P)	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	1	Nuc	siLuc	4_Luc_r2_Nuc
