source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[disease]	characteristics[cell type]	characteristics[developmental stage]	assay name	technology type	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[data file]	comment[instrument]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	factor value[treatment]	factor value[sample name]
sample 1	mus musculus	not available	5	not available	C2C12	not available	Run 1	proteomic profiling by mass spectrometry	1	1	label free	S6_E3_r8_whole_Slot2-33_1_5257.d.zip	timsTOF	NT=Trypsin; AC=MS:1001251; CS=(?⇐[KR])(?!P)	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	siE3	S6_E3_r8
sample 2	mus musculus	not available	1	not available	C2C12	not available	Run 2	proteomic profiling by mass spectrometry	1	1	label free	13_Luc_r4_Whole_DIA_Slot2-49_1_4240.d.zip	timsTOF	NT=Trypsin; AC=MS:1001251; CS=(?⇐[KR])(?!P)	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	siLuc	S13_Luc_r4
sample 3	mus musculus	not available	2	not available	C2C12	not available	Run 3	proteomic profiling by mass spectrometry	1	1	label free	14_Luc_r5_Whole_DIA_Slot2-51_1_4244.d.zip	timsTOF	NT=Trypsin; AC=MS:1001251; CS=(?⇐[KR])(?!P)	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	siLuc	S14_Luc_r5
sample 4	mus musculus	not available	2	not available	C2C12	not available	Run 4	proteomic profiling by mass spectrometry	1	1	label free	16_E3_r5_Whole_DIA_Slot2-52_1_4246.d.zip	timsTOF	NT=Trypsin; AC=MS:1001251; CS=(?⇐[KR])(?!P)	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	siE3	S16_E3_r5
sample 5	mus musculus	not available	3	not available	C2C12	not available	Run 5	proteomic profiling by mass spectrometry	1	1	label free	S1_Luc_r6_whole_Slot2-28_1_5246.d.zip	timsTOF	NT=Trypsin; AC=MS:1001251; CS=(?⇐[KR])(?!P)	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	siLuc	S1_Luc_r6
sample 6	mus musculus	not available	3	not available	C2C12	not available	Run 6	proteomic profiling by mass spectrometry	1	1	label free	S2_E3_r6_whole_Slot2-29_1_5248.d.zip	timsTOF	NT=Trypsin; AC=MS:1001251; CS=(?⇐[KR])(?!P)	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	siE3	S2_E3_r6
sample 7	mus musculus	not available	4	not available	C2C12	not available	Run 7	proteomic profiling by mass spectrometry	1	1	label free	S3_Luc_r7_whole_Slot2-30_1_5250.d.zip	timsTOF	NT=Trypsin; AC=MS:1001251; CS=(?⇐[KR])(?!P)	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	siLuc	S3_Luc_r7
sample 8	mus musculus	not available	4	not available	C2C12	not available	Run 8	proteomic profiling by mass spectrometry	1	1	label free	S4_E3_r7_whole_Slot2-31_1_5252.d.zip	timsTOF	NT=Trypsin; AC=MS:1001251; CS=(?⇐[KR])(?!P)	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	siE3	S4_E3_r7
sample 9	mus musculus	not available	5	not available	C2C12	not available	Run 9	proteomic profiling by mass spectrometry	1	1	label free	S5_Luc_r8_whole_Slot2-32_1_5254.d.zip	timsTOF	NT=Trypsin; AC=MS:1001251; CS=(?⇐[KR])(?!P)	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	siLuc	S5_Luc_r8
sample 10	mus musculus	not available	1	not available	C2C12	not available	Run 10	proteomic profiling by mass spectrometry	1	1	label free	15_E3_r4_Whole_DIA_Slot2-50_1_4242.d.zip	timsTOF	NT=Trypsin; AC=MS:1001251; CS=(?⇐[KR])(?!P)	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	siE3	S15_E3_r4
