source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[cell type]	characteristics[developmental stage]	assay name	technology type	comment[data file]	comment[sample group]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[maxquant parameters]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]
Neg_S01	Mus musculus	not available	unknown	1	embryonic stem cell	not available	run1	proteomic profiling by mass spectrometry	L3_250303_DH_4591_Neg_S01.raw	Neg	1	1	NT=label free sample	NT=Trypsin/P;CS=(?<=[KR])	NT=Orbitrap Fusion Lumos; AC=MS:1002732	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	mqpar_4591.xml	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0
Neg_S02	Mus musculus	not available	unknown	2	embryonic stem cell	not available	run2	proteomic profiling by mass spectrometry	L3_250303_DH_4591_Neg_S02.raw	Neg	1	1	NT=label free sample	NT=Trypsin/P;CS=(?<=[KR])	NT=Orbitrap Fusion Lumos; AC=MS:1002732	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	mqpar_4591.xml	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0
Neg_S03	Mus musculus	not available	unknown	3	embryonic stem cell	not available	run3	proteomic profiling by mass spectrometry	L3_250303_DH_4591_Neg_S03.raw	Neg	1	1	NT=label free sample	NT=Trypsin/P;CS=(?<=[KR])	NT=Orbitrap Fusion Lumos; AC=MS:1002732	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	mqpar_4591.xml	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0
Unfused_S04	Mus musculus	not available	unknown	1	embryonic stem cell	not available	run4	proteomic profiling by mass spectrometry	L3_250303_DH_4591_Unfused_S04.raw	Unfused	1	1	NT=label free sample	NT=Trypsin/P;CS=(?<=[KR])	NT=Orbitrap Fusion Lumos; AC=MS:1002732	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	mqpar_4591.xml	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0
Unfused_S05	Mus musculus	not available	unknown	2	embryonic stem cell	not available	run5	proteomic profiling by mass spectrometry	L3_250303_DH_4591_Unfused_S05.raw	Unfused	1	1	NT=label free sample	NT=Trypsin/P;CS=(?<=[KR])	NT=Orbitrap Fusion Lumos; AC=MS:1002732	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	mqpar_4591.xml	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0
Unfused_S06	Mus musculus	not available	unknown	3	embryonic stem cell	not available	run6	proteomic profiling by mass spectrometry	L3_250303_DH_4591_Unfused_S06.raw	Unfused	1	1	NT=label free sample	NT=Trypsin/P;CS=(?<=[KR])	NT=Orbitrap Fusion Lumos; AC=MS:1002732	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	mqpar_4591.xml	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0
WTWT_S07	Mus musculus	not available	unknown	1	embryonic stem cell	not available	run7	proteomic profiling by mass spectrometry	L3_250303_DH_4591_WTWT_S07.raw	WBdN	1	1	NT=label free sample	NT=Trypsin/P;CS=(?<=[KR])	NT=Orbitrap Fusion Lumos; AC=MS:1002732	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	mqpar_4591.xml	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0
WTWT_S08	Mus musculus	not available	unknown	2	embryonic stem cell	not available	run8	proteomic profiling by mass spectrometry	L3_250303_DH_4591_WTWT_S08.raw	WBdN	1	1	NT=label free sample	NT=Trypsin/P;CS=(?<=[KR])	NT=Orbitrap Fusion Lumos; AC=MS:1002732	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	mqpar_4591.xml	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0
WTWT_S09	Mus musculus	not available	unknown	3	embryonic stem cell	not available	run9	proteomic profiling by mass spectrometry	L3_250303_DH_4591_WTWT_S09.raw	WBdN	1	1	NT=label free sample	NT=Trypsin/P;CS=(?<=[KR])	NT=Orbitrap Fusion Lumos; AC=MS:1002732	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	mqpar_4591.xml	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0
WTdN_S10	Mus musculus	not available	unknown	1	embryonic stem cell	not available	run10	proteomic profiling by mass spectrometry	L3_250303_DH_4591_WTdN_S10.raw	WBWT	1	1	NT=label free sample	NT=Trypsin/P;CS=(?<=[KR])	NT=Orbitrap Fusion Lumos; AC=MS:1002732	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	mqpar_4591.xml	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0
WTdN_S11	Mus musculus	not available	unknown	2	embryonic stem cell	not available	run11	proteomic profiling by mass spectrometry	L3_250303_DH_4591_WTdN_S11.raw	WBWT	1	1	NT=label free sample	NT=Trypsin/P;CS=(?<=[KR])	NT=Orbitrap Fusion Lumos; AC=MS:1002732	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	mqpar_4591.xml	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0
WTdN_S12	Mus musculus	not available	unknown	3	embryonic stem cell	not available	run12	proteomic profiling by mass spectrometry	L3_250303_DH_4591_WTdN_S12.raw	WBWT	1	1	NT=label free sample	NT=Trypsin/P;CS=(?<=[KR])	NT=Orbitrap Fusion Lumos; AC=MS:1002732	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	mqpar_4591.xml	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0
WBWT_S13	Mus musculus	not available	unknown	1	embryonic stem cell	not available	run13	proteomic profiling by mass spectrometry	L3_250303_DH_4591_WBWT_S13.raw	WTdN	1	1	NT=label free sample	NT=Trypsin/P;CS=(?<=[KR])	NT=Orbitrap Fusion Lumos; AC=MS:1002732	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	mqpar_4591.xml	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0
WBWT_S14	Mus musculus	not available	unknown	2	embryonic stem cell	not available	run14	proteomic profiling by mass spectrometry	L3_250303_DH_4591_WBWT_S14.raw	WTdN	1	1	NT=label free sample	NT=Trypsin/P;CS=(?<=[KR])	NT=Orbitrap Fusion Lumos; AC=MS:1002732	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	mqpar_4591.xml	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0
WBWT_S15	Mus musculus	not available	unknown	3	embryonic stem cell	not available	run15	proteomic profiling by mass spectrometry	L3_250303_DH_4591_WBWT_S15.raw	WTdN	1	1	NT=label free sample	NT=Trypsin/P;CS=(?<=[KR])	NT=Orbitrap Fusion Lumos; AC=MS:1002732	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	mqpar_4591.xml	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0
