source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[cell type]	characteristics[developmental stage]	assay name	technology type	comment[data file]	comment[sample group]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[maxquant parameters]	comment[maxquant proteingroups.txt]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]
Ctrl2_S01	Mus musculus	not available	unknown	1	embryonic stem cell	not available	run1	proteomic profiling by mass spectrometry	L2_220615_DH_3195_Ctrl2_S04.raw	Ctrl2	1	1	NT=label free sample	NT=Trypsin/P;CS=(?<=[KR])	NT=Orbitrap Fusion Lumos; AC=MS:1002732	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	mqpar_3195_250522.xml	proteinGroups_3195_250522.txt	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0
Ctrl2_S02	Mus musculus	not available	unknown	2	embryonic stem cell	not available	run2	proteomic profiling by mass spectrometry	L2_220615_DH_3195_Ctrl2_S05.raw	Ctrl2	1	1	NT=label free sample	NT=Trypsin/P;CS=(?<=[KR])	NT=Orbitrap Fusion Lumos; AC=MS:1002732	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	mqpar_3195_250522.xml	proteinGroups_3195_250522.txt	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0
Ctrl2_S03	Mus musculus	not available	unknown	3	embryonic stem cell	not available	run3	proteomic profiling by mass spectrometry	L2_220615_DH_3195_Ctrl2_S06.raw	Ctrl2	1	1	NT=label free sample	NT=Trypsin/P;CS=(?<=[KR])	NT=Orbitrap Fusion Lumos; AC=MS:1002732	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	mqpar_3195_250522.xml	proteinGroups_3195_250522.txt	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0
Gtf3c1_S10	Mus musculus	not available	unknown	1	embryonic stem cell	not available	run4	proteomic profiling by mass spectrometry	L2_220615_DH_3195_Gtf3c1_S10.raw	Gtf3c1	1	1	NT=label free sample	NT=Trypsin/P;CS=(?<=[KR])	NT=Orbitrap Fusion Lumos; AC=MS:1002732	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	mqpar_3195_250522.xml	proteinGroups_3195_250522.txt	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0
Gtf3c1_S11	Mus musculus	not available	unknown	2	embryonic stem cell	not available	run5	proteomic profiling by mass spectrometry	L2_220615_DH_3195_Gtf3c1_S11.raw	Gtf3c1	1	1	NT=label free sample	NT=Trypsin/P;CS=(?<=[KR])	NT=Orbitrap Fusion Lumos; AC=MS:1002732	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	mqpar_3195_250522.xml	proteinGroups_3195_250522.txt	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0
Gtf3c1_S12	Mus musculus	not available	unknown	3	embryonic stem cell	not available	run6	proteomic profiling by mass spectrometry	L2_220615_DH_3195_Gtf3c1_S12.raw	Gtf3c1	1	1	NT=label free sample	NT=Trypsin/P;CS=(?<=[KR])	NT=Orbitrap Fusion Lumos; AC=MS:1002732	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	mqpar_3195_250522.xml	proteinGroups_3195_250522.txt	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0
RBCn_S01	Mus musculus	not available	unknown	1	embryonic stem cell	not available	run7	proteomic profiling by mass spectrometry	L3_240201_DH_4461_RBCn_S01.raw	RBCn	1	1	NT=label free sample	NT=Trypsin/P;CS=(?<=[KR])	NT=Orbitrap Fusion Lumos; AC=MS:1002732	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	mqpar_4461_250522.xml	proteinGroups_4461_250522.txt	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0
RBCn_S02	Mus musculus	not available	unknown	2	embryonic stem cell	not available	run8	proteomic profiling by mass spectrometry	L3_240201_DH_4461_RBCn_S02.raw	RBCn	1	1	NT=label free sample	NT=Trypsin/P;CS=(?<=[KR])	NT=Orbitrap Fusion Lumos; AC=MS:1002732	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	mqpar_4461_250522.xml	proteinGroups_4461_250522.txt	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0
RBCn_S03	Mus musculus	not available	unknown	3	embryonic stem cell	not available	run9	proteomic profiling by mass spectrometry	L3_240201_DH_4461_RBCn_S03.raw	RBCn	1	1	NT=label free sample	NT=Trypsin/P;CS=(?<=[KR])	NT=Orbitrap Fusion Lumos; AC=MS:1002732	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	mqpar_4461_250522.xml	proteinGroups_4461_250522.txt	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0
ADNP_FLAG_S04	Mus musculus	not available	unknown	1	embryonic stem cell	not available	run10	proteomic profiling by mass spectrometry	L3_240201_DH_4461_ADNP_FLAG_S04.raw	ADNP_FLAG	1	1	NT=label free sample	NT=Trypsin/P;CS=(?<=[KR])	NT=Orbitrap Fusion Lumos; AC=MS:1002732	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	mqpar_4461_250522.xml	proteinGroups_4461_250522.txt	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0
ADNP_FLAG_S05	Mus musculus	not available	unknown	2	embryonic stem cell	not available	run11	proteomic profiling by mass spectrometry	L3_240201_DH_4461_ADNP_FLAG_S05.raw	ADNP_FLAG	1	1	NT=label free sample	NT=Trypsin/P;CS=(?<=[KR])	NT=Orbitrap Fusion Lumos; AC=MS:1002732	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	mqpar_4461_250522.xml	proteinGroups_4461_250522.txt	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0
ADNP_FLAG_S06	Mus musculus	not available	unknown	3	embryonic stem cell	not available	run12	proteomic profiling by mass spectrometry	L3_240201_DH_4461_ADNP_FLAG_S06.raw	ADNP_FLAG	1	1	NT=label free sample	NT=Trypsin/P;CS=(?<=[KR])	NT=Orbitrap Fusion Lumos; AC=MS:1002732	NT=Carbamidomethyl;MT=Fixed;PP=Anywhere;TA=C;MM=57.02146	NT=Oxidation;MT=Variable;PP=Anywhere;TA=M;MM=15.99490	NT=Acetyl;MT=Variable;PP=Protein N-term;MM=42.01060	mqpar_4461_250522.xml	proteinGroups_4461_250522.txt	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0
