source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[developmental stage]	characteristics[disease]	characteristics[ancestry category]	characteristics[sex]	characteristics[age]	characteristics[biological replicate]	material type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]
8arm DMAP, 4, Sample,10	Mus musculus	skin	not applicable	not applicable	adult	none	not available	not available	not available	1	tissue	run 1	proteomic profiling by mass spectrometry	20210909_HB_Woundhealing_10BL.raw	20210909_HB_Woundhealing_10BL.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	Orbitrap Exploris 480	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0
4arm DMAP, 4, Sample,10	Mus musculus	skin	not applicable	not applicable	adult	none	not available	not available	not available	2	tissue	run 2	proteomic profiling by mass spectrometry	20210909_HB_Woundhealing_10BR.raw	20210909_HB_Woundhealing_10BR.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	Orbitrap Exploris 480	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0
Wound Control, 4, Sample,10	Mus musculus	skin	not applicable	not applicable	adult	none	not available	not available	not available	1	tissue	run 3	proteomic profiling by mass spectrometry	20210909_HB_Woundhealing_10TL.raw	20210909_HB_Woundhealing_10TL.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	Orbitrap Exploris 480	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0
4arm LMAP, 4, Sample,10	Mus musculus	skin	not applicable	not applicable	adult	none	not available	not available	not available	2	tissue	run 4	proteomic profiling by mass spectrometry	20210909_HB_Woundhealing_10TR.raw	20210909_HB_Woundhealing_10TR.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	Orbitrap Exploris 480	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0
4arm DMAP, 4, Sample,1	Mus musculus	skin	not applicable	not applicable	adult	none	not available	not available	not available	1	tissue	run 5	proteomic profiling by mass spectrometry	20210909_HB_Woundhealing_1BL.raw	20210909_HB_Woundhealing_1BL.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	Orbitrap Exploris 480	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0
4arm LMAP, 21, Sample,2	Mus musculus	skin	not applicable	not applicable	adult	none	not available	not available	not available	1	tissue	run 11	proteomic profiling by mass spectrometry	20210909_HB_Woundhealing_2BL.raw	20210909_HB_Woundhealing_2BL.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	Orbitrap Exploris 480	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0
8arm DMAP, 21, Sample,2	Mus musculus	skin	not applicable	not applicable	adult	none	not available	not available	not available	2	tissue	run 12	proteomic profiling by mass spectrometry	20210909_HB_Woundhealing_2BR.raw	20210909_HB_Woundhealing_2BR.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	Orbitrap Exploris 480	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0
Wound Control, 21, Sample,2	Mus musculus	skin	not applicable	not applicable	adult	none	not available	not available	not available	1	tissue	run 13	proteomic profiling by mass spectrometry	20210909_HB_Woundhealing_2TL.raw	20210909_HB_Woundhealing_2TL.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	Orbitrap Exploris 480	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0
4arm DMAP, 21, Sample,2	Mus musculus	skin	not applicable	not applicable	adult	none	not available	not available	not available	2	tissue	run 14	proteomic profiling by mass spectrometry	20210909_HB_Woundhealing_2TR.raw	20210909_HB_Woundhealing_2TR.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	Orbitrap Exploris 480	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0
Wound Control, 14, Sample,3	Mus musculus	skin	not applicable	not applicable	adult	none	not available	not available	not available	1	tissue	run 15	proteomic profiling by mass spectrometry	20210909_HB_Woundhealing_3BL.raw	20210909_HB_Woundhealing_3BL.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	Orbitrap Exploris 480	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0
