source name	characteristics[short name]	characteristics[sample frequency]	characteristics[date]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[data file]	comment[label]	comment[technical replicate]	comment[fraction identifier]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]	factor value[sample frequency]
12D29Mar-1	12D29Mar-1	12 days	29-Mar	Solanum lycopersicum	culture medium	culture medium	not applicableÕ	1	run F428317	proteomic profiling by mass spectrometry	F428317.raw	NT=label free sample	1	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Beta-methylthiolation;MT=Variable;TA=C;AC=UNIMOD:37	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	12 days
12D29Mar-2	12D29Mar-2	12 days	29-Mar	Solanum lycopersicum	culture medium	culture medium	not applicableÕ	2	run F428318	proteomic profiling by mass spectrometry	F428318.raw	NT=label free sample	1	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Beta-methylthiolation;MT=Variable;TA=C;AC=UNIMOD:37	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	12 days
12D29Mar-3	12D29Mar-3	12 days	29-Mar	Solanum lycopersicum	culture medium	culture medium	not applicableÕ	3	run F428319	proteomic profiling by mass spectrometry	F428319.raw	NT=label free sample	1	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Beta-methylthiolation;MT=Variable;TA=C;AC=UNIMOD:37	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	12 days
12D2Apr-1	12D2Apr-1	12 days	2-Apr	Solanum lycopersicum	culture medium	culture medium	not applicableÕ	1	run F428314	proteomic profiling by mass spectrometry	F428314.raw	NT=label free sample	1	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Beta-methylthiolation;MT=Variable;TA=C;AC=UNIMOD:37	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	12 days
12D2Apr-2	12D2Apr-2	12 days	2-Apr	Solanum lycopersicum	culture medium	culture medium	not applicableÕ	2	run F428315	proteomic profiling by mass spectrometry	F428315.raw	NT=label free sample	1	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Beta-methylthiolation;MT=Variable;TA=C;AC=UNIMOD:37	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	12 days
12D2Apr-3	12D2Apr-3	12 days	2-Apr	Solanum lycopersicum	culture medium	culture medium	not applicableÕ	3	run F428316	proteomic profiling by mass spectrometry	F428316.raw	NT=label free sample	1	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Beta-methylthiolation;MT=Variable;TA=C;AC=UNIMOD:37	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	12 days
12T-1	12T-1	12 days	29-Mar	Solanum lycopersicum	cultured cells	cultured cells	not applicableÕ	1	run F428193	proteomic profiling by mass spectrometry	F428193.raw	NT=label free sample	1	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Beta-methylthiolation;MT=Variable;TA=C;AC=UNIMOD:37	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	12 days
12T-2	12T-2	12 days	29-Mar	Solanum lycopersicum	cultured cells	cultured cells	not applicableÕ	2	run F428194	proteomic profiling by mass spectrometry	F428194.raw	NT=label free sample	1	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Beta-methylthiolation;MT=Variable;TA=C;AC=UNIMOD:37	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	12 days
12T-3	12T-3	12 days	29-Mar	Solanum lycopersicum	cultured cells	cultured cells	not applicableÕ	3	run F428195	proteomic profiling by mass spectrometry	F428195.raw	NT=label free sample	1	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Beta-methylthiolation;MT=Variable;TA=C;AC=UNIMOD:37	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	12 days
3D12Apr-1	3D12Apr-1	3 days	12-Apr	Solanum lycopersicum	culture medium	culture medium	not applicableÕ	1	run F428282	proteomic profiling by mass spectrometry	F428282.raw	NT=label free sample	1	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Beta-methylthiolation;MT=Variable;TA=C;AC=UNIMOD:37	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	3 days
3D12Apr-2	3D12Apr-2	3 days	12-Apr	Solanum lycopersicum	culture medium	culture medium	not applicableÕ	2	run F428283	proteomic profiling by mass spectrometry	F428283.raw	NT=label free sample	1	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Beta-methylthiolation;MT=Variable;TA=C;AC=UNIMOD:37	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	3 days
3D12Apr-3	3D12Apr-3	3 days	12-Apr	Solanum lycopersicum	culture medium	culture medium	not applicableÕ	3	run F428284	proteomic profiling by mass spectrometry	F428284.raw	NT=label free sample	1	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Beta-methylthiolation;MT=Variable;TA=C;AC=UNIMOD:37	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	3 days
