source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[biological replicate]	characteristics[disease]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]	factor value[cell type]	factor value[treatment]
AC16_Tre_rep1	Homo sapiens	heart	AC16	1	Chagas disease	cardiomyocyte	not available	not available	not available	Assay_rep1_AC16_Tre_frac1	LC-MS/MS	1	Elute-1-1.raw	1	TMT127	Orbitrap Exploris 240	trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	AC16	treated
AC16_UnT_rep1	Homo sapiens	heart	AC16	1	Chagas disease	cardiomyocyte	not available	not available	not available	Assay_rep1_AC16_UnT_frac1	LC-MS/MS	1	Elute-1-1.raw	1	TMT126	Orbitrap Exploris 240	trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	AC16	untreated
ICA_Tre_rep1	Homo sapiens	heart	ICA	1	Chagas disease	cardiomyocyte	not available	not available	not available	Assay_rep1_ICA_Tre_frac1	LC-MS/MS	1	Elute-1-1.raw	1	TMT131	Orbitrap Exploris 240	trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	ICA	treated
ICA_UnT_rep1	Homo sapiens	heart	ICA	1	Chagas disease	cardiomyocyte	not available	not available	not available	Assay_rep1_ICA_UnT_frac1	LC-MS/MS	1	Elute-1-1.raw	1	TMT130	Orbitrap Exploris 240	trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	ICA	untreated
Trp_Tre_rep1	Trypanosoma cruzi	trypomastigote	not applicable	1	Chagas disease	trypomastigote	not available	not available	not available	Assay_rep1_Trp_Tre_frac1	LC-MS/MS	1	Elute-1-1.raw	1	TMT129	Orbitrap Exploris 240	trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	trypomastigote	treated
Trp_UnT_rep1	Trypanosoma cruzi	trypomastigote	not applicable	1	Chagas disease	trypomastigote	not available	not available	not available	Assay_rep1_Trp_UnT_frac1	LC-MS/MS	1	Elute-1-1.raw	1	TMT128	Orbitrap Exploris 240	trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	trypomastigote	untreated
AC16_Tre_rep2	Homo sapiens	heart	AC16	2	Chagas disease	cardiomyocyte	not available	not available	not available	Assay_rep2_AC16_Tre_frac1	LC-MS/MS	1	Elute-1-2.raw	1	TMT127	Orbitrap Exploris 240	trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	AC16	treated
AC16_UnT_rep2	Homo sapiens	heart	AC16	2	Chagas disease	cardiomyocyte	not available	not available	not available	Assay_rep2_AC16_UnT_frac1	LC-MS/MS	1	Elute-1-2.raw	1	TMT126	Orbitrap Exploris 240	trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	AC16	untreated
ICA_Tre_rep2	Homo sapiens	heart	ICA	2	Chagas disease	cardiomyocyte	not available	not available	not available	Assay_rep2_ICA_Tre_frac1	LC-MS/MS	1	Elute-1-2.raw	1	TMT131	Orbitrap Exploris 240	trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	ICA	treated
ICA_UnT_rep2	Homo sapiens	heart	ICA	2	Chagas disease	cardiomyocyte	not available	not available	not available	Assay_rep2_ICA_UnT_frac1	LC-MS/MS	1	Elute-1-2.raw	1	TMT130	Orbitrap Exploris 240	trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	ICA	untreated
Trp_Tre_rep2	Trypanosoma cruzi	trypomastigote	not applicable	2	Chagas disease	trypomastigote	not available	not available	not available	Assay_rep2_Trp_Tre_frac1	LC-MS/MS	1	Elute-1-2.raw	1	TMT129	Orbitrap Exploris 240	trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	trypomastigote	treated
Trp_UnT_rep2	Trypanosoma cruzi	trypomastigote	not applicable	2	Chagas disease	trypomastigote	not available	not available	not available	Assay_rep2_Trp_UnT_frac1	LC-MS/MS	1	Elute-1-2.raw	1	TMT128	Orbitrap Exploris 240	trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	trypomastigote	untreated
AC16_Tre_rep3	Homo sapiens	heart	AC16	3	Chagas disease	cardiomyocyte	not available	not available	not available	Assay_rep3_AC16_Tre_frac1	LC-MS/MS	1	Elute-1-3.raw	1	TMT127	Orbitrap Exploris 240	trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	AC16	treated
AC16_UnT_rep3	Homo sapiens	heart	AC16	3	Chagas disease	cardiomyocyte	not available	not available	not available	Assay_rep3_AC16_UnT_frac1	LC-MS/MS	1	Elute-1-3.raw	1	TMT126	Orbitrap Exploris 240	trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	AC16	untreated
ICA_Tre_rep3	Homo sapiens	heart	ICA	3	Chagas disease	cardiomyocyte	not available	not available	not available	Assay_rep3_ICA_Tre_frac1	LC-MS/MS	1	Elute-1-3.raw	1	TMT131	Orbitrap Exploris 240	trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	ICA	treated
ICA_UnT_rep3	Homo sapiens	heart	ICA	3	Chagas disease	cardiomyocyte	not available	not available	not available	Assay_rep3_ICA_UnT_frac1	LC-MS/MS	1	Elute-1-3.raw	1	TMT130	Orbitrap Exploris 240	trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	ICA	untreated
Trp_Tre_rep3	Trypanosoma cruzi	trypomastigote	not applicable	3	Chagas disease	trypomastigote	not available	not available	not available	Assay_rep3_Trp_Tre_frac1	LC-MS/MS	1	Elute-1-3.raw	1	TMT129	Orbitrap Exploris 240	trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	trypomastigote	treated
Trp_UnT_rep3	Trypanosoma cruzi	trypomastigote	not applicable	3	Chagas disease	trypomastigote	not available	not available	not available	Assay_rep3_Trp_UnT_frac1	LC-MS/MS	1	Elute-1-3.raw	1	TMT128	Orbitrap Exploris 240	trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	trypomastigote	untreated
AC16_Tre_rep1	Homo sapiens	heart	AC16	1	Chagas disease	cardiomyocyte	not available	not available	not available	Assay_rep1_AC16_Tre_frac2	LC-MS/MS	1	Elute-2-1.raw	2	TMT127	Orbitrap Exploris 240	trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	AC16	treated
AC16_UnT_rep1	Homo sapiens	heart	AC16	1	Chagas disease	cardiomyocyte	not available	not available	not available	Assay_rep1_AC16_UnT_frac2	LC-MS/MS	1	Elute-2-1.raw	2	TMT126	Orbitrap Exploris 240	trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	AC16	untreated
ICA_Tre_rep1	Homo sapiens	heart	ICA	1	Chagas disease	cardiomyocyte	not available	not available	not available	Assay_rep1_ICA_Tre_frac2	LC-MS/MS	1	Elute-2-1.raw	2	TMT131	Orbitrap Exploris 240	trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	ICA	treated
ICA_UnT_rep1	Homo sapiens	heart	ICA	1	Chagas disease	cardiomyocyte	not available	not available	not available	Assay_rep1_ICA_UnT_frac2	LC-MS/MS	1	Elute-2-1.raw	2	TMT130	Orbitrap Exploris 240	trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	ICA	untreated
Trp_Tre_rep1	Trypanosoma cruzi	trypomastigote	not applicable	1	Chagas disease	trypomastigote	not available	not available	not available	Assay_rep1_Trp_Tre_frac2	LC-MS/MS	1	Elute-2-1.raw	2	TMT129	Orbitrap Exploris 240	trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	trypomastigote	treated
Trp_UnT_rep1	Trypanosoma cruzi	trypomastigote	not applicable	1	Chagas disease	trypomastigote	not available	not available	not available	Assay_rep1_Trp_UnT_frac2	LC-MS/MS	1	Elute-2-1.raw	2	TMT128	Orbitrap Exploris 240	trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	trypomastigote	untreated
AC16_Tre_rep2	Homo sapiens	heart	AC16	2	Chagas disease	cardiomyocyte	not available	not available	not available	Assay_rep2_AC16_Tre_frac2	LC-MS/MS	1	Elute-2-2.raw	2	TMT127	Orbitrap Exploris 240	trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	AC16	treated
AC16_UnT_rep2	Homo sapiens	heart	AC16	2	Chagas disease	cardiomyocyte	not available	not available	not available	Assay_rep2_AC16_UnT_frac2	LC-MS/MS	1	Elute-2-2.raw	2	TMT126	Orbitrap Exploris 240	trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	AC16	untreated
ICA_Tre_rep2	Homo sapiens	heart	ICA	2	Chagas disease	cardiomyocyte	not available	not available	not available	Assay_rep2_ICA_Tre_frac2	LC-MS/MS	1	Elute-2-2.raw	2	TMT131	Orbitrap Exploris 240	trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	ICA	treated
ICA_UnT_rep2	Homo sapiens	heart	ICA	2	Chagas disease	cardiomyocyte	not available	not available	not available	Assay_rep2_ICA_UnT_frac2	LC-MS/MS	1	Elute-2-2.raw	2	TMT130	Orbitrap Exploris 240	trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	ICA	untreated
Trp_Tre_rep2	Trypanosoma cruzi	trypomastigote	not applicable	2	Chagas disease	trypomastigote	not available	not available	not available	Assay_rep2_Trp_Tre_frac2	LC-MS/MS	1	Elute-2-2.raw	2	TMT129	Orbitrap Exploris 240	trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	trypomastigote	treated
Trp_UnT_rep2	Trypanosoma cruzi	trypomastigote	not applicable	2	Chagas disease	trypomastigote	not available	not available	not available	Assay_rep2_Trp_UnT_frac2	LC-MS/MS	1	Elute-2-2.raw	2	TMT128	Orbitrap Exploris 240	trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	trypomastigote	untreated
AC16_Tre_rep3	Homo sapiens	heart	AC16	3	Chagas disease	cardiomyocyte	not available	not available	not available	Assay_rep3_AC16_Tre_frac2	LC-MS/MS	1	Elute-2-3.raw	2	TMT127	Orbitrap Exploris 240	trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	AC16	treated
AC16_UnT_rep3	Homo sapiens	heart	AC16	3	Chagas disease	cardiomyocyte	not available	not available	not available	Assay_rep3_AC16_UnT_frac2	LC-MS/MS	1	Elute-2-3.raw	2	TMT126	Orbitrap Exploris 240	trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	AC16	untreated
ICA_Tre_rep3	Homo sapiens	heart	ICA	3	Chagas disease	cardiomyocyte	not available	not available	not available	Assay_rep3_ICA_Tre_frac2	LC-MS/MS	1	Elute-2-3.raw	2	TMT131	Orbitrap Exploris 240	trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	ICA	treated
ICA_UnT_rep3	Homo sapiens	heart	ICA	3	Chagas disease	cardiomyocyte	not available	not available	not available	Assay_rep3_ICA_UnT_frac2	LC-MS/MS	1	Elute-2-3.raw	2	TMT130	Orbitrap Exploris 240	trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	ICA	untreated
Trp_Tre_rep3	Trypanosoma cruzi	trypomastigote	not applicable	3	Chagas disease	trypomastigote	not available	not available	not available	Assay_rep3_Trp_Tre_frac2	LC-MS/MS	1	Elute-2-3.raw	2	TMT129	Orbitrap Exploris 240	trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	trypomastigote	treated
