source name	characteristics[biological replicate]	characteristics[cell type]	characteristics[organism part]	characteristics[disease]	characteristics[sample type]	characteristics[organism]	characteristics[organism]	characteristics[organism]	assay name	technology type	comment[fraction identifier]	comment[cleavage agent details]	comment[data file]	comment[fragment mass tolerance]	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[technical replicate]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]
SB_B_01	1	not applicable	not applicable	not applicable	cell pellet	Microbacterium ginsengisoli	Pseudomonas canadensis	Pseudomonas taiwanensis	6 hours of growth on DEP	proteomic profiling by mass spectrometry	1	NT=Trypsin	SB_B_01.raw	0.1 Da	Orbitrap Fusion	label free sample	NT=CarbamidomethylDTT; AC=893; MT=Fixed; PP=Anywhere; TA=C	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
SB_B_02	2	not applicable	not applicable	not applicable	cell pellet	Microbacterium ginsengisoli	Pseudomonas canadensis	Pseudomonas taiwanensis	6 hours of growth on DEP	proteomic profiling by mass spectrometry	1	NT=Trypsin	SB_B_02_20241216135729.raw	0.1 Da	Orbitrap Fusion	label free sample	NT=CarbamidomethylDTT; AC=893; MT=Fixed; PP=Anywhere; TA=C	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
SB_B_03	3	not applicable	not applicable	not applicable	cell pellet	Microbacterium ginsengisoli	Pseudomonas canadensis	Pseudomonas taiwanensis	6 hours of growth on DEP	proteomic profiling by mass spectrometry	1	NT=Trypsin	SB_B_03.raw	0.1 Da	Orbitrap Fusion	label free sample	NT=CarbamidomethylDTT; AC=893; MT=Fixed; PP=Anywhere; TA=C	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
SB_B_04	1	not applicable	not applicable	not applicable	cell pellet	Microbacterium ginsengisoli	Pseudomonas canadensis	Pseudomonas taiwanensis	24 hours of growth on DEP	proteomic profiling by mass spectrometry	1	NT=Trypsin	SB_B_04.raw	0.1 Da	Orbitrap Fusion	label free sample	NT=CarbamidomethylDTT; AC=893; MT=Fixed; PP=Anywhere; TA=C	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
SB_B_05	2	not applicable	not applicable	not applicable	cell pellet	Microbacterium ginsengisoli	Pseudomonas canadensis	Pseudomonas taiwanensis	24 hours of growth on DEP	proteomic profiling by mass spectrometry	1	NT=Trypsin	SB_B_05.raw	0.1 Da	Orbitrap Fusion	label free sample	NT=CarbamidomethylDTT; AC=893; MT=Fixed; PP=Anywhere; TA=C	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
SB_B_06	3	not applicable	not applicable	not applicable	cell pellet	Microbacterium ginsengisoli	Pseudomonas canadensis	Pseudomonas taiwanensis	24 hours of growth on DEP	proteomic profiling by mass spectrometry	1	NT=Trypsin	SB_B_06.raw	0.1 Da	Orbitrap Fusion	label free sample	NT=CarbamidomethylDTT; AC=893; MT=Fixed; PP=Anywhere; TA=C	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
SB_B_07	1	not applicable	not applicable	not applicable	cell pellet	Microbacterium ginsengisoli	Pseudomonas canadensis	Pseudomonas taiwanensis	30 hours of growth on DEP	proteomic profiling by mass spectrometry	1	NT=Trypsin	SB_B_07.raw	0.1 Da	Orbitrap Fusion	label free sample	NT=CarbamidomethylDTT; AC=893; MT=Fixed; PP=Anywhere; TA=C	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
SB_B_08	2	not applicable	not applicable	not applicable	cell pellet	Microbacterium ginsengisoli	Pseudomonas canadensis	Pseudomonas taiwanensis	30 hours of growth on DEP	proteomic profiling by mass spectrometry	1	NT=Trypsin	SB_B_08.raw	0.1 Da	Orbitrap Fusion	label free sample	NT=CarbamidomethylDTT; AC=893; MT=Fixed; PP=Anywhere; TA=C	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
SB_B_09	3	not applicable	not applicable	not applicable	cell pellet	Microbacterium ginsengisoli	Pseudomonas canadensis	Pseudomonas taiwanensis	30 hours of growth on DEP	proteomic profiling by mass spectrometry	1	NT=Trypsin	SB_B_09.raw	0.1 Da	Orbitrap Fusion	label free sample	NT=CarbamidomethylDTT; AC=893; MT=Fixed; PP=Anywhere; TA=C	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
SB_B_10	1	not applicable	not applicable	not applicable	cell pellet	Microbacterium ginsengisoli	Pseudomonas canadensis	Pseudomonas taiwanensis	48 hours of growth on DEP	proteomic profiling by mass spectrometry	1	NT=Trypsin	SB_B_10.raw	0.1 Da	Orbitrap Fusion	label free sample	NT=CarbamidomethylDTT; AC=893; MT=Fixed; PP=Anywhere; TA=C	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
