source name	characteristics[organism]	characteristics[organism part]	characteristics[developmental stage]	characteristics[sex]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	characteristics[phenotype]	assay name	technology type	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[data file]	comment[technical replicate]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	factor value[phenotype]
sample 1	mus musculus	ovary	six weeks of age	female	oocyte	healthy	1	Std IVM	Run 1	proteomic profiling by mass spectrometry	1	label free sample	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	AP100719_DR_Oo11rpt.raw	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Std IVM
sample 2	mus musculus	ovary	six weeks of age	female	oocyte	healthy	2	Std IVM	Run 2	proteomic profiling by mass spectrometry	1	label free sample	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	AP100719_DR_Oo12.raw	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Std IVM
sample 3	mus musculus	ovary	six weeks of age	female	oocyte	healthy	3	Std IVM	Run 3	proteomic profiling by mass spectrometry	1	label free sample	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	AP100719_DR_Oo13.raw	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Std IVM
sample 4	mus musculus	ovary	six weeks of age	female	oocyte	healthy	4	Std IVM	Run 4	proteomic profiling by mass spectrometry	1	label free sample	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	AP100719_DR_Oo14.raw	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Std IVM
sample 5	mus musculus	ovary	six weeks of age	female	oocyte	healthy	1	CAPA IVM	Run 5	proteomic profiling by mass spectrometry	1	label free sample	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	AP100719_DR_Oo15.raw	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	CAPA IVM
sample 6	mus musculus	ovary	six weeks of age	female	oocyte	healthy	2	CAPA IVM	Run 6	proteomic profiling by mass spectrometry	1	label free sample	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	AP100719_DR_Oo16rpt.raw	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	CAPA IVM
sample 7	mus musculus	ovary	six weeks of age	female	oocyte	healthy	3	CAPA IVM	Run 7	proteomic profiling by mass spectrometry	1	label free sample	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	AP100719_DR_Oo17rpt.raw	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	CAPA IVM
sample 8	mus musculus	ovary	six weeks of age	female	oocyte	healthy	4	CAPA IVM	Run 8	proteomic profiling by mass spectrometry	1	label free sample	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	AP100719_DR_Oo18.raw	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	CAPA IVM
sample 9	mus musculus	ovary	six weeks of age	female	oocyte	healthy	1	In vivo	Run 9	proteomic profiling by mass spectrometry	1	label free sample	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	AP100719_DR_Oo19.raw	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	In vivo
sample 10	mus musculus	ovary	six weeks of age	female	oocyte	healthy	2	In vivo	Run 10	proteomic profiling by mass spectrometry	1	label free sample	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	AP100719_DR_Oo20.raw	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	In vivo
