source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[individual]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[technical replicate]	comment[fraction identifier]	comment[fractionation method]	comment[fraction name]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[instrument]	comment[experiment number]	comment[sample amount]	comment[data analysis number]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]
B308_R501-8-P	Homo sapiens	dental calculus	not applicable	not available	not available	not available	B308_R501-8	1	B308_R501-8-P	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	1	1	not applicable	pellet	NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Q Exactive Plus;AC=MS:1002634	2	10mg	1;2	3_P_uc06_08_B308_R501_8_20240528.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0
B308_R501-8-E	Homo sapiens	dental calculus	not applicable	not available	not available	not available	B308_R501-8	1	B308_R501-8-E	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	1	2	not applicable	EDTA extract	NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Q Exactive Plus;AC=MS:1002634	2	10mg	1;2	4_E_uc06_08_B308_R501_8_20240528.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0
B312_R505-1-P	Homo sapiens	dental calculus	not applicable	not available	not available	not available	B312_R505-1	1	B312_R505-1-P	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	1	1	not applicable	pellet	NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Q Exactive Plus;AC=MS:1002634	2	10mg	1;2	5_P_uc06_09_B312_R505_1_20240528.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0
B312_R505-1-E	Homo sapiens	dental calculus	not applicable	not available	not available	not available	B312_R505-1	1	B312_R505-1-E	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	1	2	not applicable	EDTA extract	NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Q Exactive Plus;AC=MS:1002634	2	10mg	1;2	6_E_uc06_09_B312_R505_1_20240528.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0
B313_R506-1-P	Homo sapiens	dental calculus	not applicable	not available	not available	not available	B313_R506-1	1	B313_R506-1-P	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	1	1	not applicable	pellet	NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Q Exactive Plus;AC=MS:1002634	2	10mg	1;2	7_P_uc06_07_B313_R506_1_20240528.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0
B313_R506-1-E	Homo sapiens	dental calculus	not applicable	not available	not available	not available	B313_R506-1	1	B313_R506-1-E	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	1	2	not applicable	EDTA extract	NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Q Exactive Plus;AC=MS:1002634	2	10mg	1;2	8_E_uc06_07_B313_R506_1_20240528.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0
B318_R518-1-P	Homo sapiens	dental calculus	not applicable	not available	not available	not available	B318_R518-1	1	B318_R518-1-P	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	1	1	not applicable	pellet	NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Q Exactive Plus;AC=MS:1002634	2	10mg	1;2	9_P_uc06_06_B318_R518_1_20240528.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0
B318_R518-1-E	Homo sapiens	dental calculus	not applicable	not available	not available	not available	B318_R518-1	1	B318_R518-1-E	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	1	2	not applicable	EDTA extract	NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Q Exactive Plus;AC=MS:1002634	2	10mg	1;2	10_E_uc06_06_B318_R518_1_20240528.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0
B634_R1040-5-P	Homo sapiens	dental calculus	not applicable	not available	not available	not available	B634_R1040-5	1	B634_R1040-5-P	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	1	1	not applicable	pellet	NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Q Exactive Plus;AC=MS:1002634	1	10mg	1;2	20_uc02_04_P.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0
B634_R1040-5-E	Homo sapiens	dental calculus	not applicable	not available	not available	not available	B634_R1040-5	1	B634_R1040-5-E	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	1	2	not applicable	EDTA extract	NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Q Exactive Plus;AC=MS:1002634	1	10mg	1;2	19_uc02_04_S.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0
B641_R1047-5-P	Homo sapiens	dental calculus	not applicable	not available	not available	not available	B641_R1047-5	1	B641_R1047-5-P	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	1	1	not applicable	pellet	NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Q Exactive Plus;AC=MS:1002634	1	10mg	1;2	16_uc02_02_P.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0
