source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[treatment]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	factor value[13c abundance]
ecoli_pct1_rep1	escherichia coli	not applicable	not applicable	not applicable	1% 13C abundance	1	X1_ID113169_01_OA10034_10439_042024	proteomic profiling by mass spectrometry	1	1	label free sample	Orbitrap Astral	NT=Trypsin;AC=MS:1001251	data-independent acquisition	X1_ID113169_01_OA10034_10439_042024.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	1%
ecoli_pct1_rep2	escherichia coli	not applicable	not applicable	not applicable	1% 13C abundance	2	X3_ID110156_01_OA10034_10302_120823	proteomic profiling by mass spectrometry	1	1	label free sample	Orbitrap Astral	NT=Trypsin;AC=MS:1001251	data-independent acquisition	X3_ID110156_01_OA10034_10302_120823.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	1%
ecoli_pct1_rep3	escherichia coli	not applicable	not applicable	not applicable	1% 13C abundance	3	X2_ID113170_01_OA10034_10439_042024	proteomic profiling by mass spectrometry	1	1	label free sample	Orbitrap Astral	NT=Trypsin;AC=MS:1001251	data-independent acquisition	X2_ID113170_01_OA10034_10439_042024.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	1%
ecoli_pct2_rep1	escherichia coli	not applicable	not applicable	not applicable	2% 13C abundance	1	K6_ID116307_01_SPD30_OA10034_10537_071524	proteomic profiling by mass spectrometry	1	1	label free sample	Orbitrap Astral	NT=Trypsin;AC=MS:1001251	data-independent acquisition	K6_ID116307_01_SPD30_OA10034_10537_071524.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	2%
ecoli_pct2_rep2	escherichia coli	not applicable	not applicable	not applicable	2% 13C abundance	2	A5_ID119612_01_SPD30_OA10034_10621_090924	proteomic profiling by mass spectrometry	1	1	label free sample	Orbitrap Astral	NT=Trypsin;AC=MS:1001251	data-independent acquisition	A5_ID119612_01_SPD30_OA10034_10621_090924.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	2%
ecoli_pct2_rep3	escherichia coli	not applicable	not applicable	not applicable	2% 13C abundance	3	K7_ID116308_01_SPD30_OA10034_10537_071524	proteomic profiling by mass spectrometry	1	1	label free sample	Orbitrap Astral	NT=Trypsin;AC=MS:1001251	data-independent acquisition	K7_ID116308_01_SPD30_OA10034_10537_071524.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	2%
ecoli_pct5_rep1	escherichia coli	not applicable	not applicable	not applicable	5% 13C abundance	1	X19_ID113179_01_OA10034_10438_042024	proteomic profiling by mass spectrometry	1	1	label free sample	Orbitrap Astral	NT=Trypsin;AC=MS:1001251	data-independent acquisition	X19_ID113179_01_OA10034_10438_042024.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	5%
ecoli_pct5_rep2	escherichia coli	not applicable	not applicable	not applicable	5% 13C abundance	2	X32_ID110716_01_OA10034_10314_121923	proteomic profiling by mass spectrometry	1	1	label free sample	Orbitrap Astral	NT=Trypsin;AC=MS:1001251	data-independent acquisition	X32_ID110716_01_OA10034_10314_121923.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	5%
ecoli_pct5_rep3	escherichia coli	not applicable	not applicable	not applicable	5% 13C abundance	3	X21_ID113180_01_OA10034_10438_042024	proteomic profiling by mass spectrometry	1	1	label free sample	Orbitrap Astral	NT=Trypsin;AC=MS:1001251	data-independent acquisition	X21_ID113180_01_OA10034_10438_042024.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	5%
ecoli_pct25_rep1	escherichia coli	not applicable	not applicable	not applicable	25% 13C abundance	1	K11_ID116310_01_SPD30_OA10034_10537_071524	proteomic profiling by mass spectrometry	1	1	label free sample	Orbitrap Astral	NT=Trypsin;AC=MS:1001251	data-independent acquisition	K11_ID116310_01_SPD30_OA10034_10537_071524.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	25%
ecoli_pct25_rep2	escherichia coli	not applicable	not applicable	not applicable	25% 13C abundance	2	K9_ID116309_01_SPD30_OA10034_10537_071524	proteomic profiling by mass spectrometry	1	1	label free sample	Orbitrap Astral	NT=Trypsin;AC=MS:1001251	data-independent acquisition	K9_ID116309_01_SPD30_OA10034_10537_071524.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	25%
ecoli_pct25_rep3	escherichia coli	not applicable	not applicable	not applicable	25% 13C abundance	3	X10_ID113172_01_OA10034_10439_042024	proteomic profiling by mass spectrometry	1	1	label free sample	Orbitrap Astral	NT=Trypsin;AC=MS:1001251	data-independent acquisition	X10_ID113172_01_OA10034_10439_042024.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	25%
ecoli_pct50_rep1	escherichia coli	not applicable	not applicable	not applicable	50% 13C abundance	1	K14_ID116311_01_SPD30_OA10034_10537_071524	proteomic profiling by mass spectrometry	1	1	label free sample	Orbitrap Astral	NT=Trypsin;AC=MS:1001251	data-independent acquisition	K14_ID116311_01_SPD30_OA10034_10537_071524.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	50%
ecoli_pct50_rep2	escherichia coli	not applicable	not applicable	not applicable	50% 13C abundance	2	X13N_ID110715_01_OA10034_10314_121923	proteomic profiling by mass spectrometry	1	1	label free sample	Orbitrap Astral	NT=Trypsin;AC=MS:1001251	data-independent acquisition	X13N_ID110715_01_OA10034_10314_121923.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	50%
ecoli_pct50_rep3	escherichia coli	not applicable	not applicable	not applicable	50% 13C abundance	3	K15_ID116312_01_SPD30_OA10034_10537_071524	proteomic profiling by mass spectrometry	1	1	label free sample	Orbitrap Astral	NT=Trypsin;AC=MS:1001251	data-independent acquisition	K15_ID116312_01_SPD30_OA10034_10537_071524.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	50%
ecoli_pct99_rep1	escherichia coli	not applicable	not applicable	not applicable	99% 13C abundance	1	X47_ID113175_01_OA10034_10439_042024	proteomic profiling by mass spectrometry	1	1	label free sample	Orbitrap Astral	NT=Trypsin;AC=MS:1001251	data-independent acquisition	X47_ID113175_01_OA10034_10439_042024.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	99%
ecoli_pct99_rep2	escherichia coli	not applicable	not applicable	not applicable	99% 13C abundance	2	K48_ID116314_01_SPD30_OA10034_10537_071524	proteomic profiling by mass spectrometry	1	1	label free sample	Orbitrap Astral	NT=Trypsin;AC=MS:1001251	data-independent acquisition	K48_ID116314_01_SPD30_OA10034_10537_071524.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	99%
ecoli_pct99_rep3	escherichia coli	not applicable	not applicable	not applicable	99% 13C abundance	3	K46_ID116313_01_SPD30_OA10034_10537_071524	proteomic profiling by mass spectrometry	1	1	label free sample	Orbitrap Astral	NT=Trypsin;AC=MS:1001251	data-independent acquisition	K46_ID116313_01_SPD30_OA10034_10537_071524.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	99%
