source name	characteristics[age]	characteristics[developmental stage]	characteristics[organism part]	characteristics[disease]	characteristics[organism]	characteristics[cell type]	characteristics[environmental sample type]	characteristics[treatment]	characteristics[sampling time]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	factor value[treatment]	factor value[sampling time]
T10	1 year	adult	cecum	normal	mus musculus	not available	gut microbiome	control	0 hour	1	T10_PanC_20250708_02_DDA_01	proteomic profiling by mass spectrometry	1	1	label free sample	Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	T10_PanC_20250708_02_DDA_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	control	0 hour
T20	1 year	adult	cecum	normal	mus musculus	not available	gut microbiome	control	0 hour	2	T20_PanC_20250708_02_DDA_02	proteomic profiling by mass spectrometry	1	1	label free sample	Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	T20_PanC_20250708_02_DDA_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	control	0 hour
T30	1 year	adult	cecum	normal	mus musculus	not available	gut microbiome	control	0 hour	3	T30_PanC_20250708_02_DDA_03	proteomic profiling by mass spectrometry	1	1	label free sample	Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	T30_PanC_20250708_02_DDA_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	control	0 hour
T11	1 year	adult	cecum	normal	mus musculus	not available	gut microbiome	control	4 hour	1	T11_PanC_20250724_04_DDA_01	proteomic profiling by mass spectrometry	1	1	label free sample	Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	T11_PanC_20250724_04_DDA_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	control	4 hour
T21	1 year	adult	cecum	normal	mus musculus	not available	gut microbiome	control	4 hour	2	T21_PanC_20250724_04_DDA_02	proteomic profiling by mass spectrometry	1	1	label free sample	Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	T21_PanC_20250724_04_DDA_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	control	4 hour
T31	1 year	adult	cecum	normal	mus musculus	not available	gut microbiome	control	4 hour	3	T31_PanC_20250724_04_DDA_03	proteomic profiling by mass spectrometry	1	1	label free sample	Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	T31_PanC_20250724_04_DDA_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	control	4 hour
T12	1 year	adult	cecum	normal	mus musculus	not available	gut microbiome	control	8 hour	1	T12_PanC_20250724_04_DDA_04	proteomic profiling by mass spectrometry	1	1	label free sample	Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	T12_PanC_20250724_04_DDA_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	control	8 hour
T22	1 year	adult	cecum	normal	mus musculus	not available	gut microbiome	control	8 hour	2	T22_PanC_20250724_04_DDA_05	proteomic profiling by mass spectrometry	1	1	label free sample	Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	T22_PanC_20250724_04_DDA_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	control	8 hour
T32	1 year	adult	cecum	normal	mus musculus	not available	gut microbiome	control	8 hour	3	T32_PanC_20250724_04_DDA_06	proteomic profiling by mass spectrometry	1	1	label free sample	Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	T32_PanC_20250724_04_DDA_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	control	8 hour
T13	1 year	adult	cecum	normal	mus musculus	not available	gut microbiome	control	12 hour	1	T13_PanC_20250724_04_DDA_07	proteomic profiling by mass spectrometry	1	1	label free sample	Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	data-dependent acquisition	T13_PanC_20250724_04_DDA_07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	control	12 hour
