source name	characteristics[organism]	characteristics[strain/genotype]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[developmental stage]	characteristics[strain/breed]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[genotype]	factor value[oxygen concentration]
cWT_Ambient_rep1	Toxoplasma gondii	RHdKU80	tachyzoite	not applicable	not applicable	tachyzoite	RHdKU80	1	20250605_Eclipse_TS25_LouridoLab_CG_1	proteomic profiling by mass spectrometry	data-dependent acquisition	TMT126	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=TMTpro16plex;AC=UNIMOD:2016;MT=Fixed;TA=K	NT=TMTpro16plex;AC=UNIMOD:2016;MT=Fixed;PP=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:21;MT=Variable;TA=M	HCD	1	1	20250605_Eclipse_TS25_LouridoLab_CG_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cWT	21%
cWT_Hypoxia_rep1	Toxoplasma gondii	RHdKU80	tachyzoite	not applicable	not applicable	tachyzoite	RHdKU80	1	20250605_Eclipse_TS25_LouridoLab_CG_1	proteomic profiling by mass spectrometry	data-dependent acquisition	TMT127N	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=TMTpro16plex;AC=UNIMOD:2016;MT=Fixed;TA=K	NT=TMTpro16plex;AC=UNIMOD:2016;MT=Fixed;PP=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:21;MT=Variable;TA=M	HCD	1	1	20250605_Eclipse_TS25_LouridoLab_CG_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cWT	1%
cMUT_Ambient_rep1	Toxoplasma gondii	RHdKU80	tachyzoite	not applicable	not applicable	tachyzoite	RHdKU80	1	20250605_Eclipse_TS25_LouridoLab_CG_1	proteomic profiling by mass spectrometry	data-dependent acquisition	TMT127C	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=TMTpro16plex;AC=UNIMOD:2016;MT=Fixed;TA=K	NT=TMTpro16plex;AC=UNIMOD:2016;MT=Fixed;PP=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:21;MT=Variable;TA=M	HCD	1	1	20250605_Eclipse_TS25_LouridoLab_CG_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cMUT	21%
cMUT_Hypoxia_rep1	Toxoplasma gondii	RHdKU80	tachyzoite	not applicable	not applicable	tachyzoite	RHdKU80	1	20250605_Eclipse_TS25_LouridoLab_CG_1	proteomic profiling by mass spectrometry	data-dependent acquisition	TMT128N	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=TMTpro16plex;AC=UNIMOD:2016;MT=Fixed;TA=K	NT=TMTpro16plex;AC=UNIMOD:2016;MT=Fixed;PP=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:21;MT=Variable;TA=M	HCD	1	1	20250605_Eclipse_TS25_LouridoLab_CG_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cMUT	1%
cWT_Ambient_rep2	Toxoplasma gondii	RHdKU80	tachyzoite	not applicable	not applicable	tachyzoite	RHdKU80	2	20250605_Eclipse_TS25_LouridoLab_CG_1	proteomic profiling by mass spectrometry	data-dependent acquisition	TMT128C	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=TMTpro16plex;AC=UNIMOD:2016;MT=Fixed;TA=K	NT=TMTpro16plex;AC=UNIMOD:2016;MT=Fixed;PP=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:21;MT=Variable;TA=M	HCD	1	1	20250605_Eclipse_TS25_LouridoLab_CG_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cWT	21%
cWT_Hypoxia_rep2	Toxoplasma gondii	RHdKU80	tachyzoite	not applicable	not applicable	tachyzoite	RHdKU80	2	20250605_Eclipse_TS25_LouridoLab_CG_1	proteomic profiling by mass spectrometry	data-dependent acquisition	TMT129N	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=TMTpro16plex;AC=UNIMOD:2016;MT=Fixed;TA=K	NT=TMTpro16plex;AC=UNIMOD:2016;MT=Fixed;PP=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:21;MT=Variable;TA=M	HCD	1	1	20250605_Eclipse_TS25_LouridoLab_CG_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cWT	1%
cMUT_Ambient_rep2	Toxoplasma gondii	RHdKU80	tachyzoite	not applicable	not applicable	tachyzoite	RHdKU80	2	20250605_Eclipse_TS25_LouridoLab_CG_1	proteomic profiling by mass spectrometry	data-dependent acquisition	TMT129C	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=TMTpro16plex;AC=UNIMOD:2016;MT=Fixed;TA=K	NT=TMTpro16plex;AC=UNIMOD:2016;MT=Fixed;PP=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:21;MT=Variable;TA=M	HCD	1	1	20250605_Eclipse_TS25_LouridoLab_CG_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cMUT	21%
cMUT_Hypoxia_rep2	Toxoplasma gondii	RHdKU80	tachyzoite	not applicable	not applicable	tachyzoite	RHdKU80	2	20250605_Eclipse_TS25_LouridoLab_CG_1	proteomic profiling by mass spectrometry	data-dependent acquisition	TMT130N	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=TMTpro16plex;AC=UNIMOD:2016;MT=Fixed;TA=K	NT=TMTpro16plex;AC=UNIMOD:2016;MT=Fixed;PP=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:21;MT=Variable;TA=M	HCD	1	1	20250605_Eclipse_TS25_LouridoLab_CG_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cMUT	1%
cWT_Ambient_rep3	Toxoplasma gondii	RHdKU80	tachyzoite	not applicable	not applicable	tachyzoite	RHdKU80	3	20250605_Eclipse_TS25_LouridoLab_CG_1	proteomic profiling by mass spectrometry	data-dependent acquisition	TMT130C	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=TMTpro16plex;AC=UNIMOD:2016;MT=Fixed;TA=K	NT=TMTpro16plex;AC=UNIMOD:2016;MT=Fixed;PP=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:21;MT=Variable;TA=M	HCD	1	1	20250605_Eclipse_TS25_LouridoLab_CG_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cWT	21%
cWT_Hypoxia_rep3	Toxoplasma gondii	RHdKU80	tachyzoite	not applicable	not applicable	tachyzoite	RHdKU80	3	20250605_Eclipse_TS25_LouridoLab_CG_1	proteomic profiling by mass spectrometry	data-dependent acquisition	TMT131N	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=TMTpro16plex;AC=UNIMOD:2016;MT=Fixed;TA=K	NT=TMTpro16plex;AC=UNIMOD:2016;MT=Fixed;PP=Protein N-term	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:21;MT=Variable;TA=M	HCD	1	1	20250605_Eclipse_TS25_LouridoLab_CG_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cWT	1%
