source name	characteristics[organism]	characteristics[disease]	characteristics[cell type]	characteristics[organism part]	characteristics[biological replicate]	assay name	technology type	comment[data file]	comment[label]	comment[technical replicate]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[sdrf version]	comment[sdrf template]
P0-R1	Homo sapiens	acute myeloid leukemia	leukemic cell	bone marrow	1	P0-R1	proteomic profiling by mass spectrometry	20241206_LU50HMC17_pl24087_JT_10.raw	label free	1	1	data-dependent acquisition	Orbitrap	trypsin	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0
P0-R2	Homo sapiens	acute myeloid leukemia	leukemic cell	bone marrow	2	P0-R2	proteomic profiling by mass spectrometry	20241206_LU50HMC19_pl24087_JT_05.raw	label free	1	1	data-dependent acquisition	Orbitrap	trypsin	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0
P0-R3	Homo sapiens	acute myeloid leukemia	leukemic cell	bone marrow	3	P0-R3	proteomic profiling by mass spectrometry	20241206_LU50HMC20_pl24087_JT_16.raw	label free	1	1	data-dependent acquisition	Orbitrap	trypsin	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0
P0-R4	Homo sapiens	acute myeloid leukemia	leukemic cell	bone marrow	4	P0-R4	proteomic profiling by mass spectrometry	20241206_LU50HMC27_pl24087_JT_01.raw	label free	1	1	data-dependent acquisition	Orbitrap	trypsin	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0
P0-R5	Homo sapiens	acute myeloid leukemia	leukemic cell	bone marrow	5	P0-R5	proteomic profiling by mass spectrometry	20241206_LU50HMC32_pl24087_JT_03.raw	label free	1	1	data-dependent acquisition	Orbitrap	trypsin	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0
P0-R6	Homo sapiens	acute myeloid leukemia	leukemic cell	bone marrow	6	P0-R6	proteomic profiling by mass spectrometry	20241206_LU50HMC33_pl24087_JT_13.raw	label free	1	1	data-dependent acquisition	Orbitrap	trypsin	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0
P1-R1	Homo sapiens	acute myeloid leukemia	leukemic cell	bone marrow	1	P1-R1	proteomic profiling by mass spectrometry	20241206_LU50HMC14_pl24087_JT_08.raw	label free	1	1	data-dependent acquisition	Orbitrap	trypsin	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0
P1-R2	Homo sapiens	acute myeloid leukemia	leukemic cell	bone marrow	2	P1-R2	proteomic profiling by mass spectrometry	20241206_LU50HMC22_pl24087_JT_11.raw	label free	1	1	data-dependent acquisition	Orbitrap	trypsin	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0
P1-R3	Homo sapiens	acute myeloid leukemia	leukemic cell	bone marrow	3	P1-R3	proteomic profiling by mass spectrometry	20241206_LU50HMC29_pl24087_JT_14.raw	label free	1	1	data-dependent acquisition	Orbitrap	trypsin	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0
P1-R4	Homo sapiens	acute myeloid leukemia	leukemic cell	bone marrow	4	P1-R4	proteomic profiling by mass spectrometry	20241206_LU50HMC31_pl24087_JT_17.raw	label free	1	1	data-dependent acquisition	Orbitrap	trypsin	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0
P1-R5	Homo sapiens	acute myeloid leukemia	leukemic cell	bone marrow	5	P1-R5	proteomic profiling by mass spectrometry	20241206_LU50HMC36_pl24087_JT_06.raw	label free	1	1	data-dependent acquisition	Orbitrap	trypsin	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0
P2-R1	Homo sapiens	acute myeloid leukemia	leukemic cell	bone marrow	1	P2-R1	proteomic profiling by mass spectrometry	20241206_LU50HMC15_pl24087_JT_15.raw	label free	1	1	data-dependent acquisition	Orbitrap	trypsin	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0
P2-R2	Homo sapiens	acute myeloid leukemia	leukemic cell	bone marrow	2	P2-R2	proteomic profiling by mass spectrometry	20241206_LU50HMC16_pl24087_JT_12.raw	label free	1	1	data-dependent acquisition	Orbitrap	trypsin	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0
P2-R3	Homo sapiens	acute myeloid leukemia	leukemic cell	bone marrow	3	P2-R3	proteomic profiling by mass spectrometry	20241206_LU50HMC21_pl24087_JT_02.raw	label free	1	1	data-dependent acquisition	Orbitrap	trypsin	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0
P2-R4	Homo sapiens	acute myeloid leukemia	leukemic cell	bone marrow	4	P2-R4	proteomic profiling by mass spectrometry	20241206_LU50HMC26_pl24087_JT_09.raw	label free	1	1	data-dependent acquisition	Orbitrap	trypsin	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0
P2-R5	Homo sapiens	acute myeloid leukemia	leukemic cell	bone marrow	5	P2-R5	proteomic profiling by mass spectrometry	20241206_LU50HMC28_pl24087_JT_07.raw	label free	1	1	data-dependent acquisition	Orbitrap	trypsin	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0
P2-R6	Homo sapiens	acute myeloid leukemia	leukemic cell	bone marrow	6	P2-R6	proteomic profiling by mass spectrometry	20241206_LU50HMC34_pl24087_JT_04.raw	label free	1	1	data-dependent acquisition	Orbitrap	trypsin	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0
