source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[genotype]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[data file]	comment[fraction identifier]	comment[label]	comment[technical replicate]	comment[cleavage agent details]	comment[file type]	comment[sdrf version]	comment[sdrf template]
WT_CTX1	Macaca fascicularis	cortex	normal	wild type	1	WT_CTX1_Slot1-25_1_12620	proteomic profiling by mass spectrometer	data-dependent acquisition	Bruker timsTOF Pro	WT_CTX1_Slot1-25_1_12620.d.zip	1	label-free	1	Trypsin	raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
WT_CTX2	Macaca fascicularis	cortex	normal	wild type	1	WT_CTX2_Slot1-26_1_12621	proteomic profiling by mass spectrometer	data-dependent acquisition	Bruker timsTOF Pro	WT_CTX2_Slot1-26_1_12621.d.zip	1	label-free	1	Trypsin	raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
WT_CTX3	Macaca fascicularis	cortex	normal	wild type	1	WT_CTX3_Slot1-27_1_12622	proteomic profiling by mass spectrometer	data-dependent acquisition	Bruker timsTOF Pro	WT_CTX3_Slot1-27_1_12622.d.zip	1	label-free	1	Trypsin	raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
WT_CTX4	Macaca fascicularis	cortex	normal	wild type	1	WT_CTX4_Slot1-28_1_12623	proteomic profiling by mass spectrometer	data-dependent acquisition	Bruker timsTOF Pro	WT_CTX4_Slot1-28_1_12623.d.zip	1	label-free	1	Trypsin	raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
WT_SP1	Macaca fascicularis	spinal cord	normal	wild type	1	WT_SP1_Slot1-29_1_12625	proteomic profiling by mass spectrometer	data-dependent acquisition	Bruker timsTOF Pro	WT_SP1_Slot1-29_1_12625.d.zip	1	label-free	1	Trypsin	raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
WT_SP2	Macaca fascicularis	spinal cord	normal	wild type	1	WT_SP2_Slot1-30_1_12626	proteomic profiling by mass spectrometer	data-dependent acquisition	Bruker timsTOF Pro	WT_SP2_Slot1-30_1_12626.d.zip	1	label-free	1	Trypsin	raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
WT_SP3	Macaca fascicularis	spinal cord	normal	wild type	1	WT_SP3_Slot1-31_1_12627	proteomic profiling by mass spectrometer	data-dependent acquisition	Bruker timsTOF Pro	WT_SP3_Slot1-31_1_12627.d.zip	1	label-free	1	Trypsin	raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
WT_SP4	Macaca fascicularis	spinal cord	normal	wild type	1	WT_SP4_Slot1-32_1_12628	proteomic profiling by mass spectrometer	data-dependent acquisition	Bruker timsTOF Pro	WT_SP4_Slot1-32_1_12628.d.zip	1	label-free	1	Trypsin	raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
TAU1_CTX	Macaca fascicularis	cortex	Tauopathy	Tau P301L transgenic	1	TAU1_CTX_Slot1-53_1_12531	proteomic profiling by mass spectrometer	data-dependent acquisition	Bruker timsTOF Pro	TAU1_CTX_Slot1-53_1_12531.d.zip	1	label-free	1	Trypsin	raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
TAU2_CTX	Macaca fascicularis	cortex	Tauopathy	Tau P301L transgenic	1	TAU2_CTX_Slot1-54_1_12532	proteomic profiling by mass spectrometer	data-dependent acquisition	Bruker timsTOF Pro	TAU2_CTX_Slot1-54_1_12532.d.zip	1	label-free	1	Trypsin	raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
TAU8_CTX	Macaca fascicularis	cortex	Tauopathy	Tau P301L transgenic	1	TAU8_CTX_Slot1-55_1_12533	proteomic profiling by mass spectrometer	data-dependent acquisition	Bruker timsTOF Pro	TAU8_CTX_Slot1-55_1_12533.d.zip	1	label-free	1	Trypsin	raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
TAU9_CTX	Macaca fascicularis	cortex	Tauopathy	Tau P301L transgenic	1	TAU9_CTX_Slot1-56_1_12534	proteomic profiling by mass spectrometer	data-dependent acquisition	Bruker timsTOF Pro	TAU9_CTX_Slot1-56_1_12534.d.zip	1	label-free	1	Trypsin	raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
TAU1_SP	Macaca fascicularis	spinal cord	Tauopathy	Tau P301L transgenic	1	TAU1_SP_Slot1-57_1_12536	proteomic profiling by mass spectrometer	data-dependent acquisition	Bruker timsTOF Pro	TAU1_SP_Slot1-57_1_12536.d.zip	1	label-free	1	Trypsin	raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
TAU2_SP	Macaca fascicularis	spinal cord	Tauopathy	Tau P301L transgenic	1	TAU2_SP_Slot1-58_1_12537	proteomic profiling by mass spectrometer	data-dependent acquisition	Bruker timsTOF Pro	TAU2_SP_Slot1-58_1_12537.d.zip	1	label-free	1	Trypsin	raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
TAU8_SP	Macaca fascicularis	spinal cord	Tauopathy	Tau P301L transgenic	1	TAU8_SP_Slot1-59_1_12538	proteomic profiling by mass spectrometer	data-dependent acquisition	Bruker timsTOF Pro	TAU8_SP_Slot1-59_1_12538.d.zip	1	label-free	1	Trypsin	raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
TAU9_SP	Macaca fascicularis	spinal cord	Tauopathy	Tau P301L transgenic	1	TAU9_SP_Slot1-60_1_12539	proteomic profiling by mass spectrometer	data-dependent acquisition	Bruker timsTOF Pro	TAU9_SP_Slot1-60_1_12539.d.zip	1	label-free	1	Trypsin	raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
