source name	characteristics[environmental sample type]	characteristics[organism]	characteristics[strain/breed]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	characteristics[time]	characteristics[batch]	assay name	technology type	comment[proteomics data acquisition method]	comment[technical replicate]	comment[ion source]	comment[scan polarity]	comment[acquisition method]	comment[chromatography type]	comment[data file]	comment[file uri]	comment[instrument]	comment[label]	comment[fraction identifier]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[sdrf version]	comment[sdrf template]	factor value[strain]	factor value[time]
sample_01_ATCC_d0_b1	cheese	Lactococcus lactis subsp. cremoris	ATCC	cheese curd	not applicable	normal	1	0 day	5-4	run_01	proteomic profiling by mass spectrometry	data-dependent acquisition	1	electrospray ionization	positive scan	data-dependent acquisition	reversed-phase liquid chromatography	121223_ATCC1_5_4_0.raw	box://oregonstate.app.box.com/folder/242485093252/121223_ATCC1_5_4_0.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	1	NT=No-enzyme/unspecific cleavage;AC=MS:1001956	NT=Oxidation;TA=M;MT=variable;AC=UNIMOD:35	NT=Phospho;TA=S,T;MT=variable;AC=UNIMOD:21	NT=Acetyl;PP=Protein N-term;MT=variable;AC=UNIMOD:1	10 ppm	0.1 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	ATCC	0 day
sample_02_ATCC_d90_b1	cheese	Lactococcus lactis subsp. cremoris	ATCC	cheese curd	not applicable	normal	1	90 day	5-4	run_02	proteomic profiling by mass spectrometry	data-dependent acquisition	1	electrospray ionization	positive scan	data-dependent acquisition	reversed-phase liquid chromatography	121223_ATCC1_5_4_90.raw	box://oregonstate.app.box.com/folder/242485093252/121223_ATCC1_5_4_90.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	1	NT=No-enzyme/unspecific cleavage;AC=MS:1001956	NT=Oxidation;TA=M;MT=variable;AC=UNIMOD:35	NT=Phospho;TA=S,T;MT=variable;AC=UNIMOD:21	NT=Acetyl;PP=Protein N-term;MT=variable;AC=UNIMOD:1	10 ppm	0.1 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	ATCC	90 day
sample_03_ATCC_d0_b1	cheese	Lactococcus lactis subsp. cremoris	ATCC	cheese curd	not applicable	normal	1	0 day	5-11	run_03	proteomic profiling by mass spectrometry	data-dependent acquisition	1	electrospray ionization	positive scan	data-dependent acquisition	reversed-phase liquid chromatography	121223_ATCC1_5_11_0.raw	box://oregonstate.app.box.com/folder/242485093252/121223_ATCC1_5_11_0.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	1	NT=No-enzyme/unspecific cleavage;AC=MS:1001956	NT=Oxidation;TA=M;MT=variable;AC=UNIMOD:35	NT=Phospho;TA=S,T;MT=variable;AC=UNIMOD:21	NT=Acetyl;PP=Protein N-term;MT=variable;AC=UNIMOD:1	10 ppm	0.1 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	ATCC	0 day
sample_04_ATCC_d45_b1	cheese	Lactococcus lactis subsp. cremoris	ATCC	cheese curd	not applicable	normal	1	45 day	5-11	run_04	proteomic profiling by mass spectrometry	data-dependent acquisition	1	electrospray ionization	positive scan	data-dependent acquisition	reversed-phase liquid chromatography	121223_ATCC1_5_11_45.raw	box://oregonstate.app.box.com/folder/242485093252/121223_ATCC1_5_11_45.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	1	NT=No-enzyme/unspecific cleavage;AC=MS:1001956	NT=Oxidation;TA=M;MT=variable;AC=UNIMOD:35	NT=Phospho;TA=S,T;MT=variable;AC=UNIMOD:21	NT=Acetyl;PP=Protein N-term;MT=variable;AC=UNIMOD:1	10 ppm	0.1 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	ATCC	45 day
sample_05_ATCC_d90_b1	cheese	Lactococcus lactis subsp. cremoris	ATCC	cheese curd	not applicable	normal	1	90 day	5-11	run_05	proteomic profiling by mass spectrometry	data-dependent acquisition	1	electrospray ionization	positive scan	data-dependent acquisition	reversed-phase liquid chromatography	121223_ATCC1_5_11_90.raw	box://oregonstate.app.box.com/folder/242485093252/121223_ATCC1_5_11_90.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	1	NT=No-enzyme/unspecific cleavage;AC=MS:1001956	NT=Oxidation;TA=M;MT=variable;AC=UNIMOD:35	NT=Phospho;TA=S,T;MT=variable;AC=UNIMOD:21	NT=Acetyl;PP=Protein N-term;MT=variable;AC=UNIMOD:1	10 ppm	0.1 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	ATCC	90 day
sample_06_ATCC_d0_b1	cheese	Lactococcus lactis subsp. cremoris	ATCC	cheese curd	not applicable	normal	1	0 day	5-18	run_06	proteomic profiling by mass spectrometry	data-dependent acquisition	1	electrospray ionization	positive scan	data-dependent acquisition	reversed-phase liquid chromatography	121223_ATCC1_5_18_0.raw	box://oregonstate.app.box.com/folder/242485093252/121223_ATCC1_5_18_0.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	1	NT=No-enzyme/unspecific cleavage;AC=MS:1001956	NT=Oxidation;TA=M;MT=variable;AC=UNIMOD:35	NT=Phospho;TA=S,T;MT=variable;AC=UNIMOD:21	NT=Acetyl;PP=Protein N-term;MT=variable;AC=UNIMOD:1	10 ppm	0.1 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	ATCC	0 day
sample_07_ATCC_d45_b1	cheese	Lactococcus lactis subsp. cremoris	ATCC	cheese curd	not applicable	normal	1	45 day	5-18	run_07	proteomic profiling by mass spectrometry	data-dependent acquisition	1	electrospray ionization	positive scan	data-dependent acquisition	reversed-phase liquid chromatography	121223_ATCC1_5_18_45.raw	box://oregonstate.app.box.com/folder/242485093252/121223_ATCC1_5_18_45.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	1	NT=No-enzyme/unspecific cleavage;AC=MS:1001956	NT=Oxidation;TA=M;MT=variable;AC=UNIMOD:35	NT=Phospho;TA=S,T;MT=variable;AC=UNIMOD:21	NT=Acetyl;PP=Protein N-term;MT=variable;AC=UNIMOD:1	10 ppm	0.1 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	ATCC	45 day
sample_08_ATCC_d90_b1	cheese	Lactococcus lactis subsp. cremoris	ATCC	cheese curd	not applicable	normal	1	90 day	5-18	run_08	proteomic profiling by mass spectrometry	data-dependent acquisition	1	electrospray ionization	positive scan	data-dependent acquisition	reversed-phase liquid chromatography	121223_ATCC1_5_18_90.raw	box://oregonstate.app.box.com/folder/242485093252/121223_ATCC1_5_18_90.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	1	NT=No-enzyme/unspecific cleavage;AC=MS:1001956	NT=Oxidation;TA=M;MT=variable;AC=UNIMOD:35	NT=Phospho;TA=S,T;MT=variable;AC=UNIMOD:21	NT=Acetyl;PP=Protein N-term;MT=variable;AC=UNIMOD:1	10 ppm	0.1 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	ATCC	90 day
sample_09_ATCC_d0_b2	cheese	Lactococcus lactis subsp. cremoris	ATCC	cheese curd	not applicable	normal	2	0 day	5-4	run_09	proteomic profiling by mass spectrometry	data-dependent acquisition	1	electrospray ionization	positive scan	data-dependent acquisition	reversed-phase liquid chromatography	121223_ATCC2_5_4_0.raw	box://oregonstate.app.box.com/folder/242485093252/121223_ATCC2_5_4_0.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	1	NT=No-enzyme/unspecific cleavage;AC=MS:1001956	NT=Oxidation;TA=M;MT=variable;AC=UNIMOD:35	NT=Phospho;TA=S,T;MT=variable;AC=UNIMOD:21	NT=Acetyl;PP=Protein N-term;MT=variable;AC=UNIMOD:1	10 ppm	0.1 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	ATCC	0 day
sample_10_ATCC_d90_b2	cheese	Lactococcus lactis subsp. cremoris	ATCC	cheese curd	not applicable	normal	2	90 day	5-4	run_10	proteomic profiling by mass spectrometry	data-dependent acquisition	1	electrospray ionization	positive scan	data-dependent acquisition	reversed-phase liquid chromatography	121223_ATCC2_5_4_90.raw	box://oregonstate.app.box.com/folder/242485093252/121223_ATCC2_5_4_90.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	1	NT=No-enzyme/unspecific cleavage;AC=MS:1001956	NT=Oxidation;TA=M;MT=variable;AC=UNIMOD:35	NT=Phospho;TA=S,T;MT=variable;AC=UNIMOD:21	NT=Acetyl;PP=Protein N-term;MT=variable;AC=UNIMOD:1	10 ppm	0.1 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	ATCC	90 day
sample_11_ATCC_d45_b2	cheese	Lactococcus lactis subsp. cremoris	ATCC	cheese curd	not applicable	normal	2	45 day	5-11	run_11	proteomic profiling by mass spectrometry	data-dependent acquisition	1	electrospray ionization	positive scan	data-dependent acquisition	reversed-phase liquid chromatography	121223_ATCC2_5_11_45.raw	box://oregonstate.app.box.com/folder/242485093252/121223_ATCC2_5_11_45.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	1	NT=No-enzyme/unspecific cleavage;AC=MS:1001956	NT=Oxidation;TA=M;MT=variable;AC=UNIMOD:35	NT=Phospho;TA=S,T;MT=variable;AC=UNIMOD:21	NT=Acetyl;PP=Protein N-term;MT=variable;AC=UNIMOD:1	10 ppm	0.1 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	ATCC	45 day
sample_12_ATCC_d90_b2	cheese	Lactococcus lactis subsp. cremoris	ATCC	cheese curd	not applicable	normal	2	90 day	5-11	run_12	proteomic profiling by mass spectrometry	data-dependent acquisition	1	electrospray ionization	positive scan	data-dependent acquisition	reversed-phase liquid chromatography	121223_ATCC2_5_11_90.raw	box://oregonstate.app.box.com/folder/242485093252/121223_ATCC2_5_11_90.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	1	NT=No-enzyme/unspecific cleavage;AC=MS:1001956	NT=Oxidation;TA=M;MT=variable;AC=UNIMOD:35	NT=Phospho;TA=S,T;MT=variable;AC=UNIMOD:21	NT=Acetyl;PP=Protein N-term;MT=variable;AC=UNIMOD:1	10 ppm	0.1 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	ATCC	90 day
sample_13_ATCC_d0_b2	cheese	Lactococcus lactis subsp. cremoris	ATCC	cheese curd	not applicable	normal	2	0 day	5-18	run_13	proteomic profiling by mass spectrometry	data-dependent acquisition	1	electrospray ionization	positive scan	data-dependent acquisition	reversed-phase liquid chromatography	121223_ATCC2_5_18_0.raw	box://oregonstate.app.box.com/folder/242485093252/121223_ATCC2_5_18_0.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	1	NT=No-enzyme/unspecific cleavage;AC=MS:1001956	NT=Oxidation;TA=M;MT=variable;AC=UNIMOD:35	NT=Phospho;TA=S,T;MT=variable;AC=UNIMOD:21	NT=Acetyl;PP=Protein N-term;MT=variable;AC=UNIMOD:1	10 ppm	0.1 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	ATCC	0 day
sample_14_ATCC_d45_b2	cheese	Lactococcus lactis subsp. cremoris	ATCC	cheese curd	not applicable	normal	2	45 day	5-18	run_14	proteomic profiling by mass spectrometry	data-dependent acquisition	1	electrospray ionization	positive scan	data-dependent acquisition	reversed-phase liquid chromatography	121223_ATCC2_5_18_45.raw	box://oregonstate.app.box.com/folder/242485093252/121223_ATCC2_5_18_45.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	1	NT=No-enzyme/unspecific cleavage;AC=MS:1001956	NT=Oxidation;TA=M;MT=variable;AC=UNIMOD:35	NT=Phospho;TA=S,T;MT=variable;AC=UNIMOD:21	NT=Acetyl;PP=Protein N-term;MT=variable;AC=UNIMOD:1	10 ppm	0.1 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	ATCC	45 day
