source name	characteristics[organism]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cell type]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[sample type]	characteristics[biological replicate]	characteristics[genotype]	characteristics[depletion]	characteristics[sample description]	assay name	technology type	sample name	comment[platform]	comment[data file]	comment[derived data file]	comment[derived data file]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	comment[fractionation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[sample preparation batch]	comment[lc batch]	comment[well]	comment[gel stain]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[dvl2 construct]	factor value[treatment]	factor value[bioid sample group]
MMW3060P1_Biosample_1	Homo sapiens	HEK293 Flp-In T-REx	CVCL_U427	embryonic kidney cell	kidney	normal	not available	female	study sample	1	stable expression of DVL2 WT-BirA*	no depletion	BioID streptavidin-enriched gel fraction 1 from DVL2 WT-BirA*, control, Biosample 1, Plate 1	MMW3060A1LC3_A1_MMW3060A1LC3-40-128986	proteomic profiling by mass spectrometry	MMW3060_P1_1	LC-MS/MS	MMW3060A1LC3_A1_MMW3060A1LC3-40-128986.raw	MMW3060A1LC3_A1_F097190.mgf	MMW3060A1LC3_A1_F097190.mzid	data-dependent acquisition	LTQ Orbitrap Velos	NT=Trypsin;AC=MS:1001251	label free sample	1	1	not available	gel electrophoresis	5 ppm	0.4 Da	not available	not available	NT=Phospho;MT=Variable;TA=S,T,Y;AC=Unimod:21	ion trap	plate 1	not available	A1	Imperial Protein Stain	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	DVL2 WT-BirA*	control	Biosample 1
MMW3060P1_Biosample_1	Homo sapiens	HEK293 Flp-In T-REx	CVCL_U427	embryonic kidney cell	kidney	normal	not available	female	study sample	1	stable expression of DVL2 WT-BirA*	no depletion	BioID streptavidin-enriched gel fraction 2 from DVL2 WT-BirA*, control, Biosample 1, Plate 1	MMW3060A2LC3_B1_MMW3060A2LC3-40-128997	proteomic profiling by mass spectrometry	MMW3060_P1_2	LC-MS/MS	MMW3060A2LC3_B1_MMW3060A2LC3-40-128997.raw	MMW3060A2LC3_B1_F097194.mgf	MMW3060A2LC3_B1_F097194.mzid	data-dependent acquisition	LTQ Orbitrap Velos	NT=Trypsin;AC=MS:1001251	label free sample	2	1	not available	gel electrophoresis	5 ppm	0.4 Da	not available	not available	NT=Phospho;MT=Variable;TA=S,T,Y;AC=Unimod:21	ion trap	plate 1	not available	B1	Imperial Protein Stain	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	DVL2 WT-BirA*	control	Biosample 1
MMW3060P1_Biosample_1	Homo sapiens	HEK293 Flp-In T-REx	CVCL_U427	embryonic kidney cell	kidney	normal	not available	female	study sample	1	stable expression of DVL2 WT-BirA*	no depletion	BioID streptavidin-enriched gel fraction 3 from DVL2 WT-BirA*, control, Biosample 1, Plate 1	MMW3060A3LC3_C1_MMW3060A3LC3-40-129108	proteomic profiling by mass spectrometry	MMW3060_P1_3	LC-MS/MS	MMW3060A3LC3_C1_MMW3060A3LC3-40-129108.raw	MMW3060A3LC3_C1_F097198.mgf	MMW3060A3LC3_C1_F097198.mzid	data-dependent acquisition	LTQ Orbitrap Velos	NT=Trypsin;AC=MS:1001251	label free sample	3	1	not available	gel electrophoresis	5 ppm	0.4 Da	not available	not available	NT=Phospho;MT=Variable;TA=S,T,Y;AC=Unimod:21	ion trap	plate 1	not available	C1	Imperial Protein Stain	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	DVL2 WT-BirA*	control	Biosample 1
MMW3060P1_Biosample_1	Homo sapiens	HEK293 Flp-In T-REx	CVCL_U427	embryonic kidney cell	kidney	normal	not available	female	study sample	1	stable expression of DVL2 WT-BirA*	no depletion	BioID streptavidin-enriched gel fraction 4 from DVL2 WT-BirA*, control, Biosample 1, Plate 1	MMW3060A4LC3_D1_MMW3060A4LC3-40-129119	proteomic profiling by mass spectrometry	MMW3060_P1_4	LC-MS/MS	MMW3060A4LC3_D1_MMW3060A4LC3-40-129119.raw	MMW3060A4LC3_D1_F097203.mgf	MMW3060A4LC3_D1_F097203.mzid	data-dependent acquisition	LTQ Orbitrap Velos	NT=Trypsin;AC=MS:1001251	label free sample	4	1	not available	gel electrophoresis	5 ppm	0.4 Da	not available	not available	NT=Phospho;MT=Variable;TA=S,T,Y;AC=Unimod:21	ion trap	plate 1	not available	D1	Imperial Protein Stain	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	DVL2 WT-BirA*	control	Biosample 1
MMW3060P1_Biosample_1	Homo sapiens	HEK293 Flp-In T-REx	CVCL_U427	embryonic kidney cell	kidney	normal	not available	female	study sample	1	stable expression of DVL2 WT-BirA*	no depletion	BioID streptavidin-enriched gel fraction 5 from DVL2 WT-BirA*, control, Biosample 1, Plate 1	MMW3060A5LC3_E1_MMW3060A5LC3-40-129130	proteomic profiling by mass spectrometry	MMW3060_P1_5	LC-MS/MS	MMW3060A5LC3_E1_MMW3060A5LC3-40-129130.raw	MMW3060A5LC3_E1_F097208.mgf	MMW3060A5LC3_E1_F097208.mzid	data-dependent acquisition	LTQ Orbitrap Velos	NT=Trypsin;AC=MS:1001251	label free sample	5	1	not available	gel electrophoresis	5 ppm	0.4 Da	not available	not available	NT=Phospho;MT=Variable;TA=S,T,Y;AC=Unimod:21	ion trap	plate 1	not available	E1	Imperial Protein Stain	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	DVL2 WT-BirA*	control	Biosample 1
MMW3060P1_Biosample_1	Homo sapiens	HEK293 Flp-In T-REx	CVCL_U427	embryonic kidney cell	kidney	normal	not available	female	study sample	1	stable expression of DVL2 WT-BirA*	no depletion	BioID streptavidin-enriched gel fraction 6 from DVL2 WT-BirA*, control, Biosample 1, Plate 1	MMW3060A6LC3_F1_MMW3060A6LC3-40-129141	proteomic profiling by mass spectrometry	MMW3060_P1_6	LC-MS/MS	MMW3060A6LC3_F1_MMW3060A6LC3-40-129141.raw	MMW3060A6LC3_F1_F097213.mgf	MMW3060A6LC3_F1_F097213.mzid	data-dependent acquisition	LTQ Orbitrap Velos	NT=Trypsin;AC=MS:1001251	label free sample	6	1	not available	gel electrophoresis	5 ppm	0.4 Da	not available	not available	NT=Phospho;MT=Variable;TA=S,T,Y;AC=Unimod:21	ion trap	plate 1	not available	F1	Imperial Protein Stain	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	DVL2 WT-BirA*	control	Biosample 1
MMW3060P1_Biosample_1	Homo sapiens	HEK293 Flp-In T-REx	CVCL_U427	embryonic kidney cell	kidney	normal	not available	female	study sample	1	stable expression of DVL2 WT-BirA*	no depletion	BioID streptavidin-enriched gel fraction 7 from DVL2 WT-BirA*, control, Biosample 1, Plate 1	MMW3060A7LC3_G1_MMW3060A7LC3-40-129152	proteomic profiling by mass spectrometry	MMW3060_P1_7	LC-MS/MS	MMW3060A7LC3_G1_MMW3060A7LC3-40-129152.raw	MMW3060A7LC3_G1_F097218.mgf	MMW3060A7LC3_G1_F097218.mzid	data-dependent acquisition	LTQ Orbitrap Velos	NT=Trypsin;AC=MS:1001251	label free sample	7	1	not available	gel electrophoresis	5 ppm	0.4 Da	not available	not available	NT=Phospho;MT=Variable;TA=S,T,Y;AC=Unimod:21	ion trap	plate 1	not available	G1	Imperial Protein Stain	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	DVL2 WT-BirA*	control	Biosample 1
MMW3060P1_Biosample_1	Homo sapiens	HEK293 Flp-In T-REx	CVCL_U427	embryonic kidney cell	kidney	normal	not available	female	study sample	1	stable expression of DVL2 WT-BirA*	no depletion	BioID streptavidin-enriched gel fraction 8 from DVL2 WT-BirA*, control, Biosample 1, Plate 1	MMW3060A8LC3_H1_MMW3060A8LC3-40-129163	proteomic profiling by mass spectrometry	MMW3060_P1_8	LC-MS/MS	MMW3060A8LC3_H1_MMW3060A8LC3-40-129163.raw	MMW3060A8LC3_H1_F097223.mgf	MMW3060A8LC3_H1_F097223.mzid	data-dependent acquisition	LTQ Orbitrap Velos	NT=Trypsin;AC=MS:1001251	label free sample	8	1	not available	gel electrophoresis	5 ppm	0.4 Da	not available	not available	NT=Phospho;MT=Variable;TA=S,T,Y;AC=Unimod:21	ion trap	plate 1	not available	H1	Imperial Protein Stain	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	DVL2 WT-BirA*	control	Biosample 1
MMW3060P1_Biosample_1	Homo sapiens	HEK293 Flp-In T-REx	CVCL_U427	embryonic kidney cell	kidney	normal	not available	female	study sample	1	stable expression of DVL2 WT-BirA*	no depletion	BioID streptavidin-enriched gel fraction 9 from DVL2 WT-BirA*, control, Biosample 1, Plate 1	MMW3060A9LC3_A2_MMW3060A9LC3-40-129171	proteomic profiling by mass spectrometry	MMW3060_P1_9	LC-MS/MS	MMW3060A9LC3_A2_MMW3060A9LC3-40-129171.raw	MMW3060A9LC3_A2_F097229.mgf	MMW3060A9LC3_A2_F097229.mzid	data-dependent acquisition	LTQ Orbitrap Velos	NT=Trypsin;AC=MS:1001251	label free sample	9	1	not available	gel electrophoresis	5 ppm	0.4 Da	not available	not available	NT=Phospho;MT=Variable;TA=S,T,Y;AC=Unimod:21	ion trap	plate 1	not available	A2	Imperial Protein Stain	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	DVL2 WT-BirA*	control	Biosample 1
MMW3060P1_Biosample_1	Homo sapiens	HEK293 Flp-In T-REx	CVCL_U427	embryonic kidney cell	kidney	normal	not available	female	study sample	1	stable expression of DVL2 WT-BirA*	no depletion	BioID streptavidin-enriched gel fraction 10 from DVL2 WT-BirA*, control, Biosample 1, Plate 1	MMW3060A10LC3_B2_MMW3060A10LC3-40-128976	proteomic profiling by mass spectrometry	MMW3060_P1_10	LC-MS/MS	MMW3060A10LC3_B2_MMW3060A10LC3-40-128976.raw	MMW3060A10LC3_B2_F097235.mgf	MMW3060A10LC3_B2_F097235.mzid	data-dependent acquisition	LTQ Orbitrap Velos	NT=Trypsin;AC=MS:1001251	label free sample	10	1	not available	gel electrophoresis	5 ppm	0.4 Da	not available	not available	NT=Phospho;MT=Variable;TA=S,T,Y;AC=Unimod:21	ion trap	plate 1	not available	B2	Imperial Protein Stain	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	DVL2 WT-BirA*	control	Biosample 1
