source name	characteristics[organism]	characteristics[organism part]	characteristics[strain/breed]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[medium]	characteristics[temperature]	assay name	technology type	comment[technical replicate]	comment[proteomics data acquisition method]	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[label]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]
runA_AN	Escherichia coli	Cell lysate	Escherichia coli K-12 Ancestor	not applicable	Prokaryotic cell	1	15 ml YT broth, 5 ml Ca/HEPES buffer (25 mM HEPES, 2 mM CaCl2, pH 7.6) and 0.15 ml 200mM CaCl2	37C	runA_AN	Proteomic profiling by mass spectrometry	1	Data-independent acquisition	20250210_C37683_034_S887337_A_AN_AN_WT.raw	1	Label free sample	Orbitrap Fusion Lumos (Thermo Scientific) equipped with a Digital PicoView source (New Objective) and coupled to a M-Class UPLC (Waters)	Trypsin	20 ppm	15 ppm	fixed modification carbamidomethylation of cysteine	HCD	30% NCE	not applicable		v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
runB_AN	Escherichia coli	Cell lysate	Escherichia coli K-12 Ancestor	not applicable	Prokaryotic cell	2	15 ml YT broth, 5 ml Ca/HEPES buffer (25 mM HEPES, 2 mM CaCl2, pH 7.6) and 0.15 ml 200mM CaCl2	37C	runB_AN	Proteomic profiling by mass spectrometry	1	Data-independent acquisition	20250210_C37683_038_S887349_B_AN_AN_WT.raw	1	Label free sample	Orbitrap Fusion Lumos (Thermo Scientific) equipped with a Digital PicoView source (New Objective) and coupled to a M-Class UPLC (Waters)	Trypsin	20 ppm	15 ppm	fixed modification carbamidomethylation of cysteine	HCD	30% NCE	not applicable		v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
runC_AN	Escherichia coli	Cell lysate	Escherichia coli K-12 Ancestor	not applicable	Prokaryotic cell	3	15 ml YT broth, 5 ml Ca/HEPES buffer (25 mM HEPES, 2 mM CaCl2, pH 7.6) and 0.15 ml 200mM CaCl2	37C	runC_AN	Proteomic profiling by mass spectrometry	1	Data-independent acquisition	20250210_C37683_031_S887361_C_AN_AN_WT.raw	1	Label free sample	Orbitrap Fusion Lumos (Thermo Scientific) equipped with a Digital PicoView source (New Objective) and coupled to a M-Class UPLC (Waters)	Trypsin	20 ppm	15 ppm	fixed modification carbamidomethylation of cysteine	HCD	30% NCE	not applicable		v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
runA_H1	Escherichia coli	Cell lysate	Escherichia coli K-12 Evolved with Bdellovibrio bacteriovorus lineage H1	not applicable	Prokaryotic cell	1	15 ml YT broth, 5 ml Ca/HEPES buffer (25 mM HEPES, 2 mM CaCl2, pH 7.6) and 0.15 ml 200mM CaCl2	37C	runA_H1	Proteomic profiling by mass spectrometry	1	Data-independent acquisition	20250210_C37683_007_S887338_A_H1_AN_H1.raw	1	Label free sample	Orbitrap Fusion Lumos (Thermo Scientific) equipped with a Digital PicoView source (New Objective) and coupled to a M-Class UPLC (Waters)	Trypsin	20 ppm	15 ppm	fixed modification carbamidomethylation of cysteine	HCD	30% NCE	not applicable		v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
runB_H1	Escherichia coli	Cell lysate	Escherichia coli K-12 Evolved with Bdellovibrio bacteriovorus lineage H1	not applicable	Prokaryotic cell	2	15 ml YT broth, 5 ml Ca/HEPES buffer (25 mM HEPES, 2 mM CaCl2, pH 7.6) and 0.15 ml 200mM CaCl2	37C	runB_H1	Proteomic profiling by mass spectrometry	1	Data-independent acquisition	20250210_C37683_039_S887350_B_H1_AN_H1.raw	1	Label free sample	Orbitrap Fusion Lumos (Thermo Scientific) equipped with a Digital PicoView source (New Objective) and coupled to a M-Class UPLC (Waters)	Trypsin	20 ppm	15 ppm	fixed modification carbamidomethylation of cysteine	HCD	30% NCE	not applicable		v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
runC_H1	Escherichia coli	Cell lysate	Escherichia coli K-12 Evolved with Bdellovibrio bacteriovorus lineage H1	not applicable	Prokaryotic cell	3	15 ml YT broth, 5 ml Ca/HEPES buffer (25 mM HEPES, 2 mM CaCl2, pH 7.6) and 0.15 ml 200mM CaCl2	37C	runC_H1	Proteomic profiling by mass spectrometry	1	Data-independent acquisition	20250210_C37683_021_S887362_C_H1_AN_H1.raw	1	Label free sample	Orbitrap Fusion Lumos (Thermo Scientific) equipped with a Digital PicoView source (New Objective) and coupled to a M-Class UPLC (Waters)	Trypsin	20 ppm	15 ppm	fixed modification carbamidomethylation of cysteine	HCD	30% NCE	not applicable		v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
runA_H2	Escherichia coli	Cell lysate	Escherichia coli K-12 Evolved with Bdellovibrio bacteriovorus lineage H2	not applicable	Prokaryotic cell	1	15 ml YT broth, 5 ml Ca/HEPES buffer (25 mM HEPES, 2 mM CaCl2, pH 7.6) and 0.15 ml 200mM CaCl2	37C	runA_H2	Proteomic profiling by mass spectrometry	1	Data-independent acquisition	20250210_C37683_029_S887339_A_H2_AN_H2.raw	1	Label free sample	Orbitrap Fusion Lumos (Thermo Scientific) equipped with a Digital PicoView source (New Objective) and coupled to a M-Class UPLC (Waters)	Trypsin	20 ppm	15 ppm	fixed modification carbamidomethylation of cysteine	HCD	30% NCE	not applicable		v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
runB_H2	Escherichia coli	Cell lysate	Escherichia coli K-12 Evolved with Bdellovibrio bacteriovorus lineage H2	not applicable	Prokaryotic cell	2	15 ml YT broth, 5 ml Ca/HEPES buffer (25 mM HEPES, 2 mM CaCl2, pH 7.6) and 0.15 ml 200mM CaCl2	37C	runB_H2	Proteomic profiling by mass spectrometry	1	Data-independent acquisition	20250210_C37683_033_S887351_B_H2_AN_H2.raw	1	Label free sample	Orbitrap Fusion Lumos (Thermo Scientific) equipped with a Digital PicoView source (New Objective) and coupled to a M-Class UPLC (Waters)	Trypsin	20 ppm	15 ppm	fixed modification carbamidomethylation of cysteine	HCD	30% NCE	not applicable		v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
runC_H2	Escherichia coli	Cell lysate	Escherichia coli K-12 Evolved with Bdellovibrio bacteriovorus lineage H2	not applicable	Prokaryotic cell	3	15 ml YT broth, 5 ml Ca/HEPES buffer (25 mM HEPES, 2 mM CaCl2, pH 7.6) and 0.15 ml 200mM CaCl2	37C	runC_H2	Proteomic profiling by mass spectrometry	1	Data-independent acquisition	20250210_C37683_013_S887363_C_H2_AN_H2.raw	1	Label free sample	Orbitrap Fusion Lumos (Thermo Scientific) equipped with a Digital PicoView source (New Objective) and coupled to a M-Class UPLC (Waters)	Trypsin	20 ppm	15 ppm	fixed modification carbamidomethylation of cysteine	HCD	30% NCE	not applicable		v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
runA_H3	Escherichia coli	Cell lysate	Escherichia coli K-12 Evolved with Bdellovibrio bacteriovorus lineage H3	not applicable	Prokaryotic cell	1	15 ml YT broth, 5 ml Ca/HEPES buffer (25 mM HEPES, 2 mM CaCl2, pH 7.6) and 0.15 ml 200mM CaCl2	37C	runA_H3	Proteomic profiling by mass spectrometry	1	Data-independent acquisition	20250210_C37683_008_S887340_A_H3_AN_H3.raw	1	Label free sample	Orbitrap Fusion Lumos (Thermo Scientific) equipped with a Digital PicoView source (New Objective) and coupled to a M-Class UPLC (Waters)	Trypsin	20 ppm	15 ppm	fixed modification carbamidomethylation of cysteine	HCD	30% NCE	not applicable		v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
