source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[genotype]	characteristics[biological replicate]	assay name	technology type	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[fraction identifier]	comment[technical replicate]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[scan window lower limit]	comment[scan window upper limit]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	factor value[genotype]
GRA35_A	Toxoplasma gondii	not applicable	human foreskin fibroblast	not applicable	GRA35-3xHA	1	run 1	proteomic profiling by mass spectrometry	label free sample	Orbitrap Exploris 480	data-independent acquisition	1	1	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;PP=Anywhere;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=variable;PP=Anywhere;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;MT=variable;AC=UNIMOD:1	394.4	1015.7	CarruthersV_20260120_01_DIA_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	GRA35-3xHA
GRA35_B	Toxoplasma gondii	not applicable	human foreskin fibroblast	not applicable	GRA35-3xHA	2	run 2	proteomic profiling by mass spectrometry	label free sample	Orbitrap Exploris 480	data-independent acquisition	1	1	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;PP=Anywhere;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=variable;PP=Anywhere;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;MT=variable;AC=UNIMOD:1	394.4	1015.7	CarruthersV_20260120_01_DIA_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	GRA35-3xHA
GRA35_C	Toxoplasma gondii	not applicable	human foreskin fibroblast	not applicable	GRA35-3xHA	3	run 3	proteomic profiling by mass spectrometry	label free sample	Orbitrap Exploris 480	data-independent acquisition	1	1	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;PP=Anywhere;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=variable;PP=Anywhere;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;MT=variable;AC=UNIMOD:1	394.4	1015.7	CarruthersV_20260120_01_DIA_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	GRA35-3xHA
GRA35_D	Toxoplasma gondii	not applicable	human foreskin fibroblast	not applicable	GRA35-3xHA	4	run 4	proteomic profiling by mass spectrometry	label free sample	Orbitrap Exploris 480	data-independent acquisition	1	1	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;PP=Anywhere;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=variable;PP=Anywhere;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;MT=variable;AC=UNIMOD:1	394.4	1015.7	CarruthersV_20260120_01_DIA_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	GRA35-3xHA
EAF1_A	Toxoplasma gondii	not applicable	human foreskin fibroblast	not applicable	EAF1-3xHA	1	run 5	proteomic profiling by mass spectrometry	label free sample	Orbitrap Exploris 480	data-independent acquisition	1	1	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;PP=Anywhere;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=variable;PP=Anywhere;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;MT=variable;AC=UNIMOD:1	394.4	1015.7	CarruthersV_20260120_01_DIA_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	EAF1-3xHA
EAF1_B	Toxoplasma gondii	not applicable	human foreskin fibroblast	not applicable	EAF1-3xHA	2	run 6	proteomic profiling by mass spectrometry	label free sample	Orbitrap Exploris 480	data-independent acquisition	1	1	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;PP=Anywhere;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=variable;PP=Anywhere;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;MT=variable;AC=UNIMOD:1	394.4	1015.7	CarruthersV_20260120_01_DIA_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	EAF1-3xHA
EAF1_C	Toxoplasma gondii	not applicable	human foreskin fibroblast	not applicable	EAF1-3xHA	3	run 7	proteomic profiling by mass spectrometry	label free sample	Orbitrap Exploris 480	data-independent acquisition	1	1	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;PP=Anywhere;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=variable;PP=Anywhere;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;MT=variable;AC=UNIMOD:1	394.4	1015.7	CarruthersV_20260120_01_DIA_07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	EAF1-3xHA
EAF1_D	Toxoplasma gondii	not applicable	human foreskin fibroblast	not applicable	EAF1-3xHA	4	run 8	proteomic profiling by mass spectrometry	label free sample	Orbitrap Exploris 480	data-independent acquisition	1	1	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;PP=Anywhere;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=variable;PP=Anywhere;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;MT=variable;AC=UNIMOD:1	394.4	1015.7	CarruthersV_20260120_01_DIA_08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	EAF1-3xHA
WT_A	Toxoplasma gondii	not applicable	human foreskin fibroblast	not applicable	wild type	1	run 9	proteomic profiling by mass spectrometry	label free sample	Orbitrap Exploris 480	data-independent acquisition	1	1	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;PP=Anywhere;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=variable;PP=Anywhere;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;MT=variable;AC=UNIMOD:1	394.4	1015.7	CarruthersV_20260120_01_DIA_09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	wild type
WT_B	Toxoplasma gondii	not applicable	human foreskin fibroblast	not applicable	wild type	2	run 10	proteomic profiling by mass spectrometry	label free sample	Orbitrap Exploris 480	data-independent acquisition	1	1	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;PP=Anywhere;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=variable;PP=Anywhere;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;MT=variable;AC=UNIMOD:1	394.4	1015.7	CarruthersV_20260120_01_DIA_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	wild type
