source name	characteristics[organism]	characteristics[organism part]	characteristics[color group]	characteristics[biological replicate]	assay name	technology type	comment[data file]	comment[label]	comment[technical replicate]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[sdrf version]	comment[sdrf template]
20240815_YWBS_2ul_A01	Apodiformes	edible bird's nest	White edible bird's nest	1	20240815_YWBS_2ul_A01	mass spectrometry	20240815_YWBS_2ul_A01.raw	label-free	1	NT=data-dependent acquisition;AC=PRIDE:0000627	Orbitrap Exploris 480	Trypsin	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0
20240815_YWBS_2ul_A02	Apodiformes	edible bird's nest	White edible bird's nest	2	20240815_YWBS_2ul_A02	mass spectrometry	20240815_YWBS_2ul_A02.raw	label-free	1	NT=data-dependent acquisition;AC=PRIDE:0000627	Orbitrap Exploris 480	Trypsin	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0
20240815_YWBS_2ul_A03	Apodiformes	edible bird's nest	White edible bird's nest	3	20240815_YWBS_2ul_A03	mass spectrometry	20240815_YWBS_2ul_A03.raw	label-free	1	NT=data-dependent acquisition;AC=PRIDE:0000627	Orbitrap Exploris 480	Trypsin	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0
20240815_YWFS_2ul_A01	Apodiformes	edible bird's nest	Pink edible bird's nest	1	20240815_YWFS_2ul_A01	mass spectrometry	20240815_YWFS_2ul_A01.raw	label-free	1	NT=data-dependent acquisition;AC=PRIDE:0000627	Orbitrap Exploris 480	Trypsin	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0
20240815_YWFS_2ul_A02	Apodiformes	edible bird's nest	Pink edible bird's nest	2	20240815_YWFS_2ul_A02	mass spectrometry	20240815_YWFS_2ul_A02.raw	label-free	1	NT=data-dependent acquisition;AC=PRIDE:0000627	Orbitrap Exploris 480	Trypsin	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0
20240815_YWFS_2ul_A03	Apodiformes	edible bird's nest	Pink edible bird's nest	3	20240815_YWFS_2ul_A03	mass spectrometry	20240815_YWFS_2ul_A03.raw	label-free	1	NT=data-dependent acquisition;AC=PRIDE:0000627	Orbitrap Exploris 480	Trypsin	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0
20240815_YWMB_2ul_A01	Apodiformes	edible bird's nest	Cream-white edible bird's nest	1	20240815_YWMB_2ul_A01	mass spectrometry	20240815_YWMB_2ul_A01.raw	label-free	1	NT=data-dependent acquisition;AC=PRIDE:0000627	Orbitrap Exploris 480	Trypsin	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0
20240815_YWMB_2ul_A02	Apodiformes	edible bird's nest	Cream-white edible bird's nest	2	20240815_YWMB_2ul_A02	mass spectrometry	20240815_YWMB_2ul_A02.raw	label-free	1	NT=data-dependent acquisition;AC=PRIDE:0000627	Orbitrap Exploris 480	Trypsin	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0
20240815_YWMB_2ul_A03	Apodiformes	edible bird's nest	Cream-white edible bird's nest	3	20240815_YWMB_2ul_A03	mass spectrometry	20240815_YWMB_2ul_A03.raw	label-free	1	NT=data-dependent acquisition;AC=PRIDE:0000627	Orbitrap Exploris 480	Trypsin	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0
20240815_YWMH_2ul_A01	Apodiformes	edible bird's nest	Cream-yellow edible bird's nest	1	20240815_YWMH_2ul_A01	mass spectrometry	20240815_YWMH_2ul_A01.raw	label-free	1	NT=data-dependent acquisition;AC=PRIDE:0000627	Orbitrap Exploris 480	Trypsin	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0
20240815_YWMH_2ul_A02	Apodiformes	edible bird's nest	Cream-yellow edible bird's nest	2	20240815_YWMH_2ul_A02	mass spectrometry	20240815_YWMH_2ul_A02.raw	label-free	1	NT=data-dependent acquisition;AC=PRIDE:0000627	Orbitrap Exploris 480	Trypsin	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0
20240815_YWMH_2ul_A03	Apodiformes	edible bird's nest	Cream-yellow edible bird's nest	3	20240815_YWMH_2ul_A03	mass spectrometry	20240815_YWMH_2ul_A03.raw	label-free	1	NT=data-dependent acquisition;AC=PRIDE:0000627	Orbitrap Exploris 480	Trypsin	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0
20240815_YWZC_2ul_A01	Apodiformes	edible bird's nest	Normal edible bird's nest (control)	1	20240815_YWZC_2ul_A01	mass spectrometry	20240815_YWZC_2ul_A01.raw	label-free	1	NT=data-dependent acquisition;AC=PRIDE:0000627	Orbitrap Exploris 480	Trypsin	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0
20240815_YWZC_2ul_A02	Apodiformes	edible bird's nest	Normal edible bird's nest (control)	2	20240815_YWZC_2ul_A02	mass spectrometry	20240815_YWZC_2ul_A02.raw	label-free	1	NT=data-dependent acquisition;AC=PRIDE:0000627	Orbitrap Exploris 480	Trypsin	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0
20240815_YWZC_2ul_A03	Apodiformes	edible bird's nest	Normal edible bird's nest (control)	3	20240815_YWZC_2ul_A03	mass spectrometry	20240815_YWZC_2ul_A03.raw	label-free	1	NT=data-dependent acquisition;AC=PRIDE:0000627	Orbitrap Exploris 480	Trypsin	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0
